Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BEL,2012-07-28,17:00,KV Kortrijk,RSC Anderlecht,1,1,D,1,0,H
BEL,2012-07-28,19:00,Club Brugge KV,Waasland-Beveren,3,1,H,3,1,H
BEL,2012-07-28,19:00,Beerschot AC,Sporting Lokeren,2,4,A,1,1,D
BEL,2012-07-28,19:00,KV Mechelen,Sporting Charleroi,4,2,H,2,1,H
BEL,2012-07-28,19:00,RAEC Mons,Oud-Heverlee Leuven,5,2,H,3,2,H
BEL,2012-07-29,17:00,Standard Liège,SV Zulte Waregem,0,1,A,0,1,A
BEL,2012-07-29,17:00,KAA Gent,Lierse SK,2,0,H,1,0,H
BEL,2012-07-29,19:30,KRC Genk,Cercle Brugge,3,3,D,2,2,D
BEL,2012-08-03,19:30,Lierse SK,Standard Liège,0,0,D,0,0,D
BEL,2012-08-04,17:00,Sporting Charleroi,Club Brugge KV,0,1,A,0,1,A
BEL,2012-08-04,19:00,RSC Anderlecht,Beerschot AC,1,0,H,1,0,H
BEL,2012-08-04,19:00,Sporting Lokeren,RAEC Mons,2,2,D,1,1,D
BEL,2012-08-04,19:00,Waasland-Beveren,KV Mechelen,0,0,D,0,0,D
BEL,2012-08-04,19:00,Cercle Brugge,KV Kortrijk,1,2,A,1,0,H
BEL,2012-08-05,17:00,SV Zulte Waregem,KAA Gent,3,1,H,2,0,H
BEL,2012-08-05,17:00,Oud-Heverlee Leuven,KRC Genk,2,2,D,0,1,A
BEL,2012-08-10,19:30,Standard Liège,Waasland-Beveren,3,1,H,1,1,D
BEL,2012-08-11,17:00,KV Mechelen,Club Brugge KV,3,3,D,2,2,D
BEL,2012-08-11,19:00,Beerschot AC,SV Zulte Waregem,1,1,D,0,0,D
BEL,2012-08-11,19:00,KV Kortrijk,Sporting Charleroi,0,1,A,0,0,D
BEL,2012-08-11,19:00,RAEC Mons,Lierse SK,1,1,D,0,0,D
BEL,2012-08-12,17:00,KRC Genk,Sporting Lokeren,1,0,H,0,0,D
BEL,2012-08-12,17:00,KAA Gent,Oud-Heverlee Leuven,1,1,D,1,1,D
BEL,2012-08-12,19:30,Cercle Brugge,RSC Anderlecht,0,3,A,0,2,A
BEL,2012-08-18,19:00,Club Brugge KV,Beerschot AC,3,1,H,1,0,H
BEL,2012-08-18,19:00,RSC Anderlecht,RAEC Mons,2,1,H,1,0,H
BEL,2012-08-18,19:00,SV Zulte Waregem,KV Kortrijk,2,0,H,0,0,D
BEL,2012-08-18,19:00,Oud-Heverlee Leuven,Cercle Brugge,3,2,H,1,1,D
BEL,2012-08-18,19:00,Sporting Lokeren,KV Mechelen,2,1,H,0,0,D
BEL,2012-08-18,19:00,Lierse SK,KRC Genk,1,1,D,0,0,D
BEL,2012-08-18,19:00,Waasland-Beveren,KAA Gent,0,2,A,0,0,D
BEL,2012-08-19,17:00,Sporting Charleroi,Standard Liège,2,6,A,1,3,A
BEL,2012-08-25,17:00,Oud-Heverlee Leuven,RSC Anderlecht,1,1,D,1,1,D
BEL,2012-08-25,19:00,Beerschot AC,Sporting Charleroi,2,0,H,1,0,H
BEL,2012-08-25,19:00,KV Kortrijk,Waasland-Beveren,2,1,H,2,0,H
BEL,2012-08-25,19:00,Cercle Brugge,Lierse SK,0,3,A,0,0,D
BEL,2012-08-26,13:30,Standard Liège,KV Mechelen,3,2,H,0,0,D
BEL,2012-08-26,17:00,KRC Genk,SV Zulte Waregem,2,0,H,0,0,D
BEL,2012-08-26,17:00,KAA Gent,Sporting Lokeren,2,1,H,1,1,D
BEL,2012-08-26,19:30,RAEC Mons,Club Brugge KV,1,3,A,0,0,D
BEL,2012-09-01,17:00,KV Mechelen,Beerschot AC,0,2,A,0,1,A
BEL,2012-09-01,19:00,Sporting Charleroi,KAA Gent,1,1,D,0,0,D
BEL,2012-09-01,19:00,SV Zulte Waregem,RAEC Mons,2,4,A,0,1,A
BEL,2012-09-01,19:00,Lierse SK,Oud-Heverlee Leuven,1,1,D,1,0,H
BEL,2012-09-01,19:00,Waasland-Beveren,Cercle Brugge,2,0,H,0,0,D
BEL,2012-09-02,13:30,Club Brugge KV,Standard Liège,4,2,H,3,1,H
BEL,2012-09-02,17:00,RSC Anderlecht,KRC Genk,2,2,D,1,2,A
BEL,2012-09-02,19:30,Sporting Lokeren,KV Kortrijk,0,1,A,0,0,D
BEL,2012-09-14,19:30,KV Kortrijk,Club Brugge KV,1,1,D,1,0,H
BEL,2012-09-15,17:00,Lierse SK,RSC Anderlecht,1,1,D,0,1,A
BEL,2012-09-15,19:00,KRC Genk,Waasland-Beveren,1,1,D,1,1,D
BEL,2012-09-15,19:00,KAA Gent,KV Mechelen,0,2,A,0,1,A
BEL,2012-09-15,19:00,Oud-Heverlee Leuven,SV Zulte Waregem,0,1,A,0,0,D
BEL,2012-09-15,19:00,RAEC Mons,Sporting Charleroi,2,3,A,1,3,A
BEL,2012-09-15,19:00,Cercle Brugge,Sporting Lokeren,0,1,A,0,0,D
BEL,2012-09-16,17:00,Beerschot AC,Standard Liège,3,2,H,1,0,H
BEL,2012-09-21,19:30,Standard Liège,KAA Gent,1,2,A,1,1,D
BEL,2012-09-22,17:00,SV Zulte Waregem,RSC Anderlecht,2,3,A,1,1,D
BEL,2012-09-22,19:00,Beerschot AC,KV Kortrijk,2,1,H,1,0,H
BEL,2012-09-22,19:00,Sporting Lokeren,Oud-Heverlee Leuven,2,2,D,0,0,D
BEL,2012-09-22,19:00,KV Mechelen,RAEC Mons,3,0,H,1,0,H
BEL,2012-09-22,19:00,Waasland-Beveren,Lierse SK,1,1,D,0,1,A
BEL,2012-09-23,13:30,Club Brugge KV,Cercle Brugge,4,0,H,2,0,H
BEL,2012-09-23,19:30,Sporting Charleroi,KRC Genk,1,2,A,0,0,D
BEL,2012-09-29,19:00,RSC Anderlecht,Sporting Lokeren,3,0,H,0,0,D
