Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BEL,2012-03-30,19:30,Club Brugge KV,KRC Genk,2,0,H,1,0,H
BEL,2012-03-31,17:00,KAA Gent,Standard Liège,3,0,H,1,0,H
BEL,2012-04-01,17:00,RSC Anderlecht,KV Kortrijk,1,1,D,0,1,A
BEL,2012-04-06,19:30,Standard Liège,RSC Anderlecht,0,0,D,0,0,D
BEL,2012-04-07,17:00,KRC Genk,KAA Gent,2,0,H,1,0,H
BEL,2012-04-08,17:00,KV Kortrijk,Club Brugge KV,3,1,H,2,0,H
BEL,2012-04-11,19:30,KAA Gent,RSC Anderlecht,1,4,A,0,2,A
BEL,2012-04-11,19:30,KRC Genk,KV Kortrijk,2,0,H,0,0,D
BEL,2012-04-12,19:30,Standard Liège,Club Brugge KV,1,1,D,0,0,D
BEL,2012-04-14,19:00,RSC Anderlecht,KRC Genk,1,3,A,0,2,A
BEL,2012-04-15,17:00,Club Brugge KV,KAA Gent,1,0,H,1,0,H
BEL,2012-04-15,19:30,KV Kortrijk,Standard Liège,1,1,D,1,1,D
BEL,2012-04-21,19:00,KV Kortrijk,KAA Gent,1,4,A,1,3,A
BEL,2012-04-22,17:00,Club Brugge KV,RSC Anderlecht,0,1,A,0,1,A
BEL,2012-04-22,19:30,KRC Genk,Standard Liège,3,2,H,0,2,A
BEL,2012-04-27,19:30,KRC Genk,RSC Anderlecht,0,4,A,0,2,A
BEL,2012-04-28,17:00,KAA Gent,Club Brugge KV,2,1,H,1,1,D
BEL,2012-04-28,19:30,Standard Liège,KV Kortrijk,2,0,H,1,0,H
BEL,2012-05-01,13:30,Club Brugge KV,Standard Liège,2,0,H,1,0,H
BEL,2012-05-02,19:00,RSC Anderlecht,KAA Gent,1,0,H,1,0,H
BEL,2012-05-02,19:30,KV Kortrijk,KRC Genk,3,4,A,0,2,A
BEL,2012-05-05,17:00,KAA Gent,KV Kortrijk,2,3,A,0,1,A
BEL,2012-05-06,13:30,RSC Anderlecht,Club Brugge KV,1,1,D,0,0,D
BEL,2012-05-06,17:00,Standard Liège,KRC Genk,2,3,A,1,0,H
BEL,2012-05-10,19:30,KRC Genk,Club Brugge KV,1,2,A,1,1,D
BEL,2012-05-10,19:30,KV Kortrijk,RSC Anderlecht,2,0,H,2,0,H
BEL,2012-05-10,19:30,Standard Liège,KAA Gent,2,1,H,1,1,D
BEL,2012-05-13,13:30,Club Brugge KV,KV Kortrijk,3,2,H,1,0,H
BEL,2012-05-13,13:30,KAA Gent,KRC Genk,3,1,H,2,0,H
BEL,2012-05-13,13:30,RSC Anderlecht,Standard Liège,3,0,H,1,0,H
