Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BEL,2010-03-27,19:30,Standard Liège,Sporting Charleroi,2,0,H,0,0,D
BEL,2010-03-30,19:30,Germinal Beerschot,KRC Genk,1,3,A,0,1,A
BEL,2010-04-03,19:00,Sporting Charleroi,Germinal Beerschot,0,1,A,0,0,D
BEL,2010-04-04,19:30,KRC Genk,Standard Liège,1,0,H,1,0,H
BEL,2010-04-10,19:00,Sporting Charleroi,KRC Genk,1,2,A,0,0,D
BEL,2010-04-11,17:00,Standard Liège,Germinal Beerschot,3,0,H,0,0,D
BEL,2010-04-13,19:30,KRC Genk,Sporting Charleroi,3,0,H,1,0,H
BEL,2010-04-15,19:30,Germinal Beerschot,Standard Liège,2,2,D,1,1,D
BEL,2010-04-18,19:30,Standard Liège,KRC Genk,1,1,D,1,0,H
BEL,2010-04-18,19:30,Germinal Beerschot,Sporting Charleroi,2,2,D,1,1,D
BEL,2010-04-25,17:00,KRC Genk,Germinal Beerschot,2,0,H,2,0,H
BEL,2010-04-25,17:00,Sporting Charleroi,Standard Liège,1,0,H,1,0,H
