Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
BEL,2010-07-30,19:30,Standard Liège,SV Zulte Waregem,1,1,D,0,1,A
BEL,2010-07-31,19:00,KV Kortrijk,Club Brugge KV,1,0,H,0,0,D
BEL,2010-07-31,19:00,KV Mechelen,Sporting Lokeren,2,0,H,0,0,D
BEL,2010-07-31,19:00,KVC Westerlo,KAA Gent,0,1,A,0,0,D
BEL,2010-07-31,19:00,RSC Anderlecht,AS Eupen,4,1,H,0,1,A
BEL,2010-07-31,19:00,Sint-Truidense VV,Lierse SK,1,0,H,1,0,H
BEL,2010-08-01,17:00,Cercle Brugge,Sporting Charleroi,1,1,D,1,0,H
BEL,2010-08-01,19:30,KRC Genk,Germinal Beerschot,2,1,H,1,1,D
BEL,2010-08-06,19:30,Lierse SK,Standard Liège,1,4,A,1,2,A
BEL,2010-08-07,19:00,Club Brugge KV,Sint-Truidense VV,4,1,H,4,1,H
BEL,2010-08-07,19:00,SV Zulte Waregem,KV Mechelen,1,2,A,1,1,D
BEL,2010-08-07,19:00,Sporting Charleroi,RSC Anderlecht,0,0,D,0,0,D
BEL,2010-08-07,19:00,Sporting Lokeren,KV Kortrijk,1,1,D,0,0,D
BEL,2010-08-07,19:00,AS Eupen,KVC Westerlo,0,1,A,0,0,D
BEL,2010-08-08,17:00,KAA Gent,KRC Genk,0,4,A,0,2,A
BEL,2010-08-08,19:30,Germinal Beerschot,Cercle Brugge,0,0,D,0,0,D
BEL,2010-08-14,17:00,Standard Liège,Sporting Lokeren,3,3,D,0,1,A
BEL,2010-08-14,19:00,RSC Anderlecht,Germinal Beerschot,4,0,H,1,0,H
BEL,2010-08-14,19:00,KAA Gent,AS Eupen,2,1,H,0,1,A
BEL,2010-08-14,19:00,KV Kortrijk,Sint-Truidense VV,2,0,H,0,0,D
BEL,2010-08-14,19:00,KV Mechelen,Lierse SK,1,0,H,0,0,D
BEL,2010-08-14,19:00,KVC Westerlo,SV Zulte Waregem,1,1,D,0,0,D
BEL,2010-08-15,17:00,KRC Genk,Sporting Charleroi,5,0,H,4,0,H
BEL,2010-08-15,19:30,Cercle Brugge,Club Brugge KV,3,1,H,1,0,H
BEL,2010-08-20,19:30,Sint-Truidense VV,Standard Liège,1,0,H,1,0,H
BEL,2010-08-21,19:00,Germinal Beerschot,KVC Westerlo,0,0,D,0,0,D
BEL,2010-08-21,19:00,SV Zulte Waregem,Cercle Brugge,4,0,H,1,0,H
BEL,2010-08-21,19:00,Sporting Lokeren,RSC Anderlecht,0,3,A,0,1,A
BEL,2010-08-21,19:00,Lierse SK,KV Kortrijk,1,2,A,0,1,A
BEL,2010-08-22,17:00,Sporting Charleroi,KAA Gent,1,3,A,1,2,A
BEL,2010-08-22,19:30,Club Brugge KV,KV Mechelen,1,2,A,0,2,A
BEL,2010-08-22,19:30,AS Eupen,KRC Genk,1,4,A,0,2,A
BEL,2010-08-28,19:00,RSC Anderlecht,SV Zulte Waregem,0,0,D,0,0,D
BEL,2010-08-28,19:00,Standard Liège,KV Kortrijk,1,0,H,0,0,D
BEL,2010-08-28,19:00,Sporting Charleroi,AS Eupen,2,0,H,0,0,D
BEL,2010-08-28,19:00,KV Mechelen,Sint-Truidense VV,0,0,D,0,0,D
BEL,2010-08-28,19:00,Cercle Brugge,Sporting Lokeren,1,1,D,0,1,A
