Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CRO,1993-08-20,,NK Zadar,NK Dubrava,1,0,H,,,
CRO,1993-08-20,,NK Varteks,HNK Dubrovnik,0,1,A,,,
CRO,1993-08-20,,HNK Segesta,NK Pazinka Pazin,1,1,D,,,
CRO,1993-08-20,,NK Istra Pula,HNK Rijeka,1,0,H,,,
CRO,1993-08-20,,NK Inker Zaprešić,NK Osijek,3,1,H,,,
CRO,1993-08-20,,Hajduk Split,NK Pomorac,4,1,H,,,
CRO,1993-08-20,,Croatia Zagreb,HNK Šibenik,4,0,H,,,
CRO,1993-08-20,,Cibalia Vinkovci,NK Radnik,3,0,H,,,
CRO,1993-08-20,,NK Belišce,NK Zagreb,2,4,A,,,
CRO,1993-08-28,,HNK Rijeka,Cibalia Vinkovci,0,0,D,,,
CRO,1993-08-28,,NK Radnik,NK Belišce,1,2,A,,,
CRO,1993-08-28,,NK Pomorac,NK Zadar,0,1,A,,,
CRO,1993-08-28,,NK Pazinka Pazin,NK Varteks,0,0,D,,,
CRO,1993-08-28,,NK Osijek,HNK Segesta,2,1,H,,,
CRO,1993-08-28,,HNK Dubrovnik,Hajduk Split,1,1,D,,,
CRO,1993-08-28,,NK Dubrava,NK Istra Pula,0,0,D,,,
CRO,1993-08-28,,Croatia Zagreb,NK Inker Zaprešić,2,3,A,,,
CRO,1993-08-28,,HNK Šibenik,NK Zagreb,0,3,A,,,
CRO,1993-09-04,,NK Zagreb,NK Radnik,4,1,H,,,
CRO,1993-09-04,,NK Zadar,HNK Dubrovnik,1,2,A,,,
CRO,1993-09-04,,NK Varteks,NK Osijek,4,2,H,,,
CRO,1993-09-04,,HNK Segesta,Croatia Zagreb,2,6,A,,,
CRO,1993-09-04,,NK Istra Pula,NK Pomorac,0,1,A,,,
CRO,1993-09-04,,NK Inker Zaprešić,HNK Šibenik,1,0,H,,,
CRO,1993-09-04,,Hajduk Split,NK Pazinka Pazin,5,1,H,,,
CRO,1993-09-04,,Cibalia Vinkovci,NK Dubrava,2,0,H,,,
CRO,1993-09-04,,NK Belišce,HNK Rijeka,1,1,D,,,
CRO,1993-09-11,,HNK Rijeka,NK Zagreb,2,2,D,,,
CRO,1993-09-11,,NK Pomorac,Cibalia Vinkovci,2,1,H,,,
CRO,1993-09-11,,NK Pazinka Pazin,NK Zadar,0,0,D,,,
CRO,1993-09-11,,NK Osijek,Hajduk Split,1,4,A,,,
CRO,1993-09-11,,NK Inker Zaprešić,HNK Segesta,1,2,A,,,
CRO,1993-09-11,,HNK Dubrovnik,NK Istra Pula,0,1,A,,,
CRO,1993-09-11,,NK Dubrava,NK Belišce,2,1,H,,,
CRO,1993-09-11,,Croatia Zagreb,NK Varteks,1,1,D,,,
CRO,1993-09-11,,HNK Šibenik,NK Radnik,2,0,H,,,
CRO,1993-09-18,,NK Zagreb,NK Dubrava,2,0,H,,,
CRO,1993-09-18,,NK Zadar,NK Osijek,1,1,D,,,
CRO,1993-09-18,,NK Varteks,NK Inker Zaprešić,3,0,H,,,
CRO,1993-09-18,,HNK Segesta,HNK Šibenik,3,1,H,,,
CRO,1993-09-18,,NK Radnik,HNK Rijeka,0,3,A,,,
CRO,1993-09-18,,NK Istra Pula,NK Pazinka Pazin,1,0,H,,,
CRO,1993-09-18,,Hajduk Split,Croatia Zagreb,4,2,H,,,
CRO,1993-09-18,,Cibalia Vinkovci,HNK Dubrovnik,3,0,H,,,
CRO,1993-09-18,,NK Belišce,NK Pomorac,1,1,D,,,
CRO,1993-09-25,,HNK Segesta,NK Varteks,1,2,A,,,
CRO,1993-09-25,,NK Pomorac,NK Zagreb,1,1,D,,,
CRO,1993-09-25,,NK Pazinka Pazin,Cibalia Vinkovci,2,0,H,,,
CRO,1993-09-25,,NK Osijek,NK Istra Pula,2,1,H,,,
CRO,1993-09-25,,NK Inker Zaprešić,Hajduk Split,1,1,D,,,
CRO,1993-09-25,,HNK Dubrovnik,NK Belišce,0,0,D,,,
CRO,1993-09-25,,NK Dubrava,NK Radnik,0,1,A,,,
CRO,1993-09-25,,Croatia Zagreb,NK Zadar,3,0,H,,,
CRO,1993-09-25,,HNK Šibenik,HNK Rijeka,1,1,D,,,
CRO,1993-10-02,,NK Zagreb,HNK Dubrovnik,3,0,H,,,
CRO,1993-10-02,,NK Zadar,NK Inker Zaprešić,0,0,D,,,
CRO,1993-10-02,,NK Varteks,HNK Šibenik,2,0,H,,,
CRO,1993-10-02,,HNK Rijeka,NK Dubrava,2,1,H,,,
CRO,1993-10-02,,NK Radnik,NK Pomorac,0,3,A,,,
CRO,1993-10-02,,NK Istra Pula,Croatia Zagreb,0,0,D,,,
CRO,1993-10-02,,Hajduk Split,HNK Segesta,1,1,D,,,
CRO,1993-10-02,,Cibalia Vinkovci,NK Osijek,1,1,D,,,
CRO,1993-10-02,,NK Belišce,NK Pazinka Pazin,2,0,H,,,
CRO,1993-10-09,,NK Varteks,Hajduk Split,3,1,H,,,
CRO,1993-10-09,,HNK Segesta,NK Zadar,3,1,H,,,
CRO,1993-10-09,,NK Pomorac,HNK Rijeka,1,1,D,,,
CRO,1993-10-09,,NK Pazinka Pazin,NK Zagreb,2,4,A,,,
CRO,1993-10-09,,NK Osijek,NK Belišce,0,2,A,,,
CRO,1993-10-09,,NK Inker Zaprešić,NK Istra Pula,2,0,H,,,
CRO,1993-10-09,,HNK Dubrovnik,NK Radnik,1,0,H,,,
CRO,1993-10-09,,Croatia Zagreb,Cibalia Vinkovci,0,0,D,,,
CRO,1993-10-09,,HNK Šibenik,NK Dubrava,2,0,H,,,
CRO,1993-10-16,,NK Zagreb,NK Osijek,1,1,D,,,
CRO,1993-10-16,,NK Zadar,NK Varteks,1,1,D,,,
CRO,1993-10-16,,HNK Rijeka,HNK Dubrovnik,2,2,D,,,
CRO,1993-10-16,,NK Radnik,NK Pazinka Pazin,2,1,H,,,
CRO,1993-10-16,,NK Istra Pula,HNK Segesta,0,0,D,,,
CRO,1993-10-16,,Hajduk Split,HNK Šibenik,2,0,H,,,
CRO,1993-10-16,,NK Dubrava,NK Pomorac,3,0,H,,,
CRO,1993-10-16,,Cibalia Vinkovci,NK Inker Zaprešić,2,0,H,,,
CRO,1993-10-16,,NK Belišce,Croatia Zagreb,0,6,A,,,
CRO,1993-10-23,,NK Varteks,NK Istra Pula,2,0,H,,,
CRO,1993-10-23,,HNK Segesta,Cibalia Vinkovci,1,1,D,,,
CRO,1993-10-23,,NK Pazinka Pazin,HNK Rijeka,0,0,D,,,
CRO,1993-10-23,,NK Osijek,NK Radnik,3,1,H,,,
CRO,1993-10-23,,NK Inker Zaprešić,NK Belišce,2,1,H,,,
CRO,1993-10-23,,Hajduk Split,NK Zadar,3,0,H,,,
