Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GEO,2015-08-13,14:00,Spartaki Tskhinvali,FC Saburtalo,1,2,A,1,0,H
GEO,2015-08-13,14:00,Chikhura Sachkhere,Lokomotiv Tbilisi,1,0,H,0,0,D
GEO,2015-08-14,14:00,Dila Gori,Kolkheti Poti,2,0,H,1,0,H
GEO,2015-08-14,14:00,Dinamo Batumi,FC Zugdidi,5,0,H,4,0,H
GEO,2015-08-14,14:00,FC Samtredia,FC Kobuleti,2,0,H,0,0,D
GEO,2015-08-14,14:00,Guria Lanchkhuti,Sioni Bolnisi,1,1,D,1,0,H
GEO,2015-08-14,16:00,Torpedo Kutaisi,FC Merani Martvili,4,0,H,1,0,H
GEO,2015-08-14,17:00,Dinamo Tbilisi,FC Sapovnela,4,0,H,2,0,H
GEO,2015-08-21,14:00,Dila Gori,Dinamo Batumi,1,1,D,1,0,H
GEO,2015-08-21,17:00,Lokomotiv Tbilisi,Dinamo Tbilisi,1,4,A,1,3,A
GEO,2015-08-22,14:00,Kolkheti Poti,Sioni Bolnisi,0,1,A,0,1,A
GEO,2015-08-22,14:00,FC Kobuleti,Guria Lanchkhuti,2,1,H,1,1,D
GEO,2015-08-22,14:00,FC Sapovnela,FC Samtredia,2,3,A,1,1,D
GEO,2015-08-22,14:00,FC Merani Martvili,Spartaki Tskhinvali,2,3,A,1,1,D
GEO,2015-08-22,14:00,FC Zugdidi,Torpedo Kutaisi,1,1,D,0,0,D
GEO,2015-08-22,14:00,FC Saburtalo,Chikhura Sachkhere,1,0,H,0,0,D
GEO,2015-08-29,15:00,Dinamo Tbilisi,FC Saburtalo,4,0,H,2,0,H
GEO,2015-08-30,14:00,Dinamo Batumi,Kolkheti Poti,2,0,H,2,0,H
GEO,2015-08-30,14:00,Spartaki Tskhinvali,FC Zugdidi,5,1,H,3,1,H
GEO,2015-08-30,14:00,Chikhura Sachkhere,FC Merani Martvili,3,0,H,0,0,D
GEO,2015-08-30,14:00,FC Samtredia,Lokomotiv Tbilisi,3,2,H,2,1,H
GEO,2015-08-30,14:00,Guria Lanchkhuti,FC Sapovnela,3,0,H,1,0,H
GEO,2015-08-30,14:00,Sioni Bolnisi,FC Kobuleti,2,0,H,0,0,D
GEO,2015-08-30,17:00,Torpedo Kutaisi,Dila Gori,0,2,A,0,0,D
