Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
GRE,2002-08-24,18:00,Panachaiki GE,Aris Saloniki,0,1,A,,,
GRE,2002-08-24,19:00,AO Aigaleo,AEK Athen,1,1,D,,,
GRE,2002-08-25,15:30,Iraklis Saloniki,OFI Heraklion,3,0,H,,,
GRE,2002-08-25,15:30,AO Proodeftiki,PAS Giannina,1,0,H,,,
GRE,2002-08-25,17:00,Panionios GSS,Ionikos Nikea,2,0,H,,,
GRE,2002-08-25,17:00,Akratitos Liosion,Skoda Xanthi,0,1,A,,,
GRE,2002-08-25,19:00,Olympiakos Piräus,Kallithea GS,1,0,H,,,
GRE,2002-08-25,19:00,PAOK Saloniki,Panathinaikos,4,1,H,,,
GRE,2002-08-31,17:00,Aris Saloniki,Panionios GSS,1,0,H,,,
GRE,2002-09-01,15:30,OFI Heraklion,Olympiakos Piräus,0,1,A,,,
GRE,2002-09-01,15:30,Kallithea GS,Akratitos Liosion,0,2,A,,,
GRE,2002-09-01,15:30,AEK Athen,PAS Giannina,3,1,H,,,
GRE,2002-09-01,16:00,Panathinaikos,AO Proodeftiki,0,1,A,,,
GRE,2002-09-01,17:30,Panachaiki GE,Iraklis Saloniki,0,2,A,,,
GRE,2002-09-01,18:00,Skoda Xanthi,PAOK Saloniki,1,1,D,,,
GRE,2002-09-01,19:00,Ionikos Nikea,AO Aigaleo,0,0,D,,,
GRE,2002-09-14,15:30,PAOK Saloniki,Kallithea GS,2,3,A,,,
GRE,2002-09-14,17:00,AEK Athen,Panathinaikos,1,0,H,,,
GRE,2002-09-14,19:00,Iraklis Saloniki,Olympiakos Piräus,2,2,D,,,
GRE,2002-09-15,15:00,Akratitos Liosion,OFI Heraklion,1,1,D,,,
GRE,2002-09-15,15:00,PAS Giannina,Ionikos Nikea,2,3,A,,,
GRE,2002-09-15,15:00,AO Proodeftiki,Skoda Xanthi,1,1,D,,,
GRE,2002-09-15,17:00,AO Aigaleo,Aris Saloniki,3,0,H,,,
GRE,2002-09-15,18:00,Panionios GSS,Panachaiki GE,2,0,H,,,
GRE,2002-09-21,15:00,Kallithea GS,AO Proodeftiki,1,1,D,,,
GRE,2002-09-21,17:00,Olympiakos Piräus,Akratitos Liosion,4,0,H,,,
GRE,2002-09-22,15:00,Panachaiki GE,AO Aigaleo,0,2,A,,,
GRE,2002-09-22,15:00,Aris Saloniki,PAS Giannina,2,0,H,,,
GRE,2002-09-22,16:00,Panionios GSS,Iraklis Saloniki,3,1,H,,,
GRE,2002-09-22,16:00,Skoda Xanthi,AEK Athen,0,1,A,,,
GRE,2002-09-22,17:00,OFI Heraklion,PAOK Saloniki,2,3,A,,,
GRE,2002-09-22,18:30,Ionikos Nikea,Panathinaikos,0,1,A,,,
GRE,2002-10-26,15:00,PAOK Saloniki,Olympiakos Piräus,1,1,D,,,
GRE,2002-10-26,15:00,AEK Athen,Kallithea GS,1,0,H,,,
GRE,2002-10-27,13:00,AO Aigaleo,Panionios GSS,0,0,D,,,
GRE,2002-10-27,13:00,PAS Giannina,Panachaiki GE,3,0,H,,,
GRE,2002-10-27,13:00,AO Proodeftiki,OFI Heraklion,0,0,D,,,
GRE,2002-10-27,15:00,Ionikos Nikea,Skoda Xanthi,0,0,D,,,
GRE,2002-10-27,16:00,Panathinaikos,Aris Saloniki,3,2,H,,,
GRE,2002-10-27,17:00,Iraklis Saloniki,Akratitos Liosion,1,0,H,,,
GRE,2002-11-02,13:00,Kallithea GS,Ionikos Nikea,0,1,A,,,
GRE,2002-11-03,13:00,AO Aigaleo,Iraklis Saloniki,0,2,A,,,
GRE,2002-11-03,13:00,Panionios GSS,PAS Giannina,2,0,H,,,
GRE,2002-11-03,13:00,Olympiakos Piräus,AO Proodeftiki,0,0,D,,,
GRE,2002-11-03,13:00,Panachaiki GE,Panathinaikos,0,3,A,,,
GRE,2002-11-03,13:00,Aris Saloniki,Skoda Xanthi,1,1,D,,,
GRE,2002-11-03,15:00,OFI Heraklion,AEK Athen,1,0,H,,,
GRE,2002-11-03,17:00,Akratitos Liosion,PAOK Saloniki,1,3,A,,,
GRE,2002-11-09,15:00,AEK Athen,Olympiakos Piräus,1,1,D,,,
GRE,2002-11-10,13:00,PAS Giannina,AO Aigaleo,1,1,D,,,
GRE,2002-11-10,13:00,AO Proodeftiki,Akratitos Liosion,5,1,H,,,
GRE,2002-11-10,13:00,Skoda Xanthi,Panachaiki GE,1,1,D,,,
GRE,2002-11-10,13:00,Aris Saloniki,Kallithea GS,1,1,D,,,
GRE,2002-11-10,15:00,Panathinaikos,Panionios GSS,1,0,H,,,
GRE,2002-11-10,15:00,Ionikos Nikea,OFI Heraklion,1,1,D,,,
GRE,2002-11-10,17:00,Iraklis Saloniki,PAOK Saloniki,1,1,D,,,
GRE,2002-11-23,13:00,OFI Heraklion,Aris Saloniki,1,2,A,,,
GRE,2002-11-24,13:00,PAS Giannina,Iraklis Saloniki,0,0,D,,,
GRE,2002-11-24,13:00,PAOK Saloniki,AO Proodeftiki,4,1,H,,,
GRE,2002-11-24,13:00,Panachaiki GE,Kallithea GS,1,2,A,,,
GRE,2002-11-24,15:00,AO Aigaleo,Panathinaikos,0,0,D,,,
GRE,2002-11-24,15:00,Panionios GSS,Skoda Xanthi,0,3,A,,,
GRE,2002-11-24,17:00,Akratitos Liosion,AEK Athen,3,2,H,,,
GRE,2002-11-24,17:00,Olympiakos Piräus,Ionikos Nikea,6,0,H,,,
GRE,2002-11-30,15:00,Iraklis Saloniki,AO Proodeftiki,1,0,H,,,
GRE,2002-12-01,13:00,Skoda Xanthi,AO Aigaleo,5,0,H,,,
GRE,2002-12-01,13:00,Ionikos Nikea,Akratitos Liosion,1,1,D,,,
GRE,2002-12-01,13:00,Kallithea GS,Panionios GSS,1,1,D,,,
GRE,2002-12-01,13:00,OFI Heraklion,Panachaiki GE,3,0,H,,,
GRE,2002-12-01,15:00,Panathinaikos,PAS Giannina,1,0,H,,,
GRE,2002-12-01,15:00,Aris Saloniki,Olympiakos Piräus,0,0,D,,,
GRE,2002-12-01,17:00,AEK Athen,PAOK Saloniki,3,4,A,,,
GRE,2002-12-07,15:00,Akratitos Liosion,Aris Saloniki,0,2,A,,,
GRE,2002-12-08,13:00,Panionios GSS,OFI Heraklion,0,0,D,,,
GRE,2002-12-08,15:00,AO Aigaleo,Kallithea GS,0,0,D,,,
GRE,2002-12-08,15:00,Olympiakos Piräus,Panachaiki GE,7,0,H,,,
GRE,2002-12-08,15:00,PAS Giannina,Skoda Xanthi,1,1,D,,,
GRE,2002-12-08,15:00,PAOK Saloniki,Ionikos Nikea,3,0,H,,,
GRE,2002-12-08,15:30,AO Proodeftiki,AEK Athen,1,1,D,,,
GRE,2002-12-08,17:00,Panathinaikos,Iraklis Saloniki,2,0,H,,,
GRE,2002-12-14,15:00,OFI Heraklion,AO Aigaleo,2,2,D,,,
GRE,2002-12-15,13:00,Kallithea GS,PAS Giannina,2,2,D,,,
GRE,2002-12-15,13:00,Panachaiki GE,Akratitos Liosion,2,0,H,,,
GRE,2002-12-15,15:00,Skoda Xanthi,Panathinaikos,0,0,D,,,
GRE,2002-12-15,15:00,Ionikos Nikea,AO Proodeftiki,0,1,A,,,
GRE,2002-12-15,15:00,Olympiakos Piräus,Panionios GSS,3,0,H,,,
GRE,2002-12-15,17:00,Aris Saloniki,PAOK Saloniki,2,0,H,,,
GRE,2002-12-16,15:00,Iraklis Saloniki,AEK Athen,0,2,A,,,
GRE,2002-12-21,15:00,AO Proodeftiki,Aris Saloniki,3,1,H,,,
GRE,2002-12-22,13:00,AEK Athen,Ionikos Nikea,3,0,H,,,
GRE,2002-12-22,14:00,PAS Giannina,OFI Heraklion,0,0,D,,,
GRE,2002-12-22,15:00,Skoda Xanthi,Iraklis Saloniki,1,0,H,,,
GRE,2002-12-22,15:00,PAOK Saloniki,Panachaiki GE,4,0,H,,,
GRE,2002-12-22,15:00,AO Aigaleo,Olympiakos Piräus,0,2,A,,,
GRE,2002-12-22,17:00,Panathinaikos,Kallithea GS,1,0,H,,,
GRE,2002-12-22,17:00,Akratitos Liosion,Panionios GSS,0,3,A,,,
GRE,2003-01-04,15:00,Panionios GSS,PAOK Saloniki,2,0,H,,,
