Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
ISR,2004-08-21,18:00,Maccabi Haifa,Beitar Jerusalem,1,1,D,,,
ISR,2004-08-21,,Maccabi Petach-Tikva,Maccabi Tel Aviv,2,1,H,,,
ISR,2004-08-21,,Bnei Sachnin FC,Hapoel Be'er Sheva,4,3,H,,,
ISR,2004-08-21,,SC Ashdod,Hapoel Nazareth,3,1,H,,,
ISR,2004-08-22,,Hapoel Tel Aviv,Hapoel Petach-Tikva,0,1,A,,,
ISR,2004-08-23,,Bnei Yehuda Tel Aviv,Hapoel Haifa,2,1,H,,,
ISR,2004-08-28,18:30,SC Ashdod,Maccabi Haifa,0,1,A,,,
ISR,2004-08-28,,Maccabi Tel Aviv,Bnei Yehuda Tel Aviv,1,0,H,,,
ISR,2004-08-28,,Hapoel Nazareth,Hapoel Be'er Sheva,3,3,D,,,
ISR,2004-08-29,18:35,Beitar Jerusalem,Hapoel Tel Aviv,1,2,A,,,
ISR,2004-08-30,16:35,Hapoel Haifa,Bnei Sachnin FC,1,0,H,,,
ISR,2004-08-30,18:30,Hapoel Petach-Tikva,Maccabi Petach-Tikva,0,0,D,,,
ISR,2004-09-11,14:10,Bnei Yehuda Tel Aviv,Hapoel Petach-Tikva,1,0,H,,,
ISR,2004-09-11,15:40,Hapoel Be'er Sheva,Hapoel Haifa,2,1,H,,,
ISR,2004-09-11,17:35,Bnei Sachnin FC,Maccabi Tel Aviv,0,1,A,,,
ISR,2004-09-11,19:30,Hapoel Tel Aviv,SC Ashdod,0,1,A,,,
ISR,2004-09-12,19:35,Maccabi Haifa,Hapoel Nazareth,3,1,H,,,
ISR,2004-09-13,18:30,Maccabi Petach-Tikva,Beitar Jerusalem,2,0,H,,,
ISR,2004-09-18,13:00,Hapoel Nazareth,Hapoel Haifa,0,0,D,,,
ISR,2004-09-18,14:55,SC Ashdod,Maccabi Petach-Tikva,0,0,D,,,
ISR,2004-09-18,16:50,Maccabi Tel Aviv,Hapoel Be'er Sheva,1,1,D,,,
ISR,2004-09-18,18:45,Beitar Jerusalem,Bnei Yehuda Tel Aviv,3,2,H,,,
ISR,2004-09-19,18:35,Maccabi Haifa,Hapoel Tel Aviv,1,0,H,,,
ISR,2004-09-20,18:00,Hapoel Petach-Tikva,Bnei Sachnin FC,1,1,D,,,
ISR,2004-10-02,14:00,Bnei Yehuda Tel Aviv,SC Ashdod,0,4,A,,,
ISR,2004-10-02,15:55,Hapoel Be'er Sheva,Hapoel Petach-Tikva,1,1,D,,,
ISR,2004-10-02,17:50,Hapoel Haifa,Maccabi Tel Aviv,1,2,A,,,
ISR,2004-10-02,19:45,Hapoel Tel Aviv,Hapoel Nazareth,3,1,H,,,
ISR,2004-10-03,19:35,Maccabi Petach-Tikva,Maccabi Haifa,0,2,A,,,
ISR,2004-10-04,19:30,Bnei Sachnin FC,Beitar Jerusalem,4,1,H,,,
ISR,2004-10-16,13:55,SC Ashdod,Bnei Sachnin FC,2,2,D,,,
ISR,2004-10-16,15:50,Hapoel Petach-Tikva,Hapoel Haifa,2,2,D,,,
ISR,2004-10-16,17:50,Beitar Jerusalem,Hapoel Be'er Sheva,4,1,H,,,
ISR,2004-10-16,19:30,Hapoel Nazareth,Maccabi Tel Aviv,1,1,D,,,
ISR,2004-10-17,19:35,Maccabi Haifa,Bnei Yehuda Tel Aviv,5,0,H,,,
ISR,2004-10-18,19:30,Hapoel Tel Aviv,Maccabi Petach-Tikva,2,2,D,,,
ISR,2004-10-23,13:55,Maccabi Petach-Tikva,Hapoel Nazareth,1,1,D,,,
ISR,2004-10-23,15:50,Bnei Yehuda Tel Aviv,Hapoel Tel Aviv,0,0,D,,,
ISR,2004-10-23,17:50,Hapoel Be'er Sheva,SC Ashdod,0,2,A,,,
ISR,2004-10-23,19:45,Hapoel Haifa,Beitar Jerusalem,3,1,H,,,
ISR,2004-10-24,19:35,Bnei Sachnin FC,Maccabi Haifa,1,4,A,,,
ISR,2004-10-25,19:30,Maccabi Tel Aviv,Hapoel Petach-Tikva,1,0,H,,,
ISR,2004-10-29,14:45,Maccabi Petach-Tikva,Bnei Yehuda Tel Aviv,3,0,H,,,
ISR,2004-10-30,13:55,Hapoel Nazareth,Hapoel Petach-Tikva,3,0,H,,,
ISR,2004-10-30,17:50,SC Ashdod,Hapoel Haifa,2,0,H,,,
ISR,2004-10-30,19:40,Beitar Jerusalem,Maccabi Tel Aviv,2,0,H,,,
ISR,2004-10-31,18:40,Maccabi Haifa,Hapoel Be'er Sheva,4,1,H,,,
ISR,2004-11-01,19:30,Hapoel Tel Aviv,Bnei Sachnin FC,3,2,H,,,
ISR,2004-11-05,13:45,Bnei Yehuda Tel Aviv,Hapoel Nazareth,3,1,H,,,
ISR,2004-11-06,14:40,Bnei Sachnin FC,Maccabi Petach-Tikva,0,0,D,,,
ISR,2004-11-06,16:35,Hapoel Petach-Tikva,Beitar Jerusalem,1,3,A,,,
ISR,2004-11-06,18:30,Hapoel Be'er Sheva,Hapoel Tel Aviv,1,0,H,,,
ISR,2004-11-07,18:40,Hapoel Haifa,Maccabi Haifa,1,4,A,,,
ISR,2004-11-08,18:30,Maccabi Tel Aviv,SC Ashdod,0,1,A,,,
ISR,2004-11-19,13:45,Bnei Yehuda Tel Aviv,Bnei Sachnin FC,3,0,H,,,
ISR,2004-11-20,14:40,SC Ashdod,Hapoel Petach-Tikva,2,0,H,,,
ISR,2004-11-20,16:35,Maccabi Haifa,Maccabi Tel Aviv,3,0,H,,,
ISR,2004-11-20,18:30,Hapoel Nazareth,Beitar Jerusalem,4,3,H,,,
ISR,2004-11-21,18:40,Hapoel Tel Aviv,Hapoel Haifa,1,2,A,,,
ISR,2004-11-22,18:30,Maccabi Petach-Tikva,Hapoel Be'er Sheva,0,0,D,,,
ISR,2004-11-26,13:45,Bnei Sachnin FC,Hapoel Nazareth,0,1,A,,,
ISR,2004-11-27,13:00,Hapoel Haifa,Maccabi Petach-Tikva,0,3,A,,,
ISR,2004-11-27,16:55,Hapoel Petach-Tikva,Maccabi Haifa,2,2,D,,,
ISR,2004-11-27,18:50,Beitar Jerusalem,SC Ashdod,1,0,H,,,
ISR,2004-11-28,18:40,Maccabi Tel Aviv,Hapoel Tel Aviv,1,0,H,,,
ISR,2004-11-29,18:30,Hapoel Be'er Sheva,Bnei Yehuda Tel Aviv,0,0,D,,,
ISR,2004-12-03,12:30,Hapoel Nazareth,SC Ashdod,2,0,H,,,
