Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
MLT,2006-03-04,,Birkirkara FC,Msida St. Joseph FC,5,0,H,,,
MLT,2006-03-04,,Hibernians FC,Valletta FC,1,3,A,,,
MLT,2006-03-05,,Marsaxlokk FC,Sliema Wanderers,2,1,H,,,
MLT,2006-03-11,,Valletta FC,Birkirkara FC,0,0,D,,,
MLT,2006-03-11,,Sliema Wanderers,Hibernians FC,3,0,H,,,
MLT,2006-03-12,,Marsaxlokk FC,Msida St. Joseph FC,1,0,H,,,
MLT,2006-03-18,,Valletta FC,Sliema Wanderers,1,2,A,,,
MLT,2006-03-18,,Birkirkara FC,Marsaxlokk FC,1,0,H,,,
MLT,2006-03-19,,Msida St. Joseph FC,Hibernians FC,1,1,D,,,
MLT,2006-03-25,,Hibernians FC,Birkirkara FC,1,3,A,,,
MLT,2006-03-26,,Marsaxlokk FC,Valletta FC,3,4,A,,,
MLT,2006-03-26,,Sliema Wanderers,Msida St. Joseph FC,4,1,H,,,
MLT,2006-04-01,,Valletta FC,Msida St. Joseph FC,2,2,D,,,
MLT,2006-04-01,,Hibernians FC,Marsaxlokk FC,3,1,H,,,
MLT,2006-04-02,,Birkirkara FC,Sliema Wanderers,1,1,D,,,
MLT,2006-04-15,,Msida St. Joseph FC,Birkirkara FC,1,4,A,,,
MLT,2006-04-15,,Valletta FC,Hibernians FC,2,2,D,,,
MLT,2006-04-16,,Sliema Wanderers,Marsaxlokk FC,0,1,A,,,
MLT,2006-04-21,,Valletta FC,Birkirkara FC,0,3,A,,,
MLT,2006-04-22,,Hibernians FC,Sliema Wanderers,4,3,H,,,
MLT,2006-04-22,,Msida St. Joseph FC,Marsaxlokk FC,3,4,A,,,
MLT,2006-04-29,,Sliema Wanderers,Valletta FC,2,1,H,,,
MLT,2006-04-30,,Marsaxlokk FC,Birkirkara FC,1,1,D,,,
MLT,2006-04-30,,Hibernians FC,Msida St. Joseph FC,0,0,D,,,
MLT,2006-05-05,,Valletta FC,Marsaxlokk FC,0,2,A,,,
MLT,2006-05-06,,Msida St. Joseph FC,Sliema Wanderers,3,3,D,,,
MLT,2006-05-07,,Birkirkara FC,Hibernians FC,1,0,H,,,
MLT,2006-05-12,,Msida St. Joseph FC,Valletta FC,1,2,A,,,
MLT,2006-05-13,,Marsaxlokk FC,Hibernians FC,1,0,H,,,
MLT,2006-05-14,,Sliema Wanderers,Birkirkara FC,2,1,H,,,
