Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
NIR,2010-04-03,15:00,Glentoran Belfast,Dungannon Swifts,1,0,H,,,
NIR,2010-04-06,19:45,Linfield FC,Glentoran Belfast,3,1,H,,,
NIR,2010-04-06,19:45,Portadown FC,Dungannon Swifts,1,2,A,,,
NIR,2010-04-08,19:45,Cliftonville FC,Crusaders FC,1,0,H,,,
NIR,2010-04-10,15:00,Dungannon Swifts,Linfield FC,0,1,A,,,
NIR,2010-04-17,15:00,Cliftonville FC,Portadown FC,2,1,H,,,
NIR,2010-04-17,15:00,Crusaders FC,Glentoran Belfast,2,1,H,,,
NIR,2010-04-20,19:45,Portadown FC,Crusaders FC,2,2,D,,,
NIR,2010-04-24,15:00,Cliftonville FC,Dungannon Swifts,4,1,H,,,
NIR,2010-04-24,15:00,Crusaders FC,Linfield FC,0,0,D,,,
NIR,2010-04-24,15:00,Glentoran Belfast,Portadown FC,2,0,H,,,
NIR,2010-04-27,19:45,Linfield FC,Cliftonville FC,1,0,H,,,
NIR,2010-05-01,15:00,Crusaders FC,Dungannon Swifts,2,3,A,,,
NIR,2010-05-01,15:00,Glentoran Belfast,Cliftonville FC,0,3,A,,,
NIR,2010-05-01,15:00,Portadown FC,Linfield FC,1,0,H,,,
