Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
NIR,2010-04-06,19:45,Ballymena United,Coleraine FC,2,4,A,,,
NIR,2010-04-06,19:45,Glenavon FC,Institute FC Drumahoe,1,2,A,,,
NIR,2010-04-10,15:00,Lisburn Distillery,Institute FC Drumahoe,2,1,H,,,
NIR,2010-04-13,19:45,Coleraine FC,Newry City FC,2,3,A,,,
NIR,2010-04-17,15:00,Ballymena United,Institute FC Drumahoe,3,0,H,,,
NIR,2010-04-17,15:00,Glenavon FC,Lisburn Distillery,1,3,A,,,
NIR,2010-04-20,19:45,Coleraine FC,Glenavon FC,1,0,H,,,
NIR,2010-04-20,19:45,Newry City FC,Ballymena United,1,0,H,,,
NIR,2010-04-23,19:45,Institute FC Drumahoe,Coleraine FC,1,1,D,,,
NIR,2010-04-24,15:00,Ballymena United,Lisburn Distillery,1,2,A,,,
NIR,2010-04-24,15:00,Newry City FC,Glenavon FC,3,2,H,,,
NIR,2010-04-27,19:45,Newry City FC,Lisburn Distillery,2,2,D,,,
NIR,2010-05-01,15:00,Glenavon FC,Ballymena United,1,1,D,,,
NIR,2010-05-01,15:00,Institute FC Drumahoe,Newry City FC,1,1,D,,,
NIR,2010-05-01,15:00,Lisburn Distillery,Coleraine FC,1,1,D,,,
