Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
POL,1988-07-30,,Legia Warszawa,Olimpia Poznan,3,0,H,,,
POL,1988-07-30,,Górnik Zabrze,Śląsk Wrocław,1,1,D,,,
POL,1988-07-30,,Widzew Łódź,Gornik Walbrzych,1,0,H,,,
POL,1988-07-30,,Ruch Chorzów,Szombierki Bytom,2,1,H,,,
POL,1988-07-30,,Pogoń Szczecin,GKS Katowice,1,1,D,,,
POL,1988-07-30,,Stal Mielec,ŁKS Łódź,3,3,D,,,
POL,1988-07-30,,Wisła Kraków,Jagiellonia Białystok,0,1,A,,,
POL,1988-07-30,,GKS Jastrzebie,Lech Poznań,0,2,A,,,
POL,1988-08-06,,GKS Jastrzebie,Legia Warszawa,1,1,D,,,
POL,1988-08-06,,Lech Poznań,Wisła Kraków,3,0,H,,,
POL,1988-08-06,,Jagiellonia Białystok,Stal Mielec,1,0,H,,,
POL,1988-08-06,,ŁKS Łódź,Pogoń Szczecin,2,1,H,,,
POL,1988-08-06,,GKS Katowice,Ruch Chorzów,0,0,D,,,
POL,1988-08-06,,Szombierki Bytom,Widzew Łódź,3,3,D,,,
POL,1988-08-06,,Gornik Walbrzych,Górnik Zabrze,0,2,A,,,
POL,1988-08-06,,Śląsk Wrocław,Olimpia Poznan,1,0,H,,,
POL,1988-08-13,,Legia Warszawa,Śląsk Wrocław,0,0,D,,,
POL,1988-08-13,,Olimpia Poznan,Gornik Walbrzych,0,2,A,,,
POL,1988-08-13,,Górnik Zabrze,Szombierki Bytom,8,3,H,,,
POL,1988-08-13,,Widzew Łódź,GKS Katowice,0,1,A,,,
POL,1988-08-13,,Ruch Chorzów,ŁKS Łódź,1,0,H,,,
POL,1988-08-13,,Pogoń Szczecin,Jagiellonia Białystok,1,0,H,,,
POL,1988-08-13,,Stal Mielec,Lech Poznań,1,0,H,,,
POL,1988-08-13,,Wisła Kraków,GKS Jastrzebie,1,0,H,,,
POL,1988-08-20,,Wisła Kraków,Legia Warszawa,1,1,D,,,
POL,1988-08-20,,GKS Jastrzebie,Stal Mielec,2,0,H,,,
POL,1988-08-20,,Lech Poznań,Pogoń Szczecin,2,0,H,,,
POL,1988-08-20,,Jagiellonia Białystok,Ruch Chorzów,1,1,D,,,
POL,1988-08-20,,ŁKS Łódź,Widzew Łódź,1,0,H,,,
POL,1988-08-20,,GKS Katowice,Górnik Zabrze,3,2,H,,,
POL,1988-08-20,,Szombierki Bytom,Olimpia Poznan,1,2,A,,,
POL,1988-08-20,,Gornik Walbrzych,Śląsk Wrocław,1,1,D,,,
POL,1988-08-27,,Legia Warszawa,Gornik Walbrzych,3,0,H,,,
POL,1988-08-27,,Śląsk Wrocław,Szombierki Bytom,1,1,D,,,
POL,1988-08-27,,Olimpia Poznan,GKS Katowice,0,3,A,,,
POL,1988-08-27,,Górnik Zabrze,ŁKS Łódź,1,0,H,,,
POL,1988-08-27,,Widzew Łódź,Jagiellonia Białystok,1,1,D,,,
POL,1988-08-27,,Ruch Chorzów,Lech Poznań,1,0,H,,,
POL,1988-08-27,,Pogoń Szczecin,GKS Jastrzebie,2,0,H,,,
POL,1988-08-27,,Stal Mielec,Wisła Kraków,3,2,H,,,
POL,1988-09-03,,Stal Mielec,Legia Warszawa,1,2,A,,,
POL,1988-09-03,,Wisła Kraków,Pogoń Szczecin,4,2,H,,,
POL,1988-09-03,,GKS Jastrzebie,Ruch Chorzów,0,3,A,,,
POL,1988-09-03,,Lech Poznań,Widzew Łódź,1,1,D,,,
POL,1988-09-03,,Jagiellonia Białystok,Górnik Zabrze,1,1,D,,,
POL,1988-09-03,,ŁKS Łódź,Olimpia Poznan,2,1,H,,,
POL,1988-09-03,,GKS Katowice,Śląsk Wrocław,2,0,H,,,
POL,1988-09-03,,Szombierki Bytom,Gornik Walbrzych,2,0,H,,,
POL,1988-09-10,,Legia Warszawa,Szombierki Bytom,1,1,D,,,
POL,1988-09-10,,Gornik Walbrzych,GKS Katowice,0,1,A,,,
POL,1988-09-10,,Śląsk Wrocław,ŁKS Łódź,1,1,D,,,
POL,1988-09-10,,Olimpia Poznan,Jagiellonia Białystok,1,1,D,,,
POL,1988-09-10,,Górnik Zabrze,Lech Poznań,2,1,H,,,
POL,1988-09-10,,Widzew Łódź,GKS Jastrzebie,0,0,D,,,
POL,1988-09-10,,Ruch Chorzów,Wisła Kraków,1,0,H,,,
POL,1988-09-10,,Pogoń Szczecin,Stal Mielec,2,1,H,,,
POL,1988-09-24,,Pogoń Szczecin,Legia Warszawa,0,3,A,,,
POL,1988-09-24,,Stal Mielec,Ruch Chorzów,2,0,H,,,
POL,1988-09-24,,Wisła Kraków,Widzew Łódź,2,1,H,,,
POL,1988-09-24,,GKS Jastrzebie,Górnik Zabrze,0,1,A,,,
POL,1988-09-24,,Lech Poznań,Olimpia Poznan,1,2,A,,,
POL,1988-09-24,,Jagiellonia Białystok,Śląsk Wrocław,1,0,H,,,
POL,1988-09-24,,ŁKS Łódź,Gornik Walbrzych,3,0,H,,,
POL,1988-09-24,,GKS Katowice,Szombierki Bytom,1,1,D,,,
POL,1988-09-28,,Legia Warszawa,GKS Katowice,0,2,A,,,
POL,1988-09-28,,Szombierki Bytom,ŁKS Łódź,2,0,H,,,
POL,1988-09-28,,Gornik Walbrzych,Jagiellonia Białystok,2,0,H,,,
POL,1988-09-28,,Śląsk Wrocław,Lech Poznań,1,2,A,,,
POL,1988-09-28,,Olimpia Poznan,GKS Jastrzebie,1,0,H,,,
POL,1988-09-28,,Górnik Zabrze,Wisła Kraków,4,0,H,,,
POL,1988-09-28,,Widzew Łódź,Stal Mielec,0,0,D,,,
POL,1988-09-28,,Ruch Chorzów,Pogoń Szczecin,1,1,D,,,
POL,1988-10-01,,Ruch Chorzów,Legia Warszawa,1,0,H,,,
POL,1988-10-01,,Pogoń Szczecin,Widzew Łódź,1,1,D,,,
POL,1988-10-01,,Stal Mielec,Górnik Zabrze,0,0,D,,,
POL,1988-10-01,,Wisła Kraków,Olimpia Poznan,1,1,D,,,
POL,1988-10-01,,GKS Jastrzebie,Śląsk Wrocław,2,0,H,,,
POL,1988-10-01,,Lech Poznań,Gornik Walbrzych,1,1,D,,,
POL,1988-10-01,,Jagiellonia Białystok,Szombierki Bytom,1,0,H,,,
POL,1988-10-01,,ŁKS Łódź,GKS Katowice,0,2,A,,,
POL,1988-10-08,,Legia Warszawa,ŁKS Łódź,2,0,H,,,
POL,1988-10-08,,GKS Katowice,Jagiellonia Białystok,0,1,A,,,
POL,1988-10-08,,Szombierki Bytom,Lech Poznań,2,3,A,,,
POL,1988-10-08,,Gornik Walbrzych,GKS Jastrzebie,2,1,H,,,
POL,1988-10-08,,Śląsk Wrocław,Wisła Kraków,0,0,D,,,
POL,1988-10-08,,Olimpia Poznan,Stal Mielec,0,1,A,,,
POL,1988-10-08,,Górnik Zabrze,Pogoń Szczecin,3,0,H,,,
POL,1988-10-08,,Widzew Łódź,Ruch Chorzów,0,0,D,,,
POL,1988-10-22,,Widzew Łódź,Legia Warszawa,0,0,D,,,
POL,1988-10-22,,Ruch Chorzów,Górnik Zabrze,2,0,H,,,
POL,1988-10-22,,Pogoń Szczecin,Olimpia Poznan,3,2,H,,,
POL,1988-10-22,,Stal Mielec,Śląsk Wrocław,3,0,H,,,
POL,1988-10-22,,Wisła Kraków,Gornik Walbrzych,1,2,A,,,
POL,1988-10-22,,GKS Jastrzebie,Szombierki Bytom,1,0,H,,,
POL,1988-10-22,,Lech Poznań,GKS Katowice,2,2,D,,,
POL,1988-10-22,,Jagiellonia Białystok,ŁKS Łódź,1,3,A,,,
POL,1988-10-29,,Legia Warszawa,Jagiellonia Białystok,2,0,H,,,
POL,1988-10-29,,ŁKS Łódź,Lech Poznań,1,3,A,,,
POL,1988-10-29,,GKS Katowice,GKS Jastrzebie,3,0,H,,,
POL,1988-10-29,,Szombierki Bytom,Wisła Kraków,0,3,A,,,
POL,1988-10-29,,Gornik Walbrzych,Stal Mielec,0,1,A,,,
POL,1988-10-29,,Śląsk Wrocław,Pogoń Szczecin,2,2,D,,,
POL,1988-10-29,,Olimpia Poznan,Ruch Chorzów,3,1,H,,,
POL,1988-10-29,,Górnik Zabrze,Widzew Łódź,1,0,H,,,
POL,1988-11-05,,Górnik Zabrze,Legia Warszawa,2,1,H,,,
POL,1988-11-05,,Widzew Łódź,Olimpia Poznan,2,1,H,,,
POL,1988-11-05,,Ruch Chorzów,Śląsk Wrocław,3,0,H,,,
POL,1988-11-05,,Pogoń Szczecin,Gornik Walbrzych,4,1,H,,,
POL,1988-11-05,,Stal Mielec,Szombierki Bytom,3,1,H,,,
POL,1988-11-05,,Wisła Kraków,GKS Katowice,3,1,H,,,
POL,1988-11-05,,GKS Jastrzebie,ŁKS Łódź,0,0,D,,,
POL,1988-11-05,,Lech Poznań,Jagiellonia Białystok,1,0,H,,,
POL,1988-11-19,,Legia Warszawa,Lech Poznań,3,0,H,,,
POL,1988-11-19,,Jagiellonia Białystok,GKS Jastrzebie,0,0,D,,,
POL,1988-11-19,,ŁKS Łódź,Wisła Kraków,2,1,H,,,
POL,1988-11-19,,GKS Katowice,Stal Mielec,3,0,H,,,
POL,1988-11-19,,Szombierki Bytom,Pogoń Szczecin,3,2,H,,,
POL,1988-11-19,,Gornik Walbrzych,Ruch Chorzów,0,2,A,,,
POL,1988-11-19,,Śląsk Wrocław,Widzew Łódź,0,2,A,,,
POL,1988-11-19,,Olimpia Poznan,Górnik Zabrze,0,3,A,,,
POL,1989-03-11,,Olimpia Poznan,Legia Warszawa,2,1,H,,,
POL,1989-03-11,,Śląsk Wrocław,Górnik Zabrze,1,0,H,,,
POL,1989-03-11,,Gornik Walbrzych,Widzew Łódź,0,1,A,,,
POL,1989-03-11,,Szombierki Bytom,Ruch Chorzów,0,1,A,,,
POL,1989-03-11,,GKS Katowice,Pogoń Szczecin,2,0,H,,,
POL,1989-03-11,,ŁKS Łódź,Stal Mielec,0,0,D,,,
POL,1989-03-11,,Jagiellonia Białystok,Wisła Kraków,0,0,D,,,
POL,1989-03-11,,Lech Poznań,GKS Jastrzebie,3,0,H,,,
POL,1989-03-18,,Legia Warszawa,GKS Jastrzebie,1,0,H,,,
POL,1989-03-18,,Wisła Kraków,Lech Poznań,0,0,D,,,
POL,1989-03-18,,Stal Mielec,Jagiellonia Białystok,2,0,H,,,
POL,1989-03-18,,Pogoń Szczecin,ŁKS Łódź,1,2,A,,,
POL,1989-03-18,,Ruch Chorzów,GKS Katowice,1,1,D,,,
POL,1989-03-18,,Widzew Łódź,Szombierki Bytom,2,0,H,,,
POL,1989-03-18,,Górnik Zabrze,Gornik Walbrzych,1,0,H,,,
POL,1989-03-18,,Olimpia Poznan,Śląsk Wrocław,1,1,D,,,
POL,1989-03-25,,Śląsk Wrocław,Legia Warszawa,0,0,D,,,
POL,1989-03-25,,Gornik Walbrzych,Olimpia Poznan,1,2,A,,,
POL,1989-03-25,,Szombierki Bytom,Górnik Zabrze,1,3,A,,,
POL,1989-03-25,,GKS Katowice,Widzew Łódź,2,1,H,,,
POL,1989-03-25,,ŁKS Łódź,Ruch Chorzów,2,2,D,,,
POL,1989-03-25,,Jagiellonia Białystok,Pogoń Szczecin,1,0,H,,,
POL,1989-03-25,,Lech Poznań,Stal Mielec,1,0,H,,,
POL,1989-03-25,,GKS Jastrzebie,Wisła Kraków,4,2,H,,,
POL,1989-03-29,,Legia Warszawa,Wisła Kraków,4,0,H,,,
POL,1989-03-29,,Stal Mielec,GKS Jastrzebie,0,1,A,,,
