Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SCO,1930-08-09,,Airdrieonians FC (old),Queen's Park FC,1,3,A,,,
SCO,1930-08-09,,Ayr United,Greenock Morton FC,2,2,D,,,
SCO,1930-08-09,,Celtic FC,Kilmarnock FC,3,1,H,,,
SCO,1930-08-09,,Cowdenbeath FC,Rangers FC,1,3,A,,,
SCO,1930-08-09,,Dundee FC,Clyde FC,2,1,H,,,
SCO,1930-08-09,,Heart of Midlothian,Hamilton Academical,0,4,A,,,
SCO,1930-08-09,,Leith Athletic,Falkirk FC,2,2,D,,,
SCO,1930-08-09,,Motherwell FC,East Fife FC,4,1,H,,,
SCO,1930-08-09,,Partick Thistle,Aberdeen FC,2,1,H,,,
SCO,1930-08-09,,St. Mirren FC,Hibernian FC,1,0,H,,,
SCO,1930-08-16,,Aberdeen FC,Leith Athletic,2,1,H,,,
SCO,1930-08-16,,Clyde FC,Ayr United,1,1,D,,,
SCO,1930-08-16,,East Fife FC,Dundee FC,1,2,A,,,
SCO,1930-08-16,,Falkirk FC,Celtic FC,3,2,H,,,
SCO,1930-08-16,,Greenock Morton FC,Airdrieonians FC (old),5,0,H,,,
SCO,1930-08-16,,Hamilton Academical,St. Mirren FC,1,0,H,,,
SCO,1930-08-16,,Hibernian FC,Motherwell FC,2,2,D,,,
SCO,1930-08-16,,Kilmarnock FC,Partick Thistle,2,0,H,,,
SCO,1930-08-16,,Queen's Park FC,Cowdenbeath FC,0,3,A,,,
SCO,1930-08-16,,Rangers FC,Heart of Midlothian,4,1,H,,,
SCO,1930-08-23,,Airdrieonians FC (old),Kilmarnock FC,4,3,H,,,
SCO,1930-08-23,,Ayr United,Falkirk FC,2,5,A,,,
SCO,1930-08-23,,Celtic FC,Hibernian FC,6,0,H,,,
SCO,1930-08-23,,Cowdenbeath FC,Aberdeen FC,2,0,H,,,
SCO,1930-08-23,,Dundee FC,Rangers FC,0,1,A,,,
SCO,1930-08-23,,Heart of Midlothian,East Fife FC,6,1,H,,,
SCO,1930-08-23,,Leith Athletic,Hamilton Academical,1,2,A,,,
SCO,1930-08-23,,Motherwell FC,Queen's Park FC,2,1,H,,,
SCO,1930-08-23,,Partick Thistle,Greenock Morton FC,2,1,H,,,
SCO,1930-08-23,,St. Mirren FC,Clyde FC,2,1,H,,,
SCO,1930-08-30,,Aberdeen FC,Airdrieonians FC (old),2,0,H,,,
SCO,1930-08-30,,Clyde FC,Cowdenbeath FC,5,2,H,,,
SCO,1930-08-30,,East Fife FC,Celtic FC,2,6,A,,,
