Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SCO,2003-04-26,15:00,Aberdeen FC,Livingston FC,1,0,H,,,
SCO,2003-04-26,15:00,Dundee United,Hibernian FC,1,2,A,,,
SCO,2003-04-26,15:00,Partick Thistle,Motherwell FC,3,0,H,,,
SCO,2003-05-03,15:00,Hibernian FC,Aberdeen FC,3,1,H,,,
SCO,2003-05-03,15:00,Motherwell FC,Dundee United,2,2,D,,,
SCO,2003-05-03,15:00,Livingston FC,Partick Thistle,3,1,H,,,
SCO,2003-05-10,15:00,Aberdeen FC,Partick Thistle,2,1,H,,,
SCO,2003-05-10,15:00,Hibernian FC,Motherwell FC,1,0,H,,,
SCO,2003-05-10,15:00,Livingston FC,Dundee United,1,2,A,,,
SCO,2003-05-17,15:00,Partick Thistle,Dundee United,0,1,A,,,
SCO,2003-05-17,15:00,Motherwell FC,Aberdeen FC,2,3,A,,,
SCO,2003-05-17,15:00,Livingston FC,Hibernian FC,1,2,A,,,
SCO,2003-05-24,15:00,Dundee United,Aberdeen FC,0,2,A,,,
SCO,2003-05-24,15:00,Hibernian FC,Partick Thistle,2,3,A,,,
SCO,2003-05-24,15:00,Motherwell FC,Livingston FC,6,2,H,,,
