Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SMR,2014-05-03,16:00,SP Tre Penne,SS Folgore/Falciano,4,5,A,,,
SMR,2014-05-03,16:00,SS Cosmos,SC Faetano,4,3,H,,,
SMR,2014-05-08,20:00,SC Faetano,SP Tre Penne,2,1,H,,,
SMR,2014-05-09,20:00,SS Cosmos,SS Folgore/Falciano,0,2,A,,,
SMR,2014-05-10,16:00,SP La Fiorita,SP Tre Fiori,4,1,H,,,
SMR,2014-05-13,20:00,SC Faetano,SS Cosmos,0,1,A,,,
SMR,2014-05-16,20:00,SP Tre Fiori,SS Folgore/Falciano,0,1,A,,,
SMR,2014-05-19,20:00,SP La Fiorita,SS Cosmos,2,1,H,,,
SMR,2014-05-23,20:00,SP La Fiorita,SP Tre Fiori,4,1,H,,,
SMR,2014-05-27,20:00,SS Folgore/Falciano,SP La Fiorita,0,2,A,,,
