Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SMR,2016-09-09,20:15,SS Murata,SS Folgore/Falciano,0,3,A,,,
SMR,2016-09-10,14:00,SS Virtus,SP Tre Fiori,4,1,H,,,
SMR,2016-09-10,14:00,SS Cosmos,AC Juvenes/Dogana,0,2,A,,,
SMR,2016-09-10,14:00,SS Pennarossa,AC Libertas,1,2,A,,,
SMR,2016-09-11,14:00,FC Domagnano,SP Cailungo,4,1,H,,,
SMR,2016-09-11,14:00,SP Tre Penne,SS San Giovanni,4,1,H,,,
SMR,2016-09-11,14:00,FC Fiorentino,SP La Fiorita,1,2,A,,,
SMR,2016-09-17,14:00,SS San Giovanni,FC Domagnano,0,0,D,,,
SMR,2016-09-17,14:00,SP La Fiorita,SP Tre Fiori,3,2,H,,,
SMR,2016-09-17,14:00,SP Cailungo,SS Folgore/Falciano,1,4,A,,,
SMR,2016-09-18,14:00,AC Libertas,SP Tre Penne,0,1,A,,,
SMR,2016-09-18,14:00,SC Faetano,SS Cosmos,3,1,H,,,
SMR,2016-09-18,14:00,AC Juvenes/Dogana,SS Virtus,1,2,A,,,
SMR,2016-09-18,14:00,SS Pennarossa,SS Murata,2,3,A,,,
SMR,2016-09-23,20:15,SS Virtus,SC Faetano,2,0,H,,,
SMR,2016-09-24,14:00,SP Cailungo,AC Libertas,0,2,A,,,
SMR,2016-09-24,14:00,SP Tre Penne,SS Pennarossa,0,2,A,,,
SMR,2016-09-24,14:00,SS Murata,SS San Giovanni,5,2,H,,,
SMR,2016-09-25,14:00,SS Cosmos,FC Fiorentino,1,3,A,,,
SMR,2016-09-25,14:00,SP Tre Fiori,AC Juvenes/Dogana,3,2,H,,,
SMR,2016-09-25,14:00,SS Folgore/Falciano,FC Domagnano,4,0,H,,,
SMR,2016-10-01,14:00,SS Pennarossa,SP Cailungo,1,1,D,,,
SMR,2016-10-01,14:00,AC Libertas,FC Domagnano,4,1,H,,,
SMR,2016-10-01,14:00,SS Murata,SP Tre Penne,1,1,D,,,
SMR,2016-10-01,14:00,AC Juvenes/Dogana,SP La Fiorita,0,1,A,,,
SMR,2016-10-02,14:00,SS San Giovanni,SS Folgore/Falciano,0,4,A,,,
SMR,2016-10-02,14:00,FC Fiorentino,SC Faetano,0,0,D,,,
SMR,2016-10-02,14:00,SS Cosmos,SS Virtus,3,1,H,,,
SMR,2016-10-15,14:00,SC Faetano,SP La Fiorita,1,0,H,,,
SMR,2016-10-15,14:00,FC Domagnano,SS Murata,2,2,D,,,
SMR,2016-10-15,14:00,SS Virtus,FC Fiorentino,0,0,D,,,
SMR,2016-10-15,14:00,SP Cailungo,SP Tre Penne,0,1,A,,,
SMR,2016-10-16,14:00,SP Tre Fiori,SS Cosmos,0,1,A,,,
SMR,2016-10-16,14:00,SS San Giovanni,SS Pennarossa,0,4,A,,,
SMR,2016-10-16,14:00,SS Folgore/Falciano,AC Libertas,1,2,A,,,
SMR,2016-10-21,20:15,AC Juvenes/Dogana,SC Faetano,0,0,D,,,
SMR,2016-10-22,14:00,SP Tre Fiori,FC Fiorentino,0,0,D,,,
SMR,2016-10-22,14:00,SS Pennarossa,SS Folgore/Falciano,0,1,A,,,
SMR,2016-10-22,14:00,SP Cailungo,SS San Giovanni,0,1,A,,,
SMR,2016-10-23,14:00,SP Tre Penne,FC Domagnano,1,4,A,,,
SMR,2016-10-23,14:00,SP La Fiorita,SS Virtus,1,1,D,,,
SMR,2016-10-23,14:00,AC Libertas,SS Murata,2,0,H,,,
SMR,2016-11-05,14:00,SP La Fiorita,SS Cosmos,3,3,D,,,
SMR,2016-11-05,14:00,FC Domagnano,SS Pennarossa,5,0,H,,,
SMR,2016-11-05,14:00,SS Folgore/Falciano,SP Tre Penne,0,1,A,,,
SMR,2016-11-05,14:00,AC Libertas,SS San Giovanni,0,0,D,,,
SMR,2016-11-06,14:00,SC Faetano,SP Tre Fiori,1,1,D,,,
SMR,2016-11-06,14:00,SS Murata,SP Cailungo,1,0,H,,,
SMR,2016-11-06,14:00,FC Fiorentino,AC Juvenes/Dogana,0,0,D,,,
SMR,2016-11-15,20:15,SP La Fiorita,FC Domagnano,3,0,H,,,
SMR,2016-11-15,20:15,SS Virtus,SS Pennarossa,2,0,H,,,
SMR,2016-11-15,20:15,SP Tre Penne,SS Cosmos,5,2,H,,,
SMR,2016-11-15,20:15,SP Tre Fiori,SS Folgore/Falciano,1,2,A,,,
SMR,2016-11-16,20:15,FC Fiorentino,SS San Giovanni,3,0,H,,,
SMR,2016-11-16,20:15,SP Cailungo,AC Juvenes/Dogana,2,3,A,,,
SMR,2016-11-16,20:15,SC Faetano,AC Libertas,1,2,A,,,
SMR,2016-11-19,14:00,SS San Giovanni,SC Faetano,1,2,A,,,
SMR,2016-11-19,14:00,FC Domagnano,FC Fiorentino,2,0,H,,,
SMR,2016-11-19,14:00,SS Murata,SP Tre Fiori,1,3,A,,,
SMR,2016-11-19,14:00,AC Juvenes/Dogana,AC Libertas,0,0,D,,,
SMR,2016-11-20,14:00,SP La Fiorita,SP Tre Penne,0,2,A,,,
SMR,2016-11-20,14:00,SS Virtus,SS Folgore/Falciano,1,2,A,,,
SMR,2016-11-20,14:00,SS Pennarossa,SS Cosmos,0,5,A,,,
SMR,2016-11-26,14:00,AC Libertas,SS Virtus,0,2,A,,,
SMR,2016-11-26,14:00,SC Faetano,SS Pennarossa,4,2,H,,,
SMR,2016-11-26,14:00,SP Cailungo,FC Fiorentino,0,1,A,,,
SMR,2016-11-26,14:00,SS San Giovanni,AC Juvenes/Dogana,1,3,A,,,
SMR,2016-11-27,14:00,SS Cosmos,FC Domagnano,1,5,A,,,
SMR,2016-11-27,14:00,SS Murata,SP La Fiorita,0,4,A,,,
