Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SUI,2008-07-18,19:15,BSC Young Boys,FC Basel,1,2,A,1,0,H
SUI,2008-07-19,16:45,FC Aarau,FC Sion,3,1,H,2,0,H
SUI,2008-07-20,15:00,FC Luzern,FC Vaduz,1,2,A,1,2,A
SUI,2008-07-20,15:00,Neuchâtel Xamax FC,FC Zürich,1,2,A,0,1,A
SUI,2008-07-23,18:45,FC Basel,Grasshopper Club Zürich,1,0,H,1,0,H
SUI,2008-07-23,18:45,AC Bellinzona,Neuchâtel Xamax FC,1,2,A,0,1,A
SUI,2008-07-23,18:45,FC Zürich,FC Luzern,1,0,H,1,0,H
SUI,2008-07-24,18:45,FC Sion,BSC Young Boys,2,1,H,0,1,A
SUI,2008-07-24,18:45,FC Vaduz,FC Aarau,0,2,A,0,1,A
SUI,2008-07-26,16:45,FC Luzern,Neuchâtel Xamax FC,0,1,A,0,0,D
SUI,2008-07-26,18:45,FC Basel,AC Bellinzona,2,0,H,1,0,H
SUI,2008-07-27,15:00,FC Aarau,FC Zürich,2,1,H,1,0,H
SUI,2008-07-27,15:00,BSC Young Boys,FC Vaduz,0,0,D,0,0,D
SUI,2008-07-30,18:45,Grasshopper Club Zürich,FC Sion,3,1,H,2,0,H
SUI,2008-08-02,16:45,FC Sion,FC Basel,2,0,H,2,0,H
SUI,2008-08-02,16:45,Neuchâtel Xamax FC,FC Aarau,0,0,D,0,0,D
SUI,2008-08-03,15:00,AC Bellinzona,FC Luzern,2,2,D,0,2,A
SUI,2008-08-03,15:00,FC Vaduz,Grasshopper Club Zürich,1,1,D,0,0,D
SUI,2008-08-03,15:00,FC Zürich,BSC Young Boys,2,1,H,1,0,H
SUI,2008-08-06,18:45,AC Bellinzona,FC Aarau,1,1,D,1,1,D
SUI,2008-08-09,16:45,FC Aarau,FC Luzern,1,0,H,1,0,H
SUI,2008-08-09,16:45,FC Sion,AC Bellinzona,0,2,A,0,1,A
SUI,2008-08-09,18:45,FC Basel,FC Vaduz,4,0,H,1,0,H
SUI,2008-08-10,15:00,Grasshopper Club Zürich,FC Zürich,2,2,D,0,0,D
SUI,2008-08-10,15:00,BSC Young Boys,Neuchâtel Xamax FC,2,1,H,1,1,D
SUI,2008-08-16,16:45,FC Vaduz,FC Sion,1,2,A,1,2,A
SUI,2008-08-17,15:00,Neuchâtel Xamax FC,Grasshopper Club Zürich,1,1,D,0,1,A
SUI,2008-08-17,15:00,FC Luzern,BSC Young Boys,0,3,A,0,1,A
SUI,2008-08-17,15:00,FC Zürich,FC Basel,1,4,A,1,2,A
SUI,2008-08-23,16:45,FC Basel,Neuchâtel Xamax FC,4,3,H,4,2,H
SUI,2008-08-23,16:45,Grasshopper Club Zürich,FC Luzern,4,2,H,0,1,A
SUI,2008-08-24,15:00,FC Sion,FC Zürich,1,3,A,1,1,D
SUI,2008-08-24,15:00,FC Vaduz,AC Bellinzona,0,0,D,0,0,D
SUI,2008-08-24,15:00,BSC Young Boys,FC Aarau,3,3,D,2,1,H
SUI,2008-08-30,16:45,FC Aarau,FC Basel,0,2,A,0,1,A
SUI,2008-08-30,16:45,FC Luzern,FC Sion,1,1,D,0,0,D
SUI,2008-08-31,15:00,Neuchâtel Xamax FC,FC Vaduz,2,2,D,0,2,A
SUI,2008-08-31,15:00,BSC Young Boys,Grasshopper Club Zürich,1,3,A,1,1,D
SUI,2008-09-01,18:45,FC Zürich,AC Bellinzona,3,0,H,0,0,D
SUI,2008-09-13,16:45,FC Basel,FC Luzern,2,0,H,1,0,H
SUI,2008-09-13,16:45,Grasshopper Club Zürich,FC Aarau,0,0,D,0,0,D
SUI,2008-09-13,16:45,Neuchâtel Xamax FC,FC Sion,3,3,D,2,1,H
SUI,2008-09-14,15:00,AC Bellinzona,BSC Young Boys,1,2,A,0,1,A
SUI,2008-09-14,15:00,FC Vaduz,FC Zürich,1,7,A,0,0,D
SUI,2008-09-23,18:45,Grasshopper Club Zürich,AC Bellinzona,3,1,H,2,0,H
SUI,2008-09-26,18:45,AC Bellinzona,Grasshopper Club Zürich,1,1,D,1,0,H
SUI,2008-09-27,16:45,FC Basel,BSC Young Boys,1,2,A,0,1,A
SUI,2008-09-27,16:45,FC Sion,FC Aarau,1,1,D,0,1,A
SUI,2008-09-28,15:00,FC Vaduz,FC Luzern,1,0,H,1,0,H
SUI,2008-09-28,15:00,FC Zürich,Neuchâtel Xamax FC,3,0,H,2,0,H
SUI,2008-10-04,16:45,FC Aarau,FC Vaduz,4,0,H,2,0,H
SUI,2008-10-05,15:00,Grasshopper Club Zürich,FC Basel,1,1,D,1,0,H
SUI,2008-10-05,15:00,Neuchâtel Xamax FC,AC Bellinzona,3,3,D,1,1,D
SUI,2008-10-05,15:00,BSC Young Boys,FC Sion,5,0,H,2,0,H
SUI,2008-10-06,18:45,FC Luzern,FC Zürich,0,3,A,0,2,A
SUI,2008-10-25,16:45,Neuchâtel Xamax FC,FC Luzern,1,0,H,0,0,D
SUI,2008-10-25,16:45,FC Zürich,FC Aarau,4,0,H,1,0,H
SUI,2008-10-25,16:45,FC Sion,Grasshopper Club Zürich,0,0,D,0,0,D
SUI,2008-10-26,15:00,AC Bellinzona,FC Basel,2,3,A,1,0,H
SUI,2008-10-26,15:00,FC Vaduz,BSC Young Boys,0,0,D,0,0,D
SUI,2008-10-30,18:45,FC Basel,FC Sion,3,0,H,2,0,H
SUI,2008-11-01,16:45,Grasshopper Club Zürich,FC Vaduz,3,0,H,1,0,H
SUI,2008-11-02,15:00,FC Luzern,AC Bellinzona,1,0,H,0,0,D
SUI,2008-11-02,15:00,FC Aarau,Neuchâtel Xamax FC,2,1,H,1,1,D
SUI,2008-11-02,15:00,BSC Young Boys,FC Zürich,2,2,D,1,1,D
SUI,2008-11-08,16:45,FC Luzern,FC Aarau,3,0,H,1,0,H
SUI,2008-11-08,16:45,AC Bellinzona,FC Sion,2,1,H,0,1,A
SUI,2008-11-09,15:00,FC Vaduz,FC Basel,0,2,A,0,0,D
SUI,2008-11-09,15:00,FC Zürich,Grasshopper Club Zürich,2,1,H,0,0,D
SUI,2008-11-09,15:00,Neuchâtel Xamax FC,BSC Young Boys,2,3,A,0,2,A
SUI,2008-11-15,16:45,FC Aarau,AC Bellinzona,0,1,A,0,0,D
SUI,2008-11-15,16:45,FC Sion,FC Vaduz,3,1,H,1,0,H
SUI,2008-11-16,13:15,FC Basel,FC Zürich,1,1,D,1,0,H
SUI,2008-11-16,15:00,Grasshopper Club Zürich,Neuchâtel Xamax FC,1,0,H,0,0,D
SUI,2008-11-16,15:00,BSC Young Boys,FC Luzern,6,1,H,2,0,H
SUI,2008-11-29,16:45,FC Luzern,Grasshopper Club Zürich,0,3,A,0,2,A
SUI,2008-11-29,16:45,FC Zürich,FC Sion,1,0,H,1,0,H
SUI,2008-11-29,16:45,FC Aarau,BSC Young Boys,1,1,D,1,1,D
SUI,2008-11-30,15:00,Neuchâtel Xamax FC,FC Basel,2,0,H,1,0,H
SUI,2008-12-04,18:45,FC Basel,FC Aarau,3,1,H,1,1,D
SUI,2008-12-06,16:45,AC Bellinzona,FC Zürich,0,3,A,0,1,A
SUI,2008-12-07,15:00,FC Vaduz,Neuchâtel Xamax FC,1,0,H,0,0,D
SUI,2008-12-07,15:00,Grasshopper Club Zürich,BSC Young Boys,0,1,A,0,1,A
SUI,2008-12-13,16:45,FC Sion,Neuchâtel Xamax FC,0,0,D,0,0,D
SUI,2008-12-14,13:45,FC Luzern,FC Basel,5,1,H,3,1,H
SUI,2008-12-14,15:00,BSC Young Boys,AC Bellinzona,3,0,H,1,0,H
SUI,2008-12-14,15:00,FC Zürich,FC Vaduz,1,0,H,1,0,H
SUI,2009-02-07,16:45,FC Vaduz,FC Aarau,1,1,D,1,0,H
SUI,2009-02-07,16:45,BSC Young Boys,FC Basel,3,2,H,0,0,D
SUI,2009-02-08,15:00,AC Bellinzona,FC Sion,1,0,H,0,0,D
SUI,2009-02-08,15:00,Grasshopper Club Zürich,FC Zürich,2,2,D,1,0,H
SUI,2009-02-08,15:00,Neuchâtel Xamax FC,FC Luzern,3,3,D,0,2,A
SUI,2009-02-14,16:45,FC Aarau,Neuchâtel Xamax FC,0,0,D,0,0,D
SUI,2009-02-14,16:45,FC Zürich,AC Bellinzona,0,0,D,0,0,D
SUI,2009-02-15,15:00,FC Basel,Grasshopper Club Zürich,0,0,D,0,0,D
SUI,2009-02-15,15:00,FC Luzern,BSC Young Boys,2,3,A,2,1,H
SUI,2009-02-15,15:00,FC Sion,FC Vaduz,2,1,H,1,0,H
SUI,2009-02-18,18:45,AC Bellinzona,FC Vaduz,1,0,H,0,0,D
SUI,2009-02-18,18:45,FC Sion,FC Luzern,1,1,D,1,0,H
SUI,2009-02-21,16:45,FC Vaduz,AC Bellinzona,1,0,H,0,0,D
SUI,2009-02-21,16:45,BSC Young Boys,FC Aarau,4,0,H,1,0,H
SUI,2009-02-22,15:00,FC Basel,FC Zürich,2,1,H,0,1,A
SUI,2009-02-22,15:00,Grasshopper Club Zürich,FC Luzern,1,0,H,0,0,D
SUI,2009-02-22,15:00,Neuchâtel Xamax FC,FC Sion,3,2,H,0,0,D
SUI,2009-02-28,16:45,FC Aarau,Grasshopper Club Zürich,0,3,A,0,1,A
SUI,2009-02-28,16:45,FC Sion,BSC Young Boys,2,3,A,0,1,A
SUI,2009-03-01,15:00,AC Bellinzona,Neuchâtel Xamax FC,2,0,H,1,0,H
SUI,2009-03-01,15:00,FC Luzern,FC Basel,1,2,A,1,1,D
SUI,2009-03-01,15:00,FC Zürich,FC Vaduz,5,0,H,2,0,H
SUI,2009-03-07,16:45,FC Basel,FC Aarau,3,1,H,0,1,A
SUI,2009-03-07,16:45,Grasshopper Club Zürich,FC Sion,0,2,A,0,0,D
SUI,2009-03-08,12:45,FC Luzern,FC Zürich,1,3,A,1,0,H
SUI,2009-03-08,15:00,Neuchâtel Xamax FC,FC Vaduz,3,1,H,1,1,D
SUI,2009-03-08,15:00,BSC Young Boys,AC Bellinzona,3,0,H,1,0,H
SUI,2009-03-11,17:45,FC Aarau,Grasshopper Club Zürich,1,0,H,0,0,D
SUI,2009-03-14,16:45,FC Aarau,FC Luzern,0,0,D,0,0,D
SUI,2009-03-14,16:45,FC Sion,FC Basel,0,4,A,0,2,A
SUI,2009-03-15,15:00,AC Bellinzona,Grasshopper Club Zürich,6,2,H,3,1,H
SUI,2009-03-15,15:00,FC Vaduz,BSC Young Boys,3,1,H,2,0,H
SUI,2009-03-15,15:00,FC Zürich,Neuchâtel Xamax FC,3,0,H,1,0,H
SUI,2009-03-21,16:45,FC Aarau,FC Sion,1,0,H,1,0,H
SUI,2009-03-21,16:45,FC Basel,FC Vaduz,5,0,H,3,0,H
SUI,2009-03-22,15:00,Grasshopper Club Zürich,Neuchâtel Xamax FC,1,1,D,1,0,H
SUI,2009-03-22,15:00,FC Luzern,AC Bellinzona,4,2,H,1,0,H
SUI,2009-03-22,15:00,BSC Young Boys,FC Zürich,4,2,H,1,1,D
SUI,2009-04-04,16:45,FC Sion,FC Luzern,1,1,D,1,1,D
SUI,2009-04-04,16:45,FC Vaduz,Grasshopper Club Zürich,2,2,D,1,1,D
SUI,2009-04-05,15:00,AC Bellinzona,FC Basel,1,1,D,1,1,D
SUI,2009-04-05,15:00,Neuchâtel Xamax FC,BSC Young Boys,2,3,A,2,0,H
SUI,2009-04-05,15:00,FC Zürich,FC Aarau,2,1,H,0,1,A
SUI,2009-04-09,18:45,FC Basel,Neuchâtel Xamax FC,3,0,H,1,0,H
SUI,2009-04-09,18:45,FC Luzern,FC Vaduz,3,1,H,2,1,H
SUI,2009-04-09,18:45,FC Sion,FC Zürich,0,1,A,0,1,A
SUI,2009-04-11,16:45,FC Aarau,AC Bellinzona,0,0,D,0,0,D
