Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SYR,2006-09-22,,Jabala,Hutteen SC,0,2,A,,,
SYR,2006-09-22,,Al Shorta,Al Jaish,2,2,D,,,
SYR,2006-09-22,,Al Ittihad,Al Horriya,2,0,H,,,
SYR,2006-09-22,,Tishreen SC,Qardaha,1,1,D,,,
SYR,2006-09-22,,Al Wathba,Al Foutowa,0,1,A,,,
SYR,2006-09-23,,Al Majd,Al Wahda,1,0,H,,,
SYR,2006-09-29,,Qardaha,Jabala,1,0,H,,,
SYR,2006-09-29,,Al Foutowa,Al Ittihad,0,1,A,,,
SYR,2006-09-29,,Al Jaish,Tishreen SC,2,3,A,,,
SYR,2006-09-29,,Al Horriya,Al Taliya,0,2,A,,,
SYR,2006-09-29,,Hutteen SC,Al Majd,2,1,H,,,
SYR,2006-09-30,,Al Karamah,Al Shorta,1,1,D,,,
SYR,2006-09-30,,Al Wahda,Al Wathba,3,1,H,,,
SYR,2006-10-05,,Al Majd,Al Horriya,1,0,H,,,
SYR,2006-10-06,,Jabala,Al Wahda,4,0,H,,,
SYR,2006-10-06,,Hutteen SC,Al Foutowa,2,1,H,,,
SYR,2006-10-06,,Al Taliya,Qardaha,2,1,H,,,
SYR,2006-10-06,,Al Shorta,Tishreen SC,3,2,H,,,
SYR,2006-10-06,,Al Wathba,Al Karamah,0,1,A,,,
SYR,2006-10-06,,Al Ittihad,Al Jaish,2,0,H,,,
SYR,2006-10-15,,Al Foutowa,Al Majd,1,1,D,,,
SYR,2006-10-15,,Qardaha,Al Shorta,1,1,D,,,
SYR,2006-10-15,,Al Horriya,Al Wathba,0,1,A,,,
SYR,2006-10-15,,Al Wahda,Hutteen SC,1,1,D,,,
SYR,2006-10-15,,Tishreen SC,Jabala,1,2,A,,,
SYR,2006-10-16,,Al Jaish,Al Taliya,0,1,A,,,
SYR,2006-10-20,,Al Ittihad,Tishreen SC,3,0,H,,,
SYR,2006-10-20,,Jabala,Al Foutowa,0,1,A,,,
SYR,2006-10-20,,Al Wahda,Al Horriya,2,0,H,,,
SYR,2006-10-20,,Al Wathba,Qardaha,3,0,H,,,
SYR,2006-10-20,,Al Taliya,Al Shorta,1,0,H,,,
SYR,2006-10-27,,Al Jaish,Al Wathba,2,1,H,,,
SYR,2006-10-27,,Tishreen SC,Al Taliya,0,2,A,,,
SYR,2006-10-27,,Qardaha,Al Ittihad,0,2,A,,,
SYR,2006-10-27,,Al Horriya,Hutteen SC,1,0,H,,,
SYR,2006-10-28,,Al Shorta,Jabala,0,2,A,,,
SYR,2006-10-29,,Al Foutowa,Al Wahda,0,0,D,,,
SYR,2006-10-30,,Al Majd,Al Jaish,2,0,H,,,
SYR,2006-11-03,,Al Wahda,Al Jaish,2,5,A,,,
SYR,2006-11-03,,Al Ittihad,Al Taliya,1,0,H,,,
SYR,2006-11-03,,Hutteen SC,Qardaha,0,0,D,,,
SYR,2006-11-03,,Jabala,Al Horriya,0,2,A,,,
SYR,2006-11-04,,Al Majd,Tishreen SC,1,1,D,,,
SYR,2006-11-09,,Al Horriya,Al Foutowa,0,0,D,,,
SYR,2006-11-09,,Al Shorta,Al Ittihad,0,2,A,,,
SYR,2006-11-09,,Al Jaish,Hutteen SC,2,0,H,,,
SYR,2006-11-09,,Tishreen SC,Al Wathba,2,0,H,,,
SYR,2006-11-09,,Qardaha,Al Majd,1,1,D,,,
SYR,2006-11-09,,Al Taliya,Jabala,1,1,D,,,
SYR,2006-11-12,,Al Karamah,Al Wahda,4,0,H,,,
SYR,2006-11-17,,Al Wathba,Al Shorta,1,1,D,,,
SYR,2006-12-15,,Al Wahda,Tishreen SC,0,0,D,,,
SYR,2006-12-15,,Hutteen SC,Al Shorta,2,2,D,,,
SYR,2006-12-15,,Al Horriya,Al Jaish,0,1,A,,,
SYR,2006-12-15,,Al Majd,Al Taliya,1,1,D,,,
SYR,2006-12-15,,Jabala,Al Karamah,0,0,D,,,
SYR,2006-12-15,,Al Foutowa,Qardaha,1,0,H,,,
SYR,2006-12-15,,Al Wathba,Al Ittihad,0,2,A,,,
SYR,2006-12-19,,Al Taliya,Al Karamah,1,1,D,,,
SYR,2006-12-22,,Tishreen SC,Hutteen SC,0,0,D,,,
SYR,2006-12-22,,Al Karamah,Al Horriya,3,0,H,,,
SYR,2006-12-22,,Al Shorta,Al Majd,0,0,D,,,
SYR,2006-12-22,,Qardaha,Al Wahda,2,2,D,,,
SYR,2006-12-22,,Al Jaish,Al Foutowa,2,1,H,,,
SYR,2006-12-22,,Al Taliya,Al Wathba,1,0,H,,,
SYR,2006-12-22,,Al Ittihad,Jabala,1,0,H,,,
SYR,2006-12-25,,Al Karamah,Al Ittihad,2,1,H,,,
SYR,2006-12-29,,Jabala,Al Jaish,0,0,D,,,
SYR,2006-12-29,,Al Foutowa,Al Shorta,0,0,D,,,
SYR,2006-12-29,,Al Horriya,Tishreen SC,2,3,A,,,
SYR,2006-12-29,,Al Majd,Al Wathba,1,2,A,,,
SYR,2006-12-29,,Al Karamah,Qardaha,4,0,H,,,
SYR,2006-12-29,,Hutteen SC,Al Ittihad,1,2,A,,,
SYR,2006-12-29,,Al Wahda,Al Taliya,0,3,A,,,
SYR,2007-01-02,,Hutteen SC,Al Karamah,2,5,A,,,
SYR,2007-01-05,,Al Taliya,Hutteen SC,2,0,H,,,
SYR,2007-01-05,,Al Jaish,Al Karamah,0,2,A,,,
SYR,2007-01-05,,Al Ittihad,Al Majd,3,2,H,,,
SYR,2007-01-05,,Al Wathba,Jabala,0,0,D,,,
SYR,2007-01-05,,Al Shorta,Al Wahda,0,0,D,,,
SYR,2007-01-05,,Tishreen SC,Al Foutowa,2,0,H,,,
SYR,2007-01-05,,Qardaha,Al Horriya,2,0,H,,,
SYR,2007-01-08,,Al Karamah,Al Majd,4,1,H,,,
SYR,2007-01-15,,Al Foutowa,Al Karamah,1,2,A,,,
SYR,2007-01-19,,Al Karamah,Tishreen SC,2,1,H,,,
SYR,2007-01-19,,Hutteen SC,Al Wathba,7,1,H,,,
SYR,2007-01-19,,Al Foutowa,Al Taliya,0,1,A,,,
SYR,2007-01-19,,Al Wahda,Al Ittihad,1,1,D,,,
SYR,2007-01-19,,Al Majd,Jabala,2,0,H,,,
SYR,2007-01-19,,Al Horriya,Al Shorta,2,2,D,,,
SYR,2007-01-19,,Qardaha,Al Jaish,1,1,D,,,
SYR,2007-02-09,,Al Karamah,Al Taliya,2,0,H,,,
SYR,2007-02-09,,Al Foutowa,Al Wathba,1,0,H,,,
SYR,2007-02-09,,Qardaha,Tishreen SC,0,0,D,,,
SYR,2007-02-09,,Al Horriya,Al Ittihad,1,2,A,,,
SYR,2007-02-09,,Al Wahda,Al Majd,0,0,D,,,
SYR,2007-02-09,,Hutteen SC,Jabala,2,1,H,,,
SYR,2007-02-10,,Al Jaish,Al Shorta,0,0,D,,,
SYR,2007-02-16,,Tishreen SC,Al Jaish,1,2,A,,,
SYR,2007-02-16,,Al Wathba,Al Wahda,0,0,D,,,
SYR,2007-02-16,,Jabala,Qardaha,1,3,A,,,
SYR,2007-02-16,,Al Ittihad,Al Foutowa,2,0,H,,,
SYR,2007-02-16,,Al Shorta,Al Karamah,0,3,A,,,
SYR,2007-02-16,,Al Taliya,Al Horriya,3,1,H,,,
SYR,2007-02-16,,Al Majd,Hutteen SC,3,0,H,,,
SYR,2007-03-02,,Qardaha,Al Taliya,1,1,D,,,
SYR,2007-03-02,,Tishreen SC,Al Shorta,2,3,A,,,
SYR,2007-03-02,,Al Jaish,Al Ittihad,2,2,D,,,
SYR,2007-03-02,,Al Wahda,Jabala,0,1,A,,,
SYR,2007-03-02,,Al Foutowa,Hutteen SC,0,0,D,,,
SYR,2007-03-02,,Al Horriya,Al Majd,2,2,D,,,
SYR,2007-03-02,,Al Karamah,Al Wathba,1,1,D,,,
SYR,2007-03-09,,Al Shorta,Qardaha,0,0,D,,,
SYR,2007-03-09,,Al Majd,Al Foutowa,0,1,A,,,
SYR,2007-03-09,,Al Taliya,Al Jaish,2,3,A,,,
SYR,2007-03-09,,Al Wathba,Al Horriya,1,1,D,,,
SYR,2007-03-09,,Hutteen SC,Al Wahda,3,3,D,,,
SYR,2007-03-09,,Jabala,Tishreen SC,1,2,A,,,
SYR,2007-03-16,,Al Foutowa,Jabala,0,0,D,,,
SYR,2007-03-16,,Al Karamah,Hutteen SC,1,0,H,,,
SYR,2007-03-16,,Al Horriya,Al Wahda,1,1,D,,,
SYR,2007-03-17,,Al Shorta,Al Taliya,0,0,D,,,
SYR,2007-03-17,,Tishreen SC,Al Ittihad,1,0,H,,,
SYR,2007-03-17,,Al Jaish,Al Majd,0,1,A,,,
SYR,2007-03-17,,Qardaha,Al Wathba,1,0,H,,,
SYR,2007-03-23,,Al Wahda,Al Foutowa,2,2,D,,,
SYR,2007-03-23,,Al Taliya,Tishreen SC,1,0,H,,,
SYR,2007-03-23,,Hutteen SC,Al Horriya,1,3,A,,,
SYR,2007-03-23,,Al Wathba,Al Jaish,4,1,H,,,
SYR,2007-03-23,,Jabala,Al Shorta,2,1,H,,,
SYR,2007-03-24,,Al Ittihad,Qardaha,1,0,H,,,
SYR,2007-03-24,,Al Majd,Al Karamah,1,1,D,,,
SYR,2007-04-01,,Qardaha,Hutteen SC,0,1,A,,,
SYR,2007-04-01,,Al Karamah,Al Foutowa,2,0,H,,,
SYR,2007-04-01,,Al Horriya,Jabala,1,1,D,,,
SYR,2007-04-01,,Al Jaish,Al Wahda,3,1,H,,,
SYR,2007-04-01,,Al Shorta,Al Wathba,2,0,H,,,
SYR,2007-04-01,,Tishreen SC,Al Majd,2,1,H,,,
SYR,2007-04-01,,Al Taliya,Al Ittihad,4,3,H,,,
SYR,2007-04-06,,Jabala,Al Taliya,1,0,H,,,
SYR,2007-04-06,,Hutteen SC,Al Jaish,0,0,D,,,
SYR,2007-04-06,,Al Majd,Qardaha,4,0,H,,,
SYR,2007-04-06,,Al Wathba,Tishreen SC,3,1,H,,,
SYR,2007-04-06,,Al Foutowa,Al Horriya,0,0,D,,,
SYR,2007-04-07,,Al Ittihad,Al Shorta,2,0,H,,,
SYR,2007-04-07,,Al Wahda,Al Karamah,2,2,D,,,
SYR,2007-04-13,,Tishreen SC,Al Wahda,0,0,D,,,
SYR,2007-04-13,,Al Taliya,Al Majd,2,1,H,,,
SYR,2007-04-13,,Al Jaish,Al Horriya,1,2,A,,,
SYR,2007-04-13,,Qardaha,Al Foutowa,1,2,A,,,
SYR,2007-04-13,,Al Shorta,Hutteen SC,3,0,H,,,
SYR,2007-04-14,,Al Ittihad,Al Wathba,5,1,H,,,
