Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SYR,2013-02-12,10:00,Al Wahda,Al Shorta,0,2,A,,,
SYR,2013-02-12,10:00,Al Jazeera,Al Wathba,0,1,A,,,
SYR,2013-02-12,10:00,Al Nawair,Al Muhafaza,1,3,A,,,
SYR,2013-02-14,10:00,Al Muhafaza,Al Jazeera,1,1,D,,,
SYR,2013-02-14,12:00,Al Shorta,Al Wathba,1,1,D,,,
SYR,2013-02-14,12:00,Hutteen SC,Al Nawair,1,1,D,,,
SYR,2013-02-16,12:00,Al Jazeera,Hutteen SC,2,3,A,,,
SYR,2013-02-16,12:00,Al Wathba,Al Wahda,2,4,A,,,
SYR,2013-02-16,12:00,Al Muhafaza,Al Shorta,1,1,D,,,
SYR,2013-02-18,12:00,Al Wahda,Hutteen SC,0,2,A,,,
SYR,2013-02-18,12:00,Al Wathba,Al Muhafaza,0,4,A,,,
SYR,2013-02-18,12:00,Al Nawair,Al Jazeera,0,2,A,,,
SYR,2013-02-20,12:00,Al Shorta,Hutteen SC,2,0,H,,,
SYR,2013-02-20,12:00,Al Muhafaza,Al Wahda,3,0,H,,,
SYR,2013-02-23,12:00,Al Jazeera,Al Shorta,2,3,A,,,
SYR,2013-02-23,,Al Muhafaza,Hutteen SC,0,3,A,,,
SYR,2013-02-25,09:00,Al Wahda,Al Jazeera,0,2,A,0.0,1.0,A
SYR,2013-03-05,11:00,Al Karamah,Tishreen SC,1,1,D,,,
SYR,2013-03-05,11:00,Al Jaish,Al Taliya,3,1,H,,,
SYR,2013-03-05,11:00,Al Misfat,Al Majd,1,0,H,,,
SYR,2013-03-07,11:00,Al Jaish,Omayya SC,3,0,H,,,
SYR,2013-03-07,11:00,Al Ittihad,Al Majd,1,2,A,,,
SYR,2013-03-07,11:00,Al Misfat,Tishreen SC,0,0,D,,,
SYR,2013-03-07,11:00,Al Karamah,Al Taliya,0,0,D,,,
SYR,2013-03-09,11:00,Al Taliya,Al Misfat,1,2,A,,,
SYR,2013-03-09,11:00,Omayya SC,Al Karamah,1,0,H,,,
SYR,2013-03-09,11:00,Tishreen SC,Al Majd,0,1,A,,,
SYR,2013-03-09,11:00,Al Ittihad,Al Jaish,0,1,A,,,
SYR,2013-03-11,11:00,Al Ittihad,Tishreen SC,1,2,A,,,
SYR,2013-03-11,11:00,Al Karamah,Al Jaish,0,2,A,,,
SYR,2013-03-11,11:00,Al Taliya,Al Majd,0,0,D,,,
SYR,2013-03-13,11:00,Omayya SC,Al Majd,2,2,D,,,
SYR,2013-03-13,11:00,Al Karamah,Al Ittihad,1,1,D,,,
SYR,2013-03-13,11:00,Tishreen SC,Al Taliya,3,1,H,,,
SYR,2013-03-14,13:00,Al Jaish,Al Misfat,3,0,H,,,
SYR,2013-03-16,09:00,Al Majd,Al Jaish,0,0,D,,,
SYR,2013-03-16,09:00,Al Taliya,Al Ittihad,0,2,A,0.0,1.0,A
SYR,2013-03-16,13:00,Al Misfat,Al Karamah,1,0,H,1.0,0.0,H
SYR,2013-03-16,13:00,Tishreen SC,Omayya SC,3,1,H,3.0,1.0,H
SYR,2013-03-18,09:00,Al Karamah,Al Majd,0,1,A,0.0,1.0,A
SYR,2013-03-18,09:00,Al Jaish,Tishreen SC,0,0,D,,,
SYR,2013-03-18,13:00,Al Ittihad,Al Misfat,1,0,H,0.0,0.0,D
SYR,2013-03-18,13:00,Omayya SC,Al Taliya,1,1,D,0.0,0.0,D
SYR,2013-03-19,13:00,Omayya SC,Al Misfat,0,2,A,,,
SYR,2013-03-20,09:00,Omayya SC,Al Ittihad,0,2,A,,,
SYR,2013-04-14,14:00,Al Karamah,Tishreen SC,0,2,A,,,
SYR,2013-04-14,14:00,Al Jaish,Al Taliya,1,1,D,,,
SYR,2013-04-14,14:00,Al Misfat,Al Majd,0,0,D,,,
SYR,2013-04-14,,Omayya SC,Al Ittihad,0,3,A,,,
SYR,2013-04-17,12:00,Al Jaish,Omayya SC,1,0,H,,,
SYR,2013-04-17,12:00,Al Ittihad,Al Majd,1,2,A,,,
SYR,2013-04-17,14:00,Tishreen SC,Al Misfat,6,2,H,,,
SYR,2013-04-17,14:00,Al Taliya,Al Karamah,3,0,H,,,
SYR,2013-04-20,12:00,Al Misfat,Al Taliya,1,1,D,,,
SYR,2013-04-20,12:00,Al Majd,Tishreen SC,0,0,D,,,
SYR,2013-04-20,14:00,Al Ittihad,Al Jaish,1,1,D,,,
SYR,2013-04-20,14:00,Al Karamah,Omayya SC,1,2,A,,,
SYR,2013-04-22,12:00,Al Ittihad,Tishreen SC,2,0,H,,,
SYR,2013-04-22,12:00,Al Jaish,Al Karamah,2,0,H,,,
SYR,2013-04-22,14:00,Omayya SC,Al Misfat,0,2,A,,,
SYR,2013-04-22,14:00,Al Taliya,Al Majd,0,0,D,,,
SYR,2013-04-25,12:00,Al Majd,Omayya SC,2,0,H,,,
SYR,2013-04-25,12:00,Al Misfat,Al Jaish,0,3,A,,,
SYR,2013-04-25,14:00,Al Karamah,Al Ittihad,0,3,A,,,
SYR,2013-04-25,14:00,Tishreen SC,Al Taliya,1,1,D,,,
SYR,2013-04-27,12:00,Al Majd,Al Jaish,0,2,A,,,
SYR,2013-04-27,12:00,Al Misfat,Al Karamah,2,0,H,,,
SYR,2013-04-27,14:00,Al Ittihad,Al Taliya,1,1,D,,,
SYR,2013-04-27,14:00,Tishreen SC,Omayya SC,0,0,D,,,
SYR,2013-04-30,12:00,Al Majd,Al Karamah,6,0,H,,,
SYR,2013-04-30,12:00,Al Misfat,Al Ittihad,1,0,H,,,
SYR,2013-04-30,14:00,Tishreen SC,Al Jaish,0,0,D,,,
SYR,2013-04-30,14:00,Omayya SC,Al Taliya,1,2,A,,,
SYR,2013-05-04,12:00,Al Horriya,Al Shorta,0,0,D,,,
