Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
URU,2008-02-16,19:00,Liverpool FC,River Plate,0,2,A,,,
URU,2008-02-16,19:00,Rampla Juniors,Defensor Sporting,1,6,A,,,
URU,2008-02-16,23:05,Tacuarembó FC,Montevideo Wanderers,2,0,H,,,
URU,2008-02-17,12:10,CA Progreso,Miramar Misiones,1,0,H,,,
URU,2008-02-17,19:00,Danubio FC,CA Juventud,1,2,A,,,
URU,2008-02-17,19:00,CA Cerro,Bella Vista,2,3,A,,,
URU,2008-02-17,22:00,Central Español,CA Peñarol,1,2,A,,,
URU,2008-02-23,19:00,River Plate,CA Peñarol,2,2,D,,,
URU,2008-02-23,19:00,CA Fénix,CA Cerro,0,1,A,,,
URU,2008-02-23,19:00,CA Juventud,CA Progreso,3,1,H,,,
URU,2008-02-23,22:00,Defensor Sporting,Tacuarembó FC,2,0,H,,,
URU,2008-02-24,12:10,Central Español,Liverpool FC,1,3,A,,,
URU,2008-02-24,19:00,Montevideo Wanderers,Nacional,1,3,A,,,
URU,2008-02-24,19:00,Bella Vista,Rampla Juniors,0,0,D,,,
URU,2008-02-27,19:00,Miramar Misiones,Danubio FC,1,4,A,,,
URU,2008-02-27,21:00,Nacional,CA Fénix,3,1,H,,,
URU,2008-03-01,19:00,Nacional,Defensor Sporting,4,0,H,,,
URU,2008-03-01,19:00,Rampla Juniors,Montevideo Wanderers,1,3,A,,,
URU,2008-03-01,23:00,Tacuarembó FC,Bella Vista,3,2,H,,,
URU,2008-03-02,12:10,CA Cerro,River Plate,1,4,A,,,
URU,2008-03-02,19:00,CA Progreso,Central Español,3,1,H,,,
URU,2008-03-02,19:00,CA Peñarol,CA Juventud,3,2,H,,,
URU,2008-03-02,19:00,Danubio FC,CA Fénix,2,2,D,,,
URU,2008-03-02,19:00,Liverpool FC,Miramar Misiones,2,0,H,,,
URU,2008-03-08,19:00,Montevideo Wanderers,CA Peñarol,1,0,H,,,
URU,2008-03-08,19:00,River Plate,Rampla Juniors,7,0,H,,,
URU,2008-03-08,19:00,Miramar Misiones,Tacuarembó FC,4,0,H,,,
URU,2008-03-08,19:00,CA Juventud,Liverpool FC,1,2,A,,,
URU,2008-03-09,13:10,Danubio FC,Defensor Sporting,4,3,H,,,
URU,2008-03-09,20:00,Bella Vista,Nacional,0,1,A,,,
URU,2008-03-09,20:00,Central Español,CA Cerro,2,1,H,,,
URU,2008-03-09,20:00,CA Fénix,CA Progreso,1,2,A,,,
URU,2008-03-15,19:00,CA Cerro,CA Juventud,0,0,D,,,
URU,2008-03-15,19:00,Danubio FC,River Plate,1,5,A,,,
URU,2008-03-15,21:10,Nacional,Miramar Misiones,1,2,A,,,
URU,2008-03-16,13:10,Liverpool FC,Montevideo Wanderers,1,1,D,,,
URU,2008-03-16,19:00,Rampla Juniors,Central Español,1,0,H,,,
URU,2008-03-16,19:00,Tacuarembó FC,CA Fénix,1,1,D,,,
URU,2008-03-16,19:00,CA Progreso,Defensor Sporting,0,2,A,,,
URU,2008-03-16,19:00,CA Peñarol,Bella Vista,6,0,H,,,
URU,2008-03-22,13:10,Montevideo Wanderers,CA Cerro,1,0,H,,,
URU,2008-03-22,19:00,Miramar Misiones,CA Peñarol,0,2,A,,,
URU,2008-03-23,13:10,CA Fénix,Rampla Juniors,2,0,H,,,
URU,2008-03-23,13:10,River Plate,Tacuarembó FC,5,0,H,,,
URU,2008-03-23,19:00,Central Español,Danubio FC,2,0,H,,,
URU,2008-03-23,19:00,CA Juventud,Nacional,1,2,A,,,
URU,2008-03-23,19:00,Bella Vista,CA Progreso,1,3,A,,,
URU,2008-03-23,19:00,Defensor Sporting,Liverpool FC,3,2,H,,,
URU,2008-03-29,19:00,Nacional,Central Español,1,0,H,,,
URU,2008-03-29,19:00,Liverpool FC,Bella Vista,2,2,D,,,
URU,2008-03-29,19:00,CA Progreso,River Plate,0,3,A,,,
URU,2008-03-30,14:10,CA Cerro,Defensor Sporting,1,2,A,,,
URU,2008-03-30,20:00,Tacuarembó FC,CA Juventud,0,0,D,,,
URU,2008-03-30,20:00,CA Peñarol,CA Fénix,2,1,H,,,
URU,2008-03-30,20:00,Danubio FC,Montevideo Wanderers,4,1,H,,,
URU,2008-03-30,20:00,Rampla Juniors,Miramar Misiones,0,0,D,,,
URU,2008-04-05,20:00,CA Peñarol,Danubio FC,2,1,H,,,
URU,2008-04-05,20:00,Central Español,CA Juventud,2,0,H,,,
URU,2008-04-05,20:00,Montevideo Wanderers,Bella Vista,0,2,A,,,
URU,2008-04-06,14:10,CA Progreso,Liverpool FC,1,4,A,,,
URU,2008-04-06,20:00,Nacional,Rampla Juniors,1,0,H,,,
URU,2008-04-06,20:00,CA Fénix,Defensor Sporting,1,3,A,,,
URU,2008-04-06,20:00,Tacuarembó FC,CA Cerro,0,1,A,,,
URU,2008-04-06,20:00,Miramar Misiones,River Plate,1,3,A,,,
URU,2008-04-12,20:00,Danubio FC,Nacional,1,3,A,,,
URU,2008-04-12,20:00,CA Cerro,CA Progreso,1,0,H,,,
URU,2008-04-12,20:00,Bella Vista,Miramar Misiones,0,1,A,,,
URU,2008-04-13,14:10,River Plate,Central Español,3,0,H,,,
URU,2008-04-13,20:00,Liverpool FC,CA Peñarol,4,3,H,,,
URU,2008-04-13,20:00,CA Juventud,CA Fénix,1,1,D,,,
URU,2008-04-13,20:00,Rampla Juniors,Tacuarembó FC,1,3,A,,,
URU,2008-04-13,20:00,Defensor Sporting,Montevideo Wanderers,4,0,H,,,
URU,2008-04-19,20:00,River Plate,Nacional,3,6,A,,,
URU,2008-04-19,20:00,Central Español,Tacuarembó FC,1,1,D,,,
URU,2008-04-19,20:00,CA Fénix,Liverpool FC,2,3,A,,,
URU,2008-04-20,14:10,Bella Vista,Danubio FC,3,0,H,,,
URU,2008-04-20,20:00,Defensor Sporting,CA Peñarol,0,1,A,,,
URU,2008-04-20,20:00,CA Juventud,Rampla Juniors,0,0,D,,,
URU,2008-04-20,20:00,Miramar Misiones,CA Cerro,1,1,D,,,
URU,2008-04-20,20:00,Montevideo Wanderers,CA Progreso,2,1,H,,,
URU,2008-04-26,19:30,Danubio FC,Rampla Juniors,2,2,D,,,
URU,2008-04-26,19:30,Miramar Misiones,Montevideo Wanderers,2,4,A,,,
URU,2008-04-26,20:00,Liverpool FC,Nacional,1,1,D,,,
URU,2008-04-27,14:10,River Plate,Bella Vista,2,0,H,,,
URU,2008-04-27,19:30,Central Español,CA Fénix,2,1,H,,,
URU,2008-04-27,19:30,CA Juventud,Defensor Sporting,0,2,A,,,
URU,2008-04-27,19:30,Tacuarembó FC,CA Progreso,1,3,A,,,
URU,2008-04-27,20:00,CA Peñarol,CA Cerro,3,0,H,,,
URU,2008-05-03,19:30,Bella Vista,Central Español,1,0,H,,,
URU,2008-05-03,20:00,CA Progreso,CA Peñarol,0,3,A,,,
URU,2008-05-03,22:10,Nacional,Tacuarembó FC,1,2,A,,,
URU,2008-05-04,14:10,Rampla Juniors,Liverpool FC,2,0,H,,,
URU,2008-05-04,19:30,CA Cerro,Danubio FC,2,0,H,,,
URU,2008-05-04,19:30,Montevideo Wanderers,CA Juventud,1,1,D,,,
URU,2008-05-04,19:30,CA Fénix,Miramar Misiones,2,0,H,,,
URU,2008-05-04,20:00,Defensor Sporting,River Plate,4,3,H,,,
URU,2008-05-10,19:30,Danubio FC,Tacuarembó FC,1,3,A,,,
URU,2008-05-10,19:30,Central Español,Montevideo Wanderers,0,1,A,,,
URU,2008-05-10,19:30,CA Juventud,Bella Vista,1,2,A,,,
URU,2008-05-10,19:30,CA Fénix,River Plate,1,2,A,,,
URU,2008-05-10,20:00,Defensor Sporting,Miramar Misiones,5,3,H,,,
URU,2008-05-11,14:10,CA Cerro,Liverpool FC,1,5,A,,,
URU,2008-05-11,19:30,Rampla Juniors,CA Progreso,4,3,H,,,
URU,2008-05-11,20:00,CA Peñarol,Nacional,4,2,H,,,
URU,2008-05-17,19:30,Defensor Sporting,Central Español,3,3,D,,,
URU,2008-05-17,19:30,Bella Vista,CA Fénix,0,1,A,,,
URU,2008-05-17,19:30,Nacional,CA Progreso,1,3,A,,,
URU,2008-05-18,14:10,CA Cerro,Rampla Juniors,0,1,A,,,
URU,2008-05-18,19:30,Tacuarembó FC,CA Peñarol,1,2,A,,,
URU,2008-05-18,19:30,Liverpool FC,Danubio FC,0,0,D,,,
URU,2008-05-18,19:30,Miramar Misiones,CA Juventud,0,1,A,,,
URU,2008-05-18,19:30,Montevideo Wanderers,River Plate,1,2,A,,,
URU,2008-05-31,19:00,CA Progreso,Danubio FC,2,3,A,,,
URU,2008-05-31,19:00,CA Fénix,Montevideo Wanderers,2,3,A,,,
URU,2008-05-31,19:00,Nacional,CA Cerro,3,2,H,,,
URU,2008-05-31,19:00,Central Español,Miramar Misiones,1,3,A,,,
URU,2008-05-31,19:00,Tacuarembó FC,Liverpool FC,1,4,A,,,
URU,2008-06-01,14:10,Bella Vista,Defensor Sporting,1,2,A,,,
URU,2008-06-01,19:00,River Plate,CA Juventud,2,0,H,,,
URU,2008-06-01,19:00,CA Peñarol,Rampla Juniors,5,0,H,,,
