Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
A1,,Austria Wien,Grazer AK,0,0,D,0,0,D
A1,,Sturm Graz,FC Wacker Tirol,2,3,A,1,2,A
A1,,SV Ried,RB Salzburg,0,3,A,0,1,A
A1,,SCR Altach,FC Superfund,2,3,A,2,2,D
A1,,SV Mattersburg,Rapid Wien,1,0,H,0,0,D
A1,,Grazer AK,SV Mattersburg,0,2,A,0,1,A
A1,,FC Superfund,Austria Wien,2,0,H,2,0,H
A1,,SCR Altach,RB Salzburg,0,2,A,0,2,A
A1,,Rapid Wien,Sturm Graz,4,1,H,3,0,H
A1,,SV Ried,FC Wacker Tirol,0,1,A,0,1,A
A1,,Austria Wien,RB Salzburg,1,1,D,0,0,D
A1,,Grazer AK,FC Superfund,2,1,H,2,0,H
A1,,SV Ried,Rapid Wien,1,0,H,0,0,D
A1,,SV Mattersburg,Sturm Graz,1,4,A,0,0,D
A1,,SCR Altach,FC Wacker Tirol,0,1,A,0,0,D
A1,,FC Superfund,SV Mattersburg,1,2,A,0,1,A
A1,,RB Salzburg,Grazer AK,4,1,H,2,0,H
A1,,FC Wacker Tirol,Austria Wien,1,1,D,0,1,A
A1,,Sturm Graz,SV Ried,1,0,H,0,0,D
A1,,Rapid Wien,SCR Altach,3,2,H,2,1,H
A1,,Austria Wien,Rapid Wien,0,0,D,0,0,D
A1,,FC Superfund,RB Salzburg,1,1,D,1,0,H
A1,,SCR Altach,Sturm Graz,4,1,H,2,1,H
A1,,SV Mattersburg,SV Ried,0,0,D,0,0,D
A1,,Grazer AK,FC Wacker Tirol,2,1,H,1,0,H
A1,,RB Salzburg,SV Mattersburg,2,0,H,0,0,D
A1,,FC Wacker Tirol,FC Superfund,0,0,D,0,0,D
A1,,Sturm Graz,Austria Wien,1,0,H,0,0,D
A1,,SV Ried,SCR Altach,1,2,A,0,0,D
A1,,Rapid Wien,Grazer AK,1,4,A,0,1,A
A1,,Grazer AK,Sturm Graz,0,0,D,0,0,D
A1,,FC Superfund,Rapid Wien,1,0,H,0,0,D
A1,,RB Salzburg,FC Wacker Tirol,4,0,H,0,0,D
