Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
UA1,,Dinamo Kiev,Chernomorets Odessa,4,1,H,NoR,NoR,NoR
UA1,,Stal Alchevsk,Metalist Kharkov,0,1,A,NoR,NoR,NoR
UA1,,Tavriya Simferopol,FK Illichivets,1,0,H,NoR,NoR,NoR
UA1,,FK Kharkov,Zorya Lugansk,2,2,D,NoR,NoR,NoR
UA1,,Shakhtar Donetsk,FK Krivbas,5,0,H,NoR,NoR,NoR
UA1,,Karpaty Lviv,Metalurg Zaporizhya,0,0,D,NoR,NoR,NoR
UA1,,Vorskla Poltava,Arsenal Kiev,0,1,A,NoR,NoR,NoR
UA1,,Dnipro Dnipropetrovsk,Metalurh Donetsk,2,0,H,NoR,NoR,NoR
UA1,,Metalist Kharkov,FK Kharkov,2,0,H,NoR,NoR,NoR
UA1,,Metalurg Zaporizhya,Dinamo Kiev,0,5,A,NoR,NoR,NoR
UA1,,Arsenal Kiev,Chernomorets Odessa,1,1,D,NoR,NoR,NoR
UA1,,Metalurh Donetsk,Stal Alchevsk,2,1,H,NoR,NoR,NoR
UA1,,Vorskla Poltava,Tavriya Simferopol,0,0,D,NoR,NoR,NoR
UA1,,FK Krivbas,Karpaty Lviv,3,0,H,NoR,NoR,NoR
UA1,,Zorya Lugansk,Shakhtar Donetsk,0,2,A,NoR,NoR,NoR
UA1,,FK Illichivets,Dnipro Dnipropetrovsk,1,1,D,NoR,NoR,NoR
UA1,,Shakhtar Donetsk,Metalist Kharkov,5,0,H,NoR,NoR,NoR
UA1,,Stal Alchevsk,FK Illichivets,0,2,A,NoR,NoR,NoR
UA1,,Tavriya Simferopol,Arsenal Kiev,1,3,A,NoR,NoR,NoR
UA1,,Dnipro Dnipropetrovsk,Vorskla Poltava,1,0,H,NoR,NoR,NoR
UA1,,Dinamo Kiev,FK Krivbas,3,1,H,NoR,NoR,NoR
UA1,,Chernomorets Odessa,Metalurg Zaporizhya,1,1,D,NoR,NoR,NoR
UA1,,FK Kharkov,Metalurh Donetsk,0,0,D,NoR,NoR,NoR
UA1,,Karpaty Lviv,Zorya Lugansk,1,0,H,NoR,NoR,NoR
UA1,,Zorya Lugansk,Dinamo Kiev,1,2,A,NoR,NoR,NoR
UA1,,FK Krivbas,Chernomorets Odessa,2,2,D,NoR,NoR,NoR
UA1,,Metalurh Donetsk,Shakhtar Donetsk,0,0,D,NoR,NoR,NoR
