Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
HU1,,Kaposvári RFC,MTK Budapest,3,1,H,3,0,H
HU1,,Debreceni VSC,Zalaegerszegi TE FC,2,1,H,1,1,D
HU1,,BFC Siófok,Videoton FC,1,0,H,1,0,H
HU1,,Szombathelyi Haladás,Győri ETO FC,2,1,H,2,0,H
HU1,,Rákospalotai EAC,Diósgyöri VTK,1,1,D,1,1,D
HU1,,Újpest FC,Nyíregyháza Spartacus,1,0,H,1,0,H
HU1,,Kecskeméti TE,Paksi SE,1,2,A,1,1,D
HU1,,Budapest Honvéd,Budapesti Vasas,0,1,A,0,0,D
HU1,,Budapesti Vasas,Újpest FC,4,2,H,2,0,H
HU1,,Zalaegerszegi TE FC,Kecskeméti TE,1,0,H,1,0,H
HU1,,Videoton FC,Szombathelyi Haladás,1,0,H,1,0,H
HU1,,Nyíregyháza Spartacus,BFC Siófok,1,0,H,0,0,D
HU1,,Diósgyöri VTK,Kaposvári RFC,1,0,H,1,0,H
HU1,,Paksi SE,Rákospalotai EAC,1,3,A,0,2,A
HU1,,MTK Budapest,Budapest Honvéd,1,1,D,1,1,D
HU1,,Győri ETO FC,Debreceni VSC,0,3,A,0,3,A
HU1,,Budapest Honvéd,Diósgyöri VTK,3,1,H,1,0,H
HU1,,Budapesti Vasas,MTK Budapest,0,4,A,0,2,A
HU1,,Kaposvári RFC,Paksi SE,3,5,A,1,4,A
HU1,,BFC Siófok,Újpest FC,0,1,A,0,0,D
HU1,,Szombathelyi Haladás,Nyíregyháza Spartacus,3,0,H,2,0,H
HU1,,Rákospalotai EAC,Zalaegerszegi TE FC,2,3,A,1,1,D
HU1,,Debreceni VSC,Videoton FC,1,0,H,1,0,H
HU1,,Kecskeméti TE,Győri ETO FC,1,0,H,0,0,D
HU1,,Újpest FC,Szombathelyi Haladás,1,0,H,1,0,H
HU1,,Zalaegerszegi TE FC,Kaposvári RFC,1,1,D,0,0,D
HU1,,Videoton FC,Kecskeméti TE,1,2,A,0,1,A
HU1,,Diósgyöri VTK,MTK Budapest,2,3,A,1,1,D
HU1,,Paksi SE,Budapest Honvéd,1,1,D,1,0,H
HU1,,BFC Siófok,Budapesti Vasas,0,1,A,0,0,D
HU1,,Győri ETO FC,Rákospalotai EAC,4,2,H,0,1,A
HU1,,Nyíregyháza Spartacus,Debreceni VSC,1,1,D,0,1,A
HU1,,Budapesti Vasas,Diósgyöri VTK,3,2,H,2,0,H
HU1,,Szombathelyi Haladás,BFC Siófok,5,0,H,2,0,H
HU1,,Kecskeméti TE,Nyíregyháza Spartacus,1,1,D,0,0,D
HU1,,Rákospalotai EAC,Videoton FC,1,2,A,1,0,H
HU1,,Kaposvári RFC,Győri ETO FC,0,1,A,0,0,D
HU1,,MTK Budapest,Paksi SE,3,2,H,1,1,D
HU1,,Debreceni VSC,Újpest FC,1,1,D,0,0,D
HU1,,Budapest Honvéd,Zalaegerszegi TE FC,3,1,H,3,1,H
HU1,,Zalaegerszegi TE FC,MTK Budapest,3,1,H,1,0,H
HU1,,Újpest FC,Kecskeméti TE,4,3,H,2,0,H
HU1,,Szombathelyi Haladás,Budapesti Vasas,1,0,H,1,0,H
HU1,,Videoton FC,Kaposvári RFC,1,1,D,1,1,D
HU1,,Nyíregyháza Spartacus,Rákospalotai EAC,4,0,H,2,0,H
HU1,,Paksi SE,Diósgyöri VTK,1,1,D,1,1,D
HU1,,Győri ETO FC,Budapest Honvéd,4,1,H,2,1,H
HU1,,BFC Siófok,Debreceni VSC,0,4,A,0,2,A
HU1,,Debreceni VSC,Szombathelyi Haladás,2,2,D,1,0,H
HU1,,MTK Budapest,Győri ETO FC,1,1,D,0,1,A
HU1,,Kecskeméti TE,BFC Siófok,3,0,H,1,0,H
HU1,,Budapesti Vasas,Paksi SE,5,0,H,1,0,H
HU1,,Kaposvári RFC,Nyíregyháza Spartacus,1,0,H,1,0,H
HU1,,Budapest Honvéd,Videoton FC,1,2,A,1,1,D
HU1,,Diósgyöri VTK,Zalaegerszegi TE FC,2,1,H,1,1,D
HU1,,Rákospalotai EAC,Újpest FC,1,3,A,1,3,A
HU1,,Videoton FC,MTK Budapest,0,2,A,0,0,D
HU1,,Debreceni VSC,Budapesti Vasas,4,1,H,0,1,A
HU1,,BFC Siófok,Rákospalotai EAC,1,1,D,1,0,H
HU1,,Zalaegerszegi TE FC,Paksi SE,1,1,D,0,0,D
HU1,,Szombathelyi Haladás,Kecskeméti TE,3,1,H,2,0,H
