Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
B1,28/07/12,Bergen,Oud-Heverlee Leuven,5,2,H,3,2,H
B1,28/07/12,Club Brugge,Waasland-Beveren,3,1,H,3,1,H
B1,28/07/12,Germinal,Lokeren,2,4,A,1,1,D
B1,28/07/12,Kortrijk,Anderlecht,1,1,D,1,0,H
B1,28/07/12,Mechelen,Charleroi,4,2,H,2,1,H
B1,29/07/12,Genk,Cercle Brugge,3,3,D,2,2,D
B1,29/07/12,Gent,Lierse,2,0,H,1,0,H
B1,29/07/12,Standard,Waregem,0,1,A,0,1,A
B1,03/08/12,Lierse,Standard,0,0,D,0,0,D
B1,04/08/12,Anderlecht,Germinal,1,0,H,1,0,H
B1,04/08/12,Cercle Brugge,Kortrijk,1,2,A,1,0,H
B1,04/08/12,Charleroi,Club Brugge,0,1,A,0,1,A
B1,04/08/12,Lokeren,Bergen,2,2,D,1,1,D
B1,04/08/12,Waasland-Beveren,Mechelen,0,0,D,0,0,D
B1,05/08/12,Oud-Heverlee Leuven,Genk,2,2,D,0,1,A
B1,05/08/12,Waregem,Gent,3,1,H,2,0,H
B1,10/08/12,Standard,Waasland-Beveren,3,1,H,1,1,D
B1,11/08/12,Bergen,Lierse,1,1,D,0,0,D
B1,11/08/12,Germinal,Waregem,1,1,D,0,0,D
B1,11/08/12,Kortrijk,Charleroi,0,1,A,0,0,D
B1,11/08/12,Mechelen,Club Brugge,3,3,D,2,2,D
B1,12/08/12,Cercle Brugge,Anderlecht,0,3,A,0,2,A
B1,12/08/12,Genk,Lokeren,1,0,H,0,0,D
B1,12/08/12,Gent,Oud-Heverlee Leuven,1,1,D,1,1,D
B1,18/08/12,Anderlecht,Bergen,2,1,H,1,0,H
B1,18/08/12,Club Brugge,Germinal,3,1,H,1,0,H
B1,18/08/12,Lierse,Genk,1,1,D,0,0,D
B1,18/08/12,Lokeren,Mechelen,2,1,H,0,0,D
B1,18/08/12,Oud-Heverlee Leuven,Cercle Brugge,3,2,H,1,1,D
B1,18/08/12,Waasland-Beveren,Gent,0,2,A,0,0,D
B1,18/08/12,Waregem,Kortrijk,2,0,H,0,0,D
B1,19/08/12,Charleroi,Standard,2,6,A,1,3,A
B1,25/08/12,Bergen,Club Brugge,1,3,A,0,0,D
B1,25/08/12,Cercle Brugge,Lierse,0,3,A,0,0,D
B1,25/08/12,Genk,Waregem,2,0,H,0,0,D
B1,25/08/12,Germinal,Charleroi,2,0,H,1,0,H
B1,25/08/12,Kortrijk,Waasland-Beveren,2,1,H,2,0,H
B1,25/08/12,Oud-Heverlee Leuven,Anderlecht,1,1,D,1,1,D
