Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
P1,16/08/13,Pacos Ferreira,Sp Braga,0,2,A,0,1,A
P1,17/08/13,Estoril,Nacional,3,1,H,2,1,H
P1,17/08/13,Guimaraes,Olhanense,2,0,H,0,0,D
P1,18/08/13,Belenenses,Rio Ave,0,3,A,0,1,A
P1,18/08/13,Gil Vicente,Academica,2,0,H,1,0,H
P1,18/08/13,Maritimo,Benfica,2,1,H,1,0,H
P1,18/08/13,Setubal,Porto,1,3,A,1,0,H
P1,18/08/13,Sp Lisbon,Arouca,5,1,H,2,1,H
P1,24/08/13,Academica,Sp Lisbon,0,4,A,0,2,A
P1,24/08/13,Olhanense,Pacos Ferreira,1,0,H,1,0,H
P1,25/08/13,Arouca,Estoril,1,2,A,0,2,A
P1,25/08/13,Benfica,Gil Vicente,2,1,H,0,0,D
P1,25/08/13,Nacional,Guimaraes,1,1,D,1,1,D
P1,25/08/13,Porto,Maritimo,3,0,H,2,0,H
P1,25/08/13,Rio Ave,Setubal,2,0,H,1,0,H
P1,26/08/13,Sp Braga,Belenenses,2,1,H,1,0,H
P1,31/08/13,Guimaraes,Setubal,1,4,A,1,1,D
P1,31/08/13,Sp Lisbon,Benfica,1,1,D,1,0,H
P1,01/09/13,Arouca,Rio Ave,1,0,H,0,0,D
P1,01/09/13,Belenenses,Nacional,2,3,A,1,1,D
P1,01/09/13,Gil Vicente,Sp Braga,1,0,H,0,0,D
P1,01/09/13,Maritimo,Olhanense,1,1,D,0,1,A
P1,01/09/13,Pacos Ferreira,Porto,0,1,A,0,0,D
P1,02/09/13,Estoril,Academica,1,1,D,0,1,A
P1,14/09/13,Benfica,Pacos Ferreira,3,1,H,2,0,H
P1,14/09/13,Porto,Gil Vicente,2,0,H,2,0,H
P1,14/09/13,Rio Ave,Guimaraes,0,1,A,0,0,D
P1,15/09/13,Academica,Belenenses,2,1,H,0,1,A
P1,15/09/13,Nacional,Arouca,0,1,A,0,0,D
P1,15/09/13,Olhanense,Sp Lisbon,0,2,A,0,0,D
P1,15/09/13,Setubal,Maritimo,2,4,A,0,0,D
P1,15/09/13,Sp Braga,Estoril,3,2,H,1,1,D
P1,20/09/13,Arouca,Sp Braga,0,1,A,0,1,A
P1,21/09/13,Belenenses,Maritimo,1,0,H,1,0,H
P1,21/09/13,Gil Vicente,Olhanense,1,1,D,1,0,H
P1,21/09/13,Sp Lisbon,Rio Ave,1,1,D,1,0,H
P1,22/09/13,Estoril,Porto,2,2,D,1,1,D
P1,22/09/13,Guimaraes,Benfica,0,1,A,0,0,D
P1,22/09/13,Nacional,Academica,1,0,H,1,0,H
P1,23/09/13,Pacos Ferreira,Setubal,1,1,D,0,1,A
P1,27/09/13,Porto,Guimaraes,1,0,H,0,0,D
P1,28/09/13,Academica,Arouca,0,0,D,0,0,D
P1,28/09/13,Benfica,Belenenses,1,1,D,1,1,D
P1,28/09/13,Maritimo,Pacos Ferreira,3,4,A,1,0,H
P1,28/09/13,Olhanense,Estoril,1,2,A,1,1,D
P1,28/09/13,Rio Ave,Nacional,0,3,A,0,1,A
P1,28/09/13,Sp Braga,Sp Lisbon,1,2,A,1,1,D
P1,30/09/13,Setubal,Gil Vicente,2,2,D,2,1,H
P1,04/10/13,Academica,Rio Ave,0,1,A,0,0,D
P1,05/10/13,Belenenses,Olhanense,2,0,H,1,0,H
P1,05/10/13,Sp Lisbon,Setubal,4,0,H,1,0,H
P1,06/10/13,Arouca,Porto,1,3,A,0,1,A
P1,06/10/13,Estoril,Benfica,1,2,A,0,1,A
P1,06/10/13,Gil Vicente,Pacos Ferreira,2,1,H,0,0,D
P1,06/10/13,Nacional,Sp Braga,3,0,H,2,0,H
