Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
RU1,,Dinamo Moskva,Volga Nizhniy Novgorod,2,2,D,2,2,D
RU1,,Anzhi Makhachkala,Lokomotiv Moskva,2,2,D,0,0,D
RU1,,Kuban Krasnodar,Rubin Kazan,1,1,D,0,0,D
RU1,,FK Rostov,Terek Grozniy,2,1,H,0,0,D
RU1,,FK Amkar Perm,FK Tom Tomsk,2,0,H,2,0,H
RU1,,Krylia Sovetov,Spartak Moskva,1,2,A,0,2,A
RU1,,FK Ural,CSKA Moskva,2,2,D,0,1,A
RU1,,FK Krasnodar,Zenit St. Petersburg,1,2,A,0,2,A
RU1,,Dinamo Moskva,Anzhi Makhachkala,2,1,H,1,0,H
RU1,,FK Tom Tomsk,Kuban Krasnodar,1,2,A,1,2,A
RU1,,Volga Nizhniy Novgorod,Lokomotiv Moskva,1,2,A,0,0,D
RU1,,Terek Grozniy,FK Amkar Perm,1,1,D,1,0,H
RU1,,Rubin Kazan,Zenit St. Petersburg,2,1,H,0,1,A
RU1,,FK Ural,Spartak Moskva,0,2,A,0,0,D
RU1,,FK Rostov,FK Krasnodar,2,2,D,1,1,D
RU1,,CSKA Moskva,Krylia Sovetov,2,1,H,0,1,A
RU1,,Zenit St. Petersburg,Kuban Krasnodar,1,1,D,0,0,D
RU1,,Dinamo Moskva,Spartak Moskva,1,4,A,0,4,A
RU1,,FK Ural,Volga Nizhniy Novgorod,1,2,A,1,0,H
RU1,,FK Rostov,FK Tom Tomsk,3,0,H,1,0,H
RU1,,Lokomotiv Moskva,CSKA Moskva,1,2,A,0,1,A
RU1,,Krylia Sovetov,Anzhi Makhachkala,1,1,D,0,0,D
RU1,,Terek Grozniy,Rubin Kazan,0,0,D,0,0,D
RU1,,FK Krasnodar,FK Amkar Perm,2,1,H,0,1,A
RU1,,Anzhi Makhachkala,FK Rostov,0,1,A,0,0,D
RU1,,Volga Nizhniy Novgorod,Zenit St. Petersburg,1,3,A,1,1,D
RU1,,FK Tom Tomsk,FK Ural,1,2,A,1,2,A
RU1,,Dinamo Moskva,Terek Grozniy,1,0,H,0,0,D
