Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
I1,30/08/14,Chievo,Juventus,0,1,A,0,1,A
I1,30/08/14,Roma,Fiorentina,2,0,H,1,0,H
I1,31/08/14,Atalanta,Verona,0,0,D,0,0,D
I1,31/08/14,Cesena,Parma,1,0,H,1,0,H
I1,31/08/14,Genoa,Napoli,1,2,A,1,1,D
I1,31/08/14,Milan,Lazio,3,1,H,1,0,H
I1,31/08/14,Palermo,Sampdoria,1,1,D,1,0,H
I1,31/08/14,Sassuolo,Cagliari,1,1,D,1,1,D
I1,31/08/14,Torino,Inter,0,0,D,0,0,D
I1,31/08/14,Udinese,Empoli,2,0,H,0,0,D
I1,13/09/14,Empoli,Roma,0,1,A,0,1,A
I1,13/09/14,Juventus,Udinese,2,0,H,1,0,H
I1,14/09/14,Cagliari,Atalanta,1,2,A,0,1,A
I1,14/09/14,Fiorentina,Genoa,0,0,D,0,0,D
I1,14/09/14,Inter,Sassuolo,7,0,H,4,0,H
I1,14/09/14,Lazio,Cesena,3,0,H,1,0,H
I1,14/09/14,Napoli,Chievo,0,1,A,0,0,D
I1,14/09/14,Parma,Milan,4,5,A,1,3,A
I1,14/09/14,Sampdoria,Torino,2,0,H,1,0,H
I1,15/09/14,Verona,Palermo,2,1,H,1,1,D
I1,20/09/14,Cesena,Empoli,2,2,D,2,0,H
I1,20/09/14,Milan,Juventus,0,1,A,0,0,D
I1,21/09/14,Atalanta,Fiorentina,0,1,A,0,0,D
I1,21/09/14,Chievo,Parma,2,3,A,1,0,H
I1,21/09/14,Genoa,Lazio,1,0,H,0,0,D
I1,21/09/14,Palermo,Inter,1,1,D,1,1,D
I1,21/09/14,Roma,Cagliari,2,0,H,2,0,H
I1,21/09/14,Sassuolo,Sampdoria,0,0,D,0,0,D
I1,21/09/14,Torino,Verona,0,1,A,0,0,D
I1,21/09/14,Udinese,Napoli,1,0,H,0,0,D
I1,23/09/14,Empoli,Milan,2,2,D,2,1,H
I1,24/09/14,Cagliari,Torino,1,2,A,1,2,A
I1,24/09/14,Fiorentina,Sassuolo,0,0,D,0,0,D
I1,24/09/14,Inter,Atalanta,2,0,H,1,0,H
I1,24/09/14,Juventus,Cesena,3,0,H,1,0,H
I1,24/09/14,Napoli,Palermo,3,3,D,3,2,H
I1,24/09/14,Parma,Roma,1,2,A,0,1,A
I1,24/09/14,Sampdoria,Chievo,2,1,H,1,0,H
I1,24/09/14,Verona,Genoa,2,2,D,0,1,A
I1,25/09/14,Lazio,Udinese,0,1,A,0,1,A
I1,27/09/14,Atalanta,Juventus,0,3,A,0,1,A
I1,27/09/14,Roma,Verona,2,0,H,0,0,D
I1,28/09/14,Cesena,Milan,1,1,D,1,1,D
I1,28/09/14,Chievo,Empoli,1,1,D,0,0,D
I1,28/09/14,Genoa,Sampdoria,0,1,A,0,0,D
I1,28/09/14,Inter,Cagliari,1,4,A,1,4,A
I1,28/09/14,Sassuolo,Napoli,0,1,A,0,1,A
I1,28/09/14,Torino,Fiorentina,1,1,D,0,0,D
I1,29/09/14,Palermo,Lazio,0,4,A,0,1,A
I1,29/09/14,Udinese,Parma,4,2,H,2,2,D
I1,05/10/14,Empoli,Palermo,3,0,H,2,0,H
I1,05/10/14,Fiorentina,Inter,3,0,H,2,0,H
I1,05/10/14,Juventus,Roma,3,2,H,2,2,D
I1,05/10/14,Lazio,Sassuolo,3,2,H,3,1,H
I1,04/10/14,Milan,Chievo,2,0,H,0,0,D
I1,05/10/14,Napoli,Torino,2,1,H,0,1,A
I1,05/10/14,Parma,Genoa,1,2,A,0,0,D
I1,05/10/14,Sampdoria,Atalanta,1,0,H,1,0,H
I1,05/10/14,Udinese,Cesena,1,1,D,0,0,D
I1,04/10/14,Verona,Cagliari,1,0,H,0,0,D
I1,18/10/14,Roma,Chievo,3,0,H,3,0,H
I1,18/10/14,Sassuolo,Juventus,1,1,D,1,1,D
I1,19/10/14,Atalanta,Parma,1,0,H,0,0,D
I1,19/10/14,Cagliari,Sampdoria,2,2,D,0,2,A
I1,19/10/14,Fiorentina,Lazio,0,2,A,0,1,A
I1,19/10/14,Inter,Napoli,2,2,D,0,0,D
I1,19/10/14,Palermo,Cesena,2,1,H,1,0,H
I1,19/10/14,Torino,Udinese,1,0,H,0,0,D
I1,19/10/14,Verona,Milan,1,3,A,0,2,A
I1,20/10/14,Genoa,Empoli,1,1,D,1,0,H
I1,25/10/14,Empoli,Cagliari,0,4,A,0,4,A
I1,25/10/14,Parma,Sassuolo,1,3,A,0,2,A
I1,25/10/14,Sampdoria,Roma,0,0,D,0,0,D
I1,26/10/14,Cesena,Inter,0,1,A,0,1,A
I1,26/10/14,Chievo,Genoa,1,2,A,1,0,H
I1,26/10/14,Juventus,Palermo,2,0,H,1,0,H
I1,26/10/14,Lazio,Torino,2,1,H,1,0,H
I1,26/10/14,Milan,Fiorentina,1,1,D,1,0,H
I1,26/10/14,Napoli,Verona,6,2,H,1,1,D
I1,26/10/14,Udinese,Atalanta,2,0,H,2,0,H
I1,28/10/14,Sassuolo,Empoli,3,1,H,0,1,A
I1,29/10/14,Atalanta,Napoli,1,1,D,0,0,D
I1,29/10/14,Cagliari,Milan,1,1,D,1,1,D
I1,29/10/14,Fiorentina,Udinese,3,0,H,1,0,H
I1,29/10/14,Genoa,Juventus,1,0,H,0,0,D
I1,29/10/14,Inter,Sampdoria,1,0,H,0,0,D
I1,29/10/14,Palermo,Chievo,1,0,H,0,0,D
I1,29/10/14,Roma,Cesena,2,0,H,1,0,H
I1,29/10/14,Torino,Parma,1,0,H,1,0,H
I1,30/10/14,Verona,Lazio,1,1,D,0,1,A
I1,01/11/14,Empoli,Juventus,0,2,A,0,0,D
I1,01/11/14,Napoli,Roma,2,0,H,1,0,H
I1,01/11/14,Parma,Inter,2,0,H,1,0,H
I1,02/11/14,Chievo,Sassuolo,0,0,D,0,0,D
I1,02/11/14,Milan,Palermo,0,2,A,0,2,A
I1,02/11/14,Sampdoria,Fiorentina,3,1,H,2,1,H
I1,02/11/14,Torino,Atalanta,0,0,D,0,0,D
I1,02/11/14,Udinese,Genoa,2,4,A,2,2,D
I1,03/11/14,Cesena,Verona,1,1,D,1,0,H
I1,03/11/14,Lazio,Cagliari,4,2,H,3,0,H
I1,08/11/14,Sampdoria,Milan,2,2,D,1,1,D
I1,08/11/14,Sassuolo,Atalanta,0,0,D,0,0,D
I1,09/11/14,Cagliari,Genoa,1,1,D,1,0,H
I1,09/11/14,Chievo,Cesena,2,1,H,0,0,D
