Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
F2,31/07/15,Ajaccio,Dijon,0,0,D,0,0,D
F2,31/07/15,Auxerre,Brest,0,0,D,0,0,D
F2,31/07/15,Bourg Peronnas,Le Havre,1,3,A,1,1,D
F2,31/07/15,Clermont,Sochaux,0,0,D,0,0,D
F2,31/07/15,Nimes,Evian Thonon Gaillard,0,0,D,0,0,D
F2,31/07/15,Niort,Valenciennes,0,1,A,0,1,A
F2,31/07/15,Paris FC,Laval,1,1,D,0,0,D
F2,31/07/15,Red Star,Creteil,0,1,A,0,0,D
F2,01/08/15,Metz,Lens,0,0,D,0,0,D
F2,03/08/15,Nancy,Tours,0,0,D,0,0,D
F2,07/08/15,Brest,Nimes,2,0,H,1,0,H
F2,07/08/15,Creteil,Bourg Peronnas,2,1,H,1,0,H
F2,07/08/15,Dijon,Niort,3,0,H,1,0,H
F2,07/08/15,Evian Thonon Gaillard,Clermont,2,2,D,1,1,D
F2,07/08/15,Laval,Nancy,0,1,A,0,0,D
F2,07/08/15,Le Havre,Ajaccio,1,0,H,0,0,D
F2,07/08/15,Sochaux,Metz,0,1,A,0,1,A
F2,07/08/15,Tours,Paris FC,0,0,D,0,0,D
F2,07/08/15,Valenciennes,Auxerre,0,0,D,0,0,D
F2,08/08/15,Lens,Red Star,1,1,D,0,1,A
F2,14/08/15,Ajaccio,Evian Thonon Gaillard,1,1,D,1,1,D
F2,14/08/15,Auxerre,Laval,2,3,A,0,0,D
F2,14/08/15,Bourg Peronnas,Dijon,2,1,H,1,0,H
F2,14/08/15,Clermont,Nimes,1,0,H,0,0,D
F2,14/08/15,Lens,Creteil,1,1,D,1,0,H
F2,14/08/15,Niort,Sochaux,1,1,D,0,1,A
F2,14/08/15,Paris FC,Le Havre,3,0,H,1,0,H
F2,14/08/15,Red Star,Tours,1,1,D,1,0,H
F2,15/08/15,Nancy,Brest,3,0,H,3,0,H
F2,17/08/15,Metz,Valenciennes,2,0,H,0,0,D
F2,21/08/15,Brest,Ajaccio,1,0,H,0,0,D
F2,21/08/15,Creteil,Metz,1,2,A,1,0,H
F2,21/08/15,Dijon,Lens,2,0,H,1,0,H
F2,21/08/15,Evian Thonon Gaillard,Niort,0,0,D,0,0,D
F2,21/08/15,Laval,Red Star,2,1,H,0,1,A
F2,21/08/15,Le Havre,Clermont,0,1,A,0,1,A
F2,21/08/15,Sochaux,Paris FC,1,1,D,0,0,D
