Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR
A1;NaN;FC Admira Wacker;Sturm Graz;1;5;A;1;3;A
A1;NaN;Austria Wien;Vorwärts Steyr;4;0;H;1;0;H
A1;NaN;SV Ried;Rapid Wien;2;1;H;0;0;D
A1;NaN;RB Salzburg;Linzer ASK;1;1;D;0;0;D
A1;NaN;Grazer AK;FC Tirol Innsbruck;3;0;H;1;0;H
A1;NaN;Linzer ASK;SV Ried;1;1;D;1;1;D
A1;NaN;FC Tirol Innsbruck;FC Admira Wacker;3;0;H;2;0;H
A1;NaN;Rapid Wien;Austria Wien;1;0;H;0;0;D
A1;NaN;Sturm Graz;RB Salzburg;0;2;A;0;0;D
A1;NaN;Vorwärts Steyr;Grazer AK;1;2;A;0;0;D
A1;NaN;Austria Wien;Linzer ASK;0;1;A;0;0;D
A1;NaN;FC Admira Wacker;RB Salzburg;1;2;A;1;0;H
A1;NaN;FC Tirol Innsbruck;Vorwärts Steyr;5;1;H;2;1;H
A1;NaN;Grazer AK;Rapid Wien;1;2;A;0;1;A
A1;NaN;SV Ried;Sturm Graz;2;4;A;0;2;A
A1;NaN;Vorwärts Steyr;FC Admira Wacker;0;1;A;0;0;D
A1;NaN;Linzer ASK;Grazer AK;0;0;D;0;0;D
A1;NaN;Rapid Wien;FC Tirol Innsbruck;3;1;H;3;1;H
A1;NaN;Sturm Graz;Austria Wien;2;0;H;0;0;D
A1;NaN;RB Salzburg;SV Ried;1;1;D;0;0;D
A1;NaN;FC Admira Wacker;SV Ried;3;2;H;3;0;H
A1;NaN;Austria Wien;RB Salzburg;3;0;H;3;0;H
A1;NaN;FC Tirol Innsbruck;Linzer ASK;2;1;H;1;0;H
A1;NaN;Grazer AK;Sturm Graz;3;2;H;3;1;H
A1;NaN;Vorwärts Steyr;Rapid Wien;0;2;A;0;0;D
A1;NaN;SV Ried;Austria Wien;0;0;D;0;0;D
A1;NaN;RB Salzburg;Grazer AK;2;1;H;1;1;D
A1;NaN;Linzer ASK;Vorwärts Steyr;1;0;H;1;0;H
A1;NaN;Rapid Wien;FC Admira Wacker;1;1;D;1;0;H
A1;NaN;Sturm Graz;FC Tirol Innsbruck;2;0;H;1;0;H
A1;NaN;FC Admira Wacker;Austria Wien;1;1;D;1;0;H
A1;NaN;FC Tirol Innsbruck;RB Salzburg;1;1;D;1;1;D
A1;NaN;Grazer AK;SV Ried;4;2;H;0;1;A
A1;NaN;Vorwärts Steyr;Sturm Graz;1;3;A;0;1;A
A1;NaN;Rapid Wien;Linzer ASK;1;1;D;1;1;D
A1;NaN;SV Ried;FC Tirol Innsbruck;2;1;H;1;0;H
A1;NaN;RB Salzburg;Vorwärts Steyr;4;0;H;3;0;H
A1;NaN;Austria Wien;Grazer AK;3;2;H;2;0;H
A1;NaN;Linzer ASK;FC Admira Wacker;2;0;H;1;0;H
A1;NaN;Sturm Graz;Rapid Wien;0;1;A;0;0;D
A1;NaN;FC Tirol Innsbruck;Austria Wien;3;1;H;1;1;D
A1;NaN;Grazer AK;FC Admira Wacker;1;1;D;1;1;D
A1;NaN;Linzer ASK;Sturm Graz;2;1;H;1;0;H
A1;NaN;Rapid Wien;RB Salzburg;3;1;H;0;1;A
A1;NaN;Vorwärts Steyr;SV Ried;0;2;A;0;1;A
A1;NaN;FC Admira Wacker;Grazer AK;0;2;A;0;1;A
A1;NaN;Sturm Graz;Linzer ASK;3;1;H;1;0;H
A1;NaN;SV Ried;Vorwärts Steyr;3;1;H;2;1;H
A1;NaN;RB Salzburg;Rapid Wien;0;3;A;0;2;A
A1;NaN;Austria Wien;FC Tirol Innsbruck;1;0;H;1;0;H
A1;NaN;Sturm Graz;FC Admira Wacker;0;0;D;0;0;D
A1;NaN;Vorwärts Steyr;Austria Wien;0;0;D;0;0;D
A1;NaN;FC Tirol Innsbruck;Grazer AK;1;1;D;0;1;A
A1;NaN;Linzer ASK;RB Salzburg;0;0;D;0;0;D
A1;NaN;Rapid Wien;SV Ried;4;1;H;1;1;D
A1;NaN;Grazer AK;Vorwärts Steyr;1;1;D;0;1;A
A1;NaN;Austria Wien;Rapid Wien;4;1;H;2;0;H
A1;NaN;SV Ried;Linzer ASK;1;0;H;0;0;D
A1;NaN;RB Salzburg;Sturm Graz;1;1;D;1;0;H
A1;NaN;FC Admira Wacker;FC Tirol Innsbruck;0;0;D;0;0;D
A1;NaN;Vorwärts Steyr;FC Tirol Innsbruck;2;2;D;0;1;A
A1;NaN;Linzer ASK;Austria Wien;0;1;A;0;1;A
A1;NaN;Sturm Graz;SV Ried;1;0;H;0;0;D
A1;NaN;RB Salzburg;FC Admira Wacker;2;2;D;0;0;D
A1;NaN;Rapid Wien;Grazer AK;3;1;H;1;1;D
A1;NaN;FC Admira Wacker;Vorwärts Steyr;4;1;H;3;0;H
A1;NaN;Austria Wien;Sturm Graz;0;3;A;0;2;A
A1;NaN;FC Tirol Innsbruck;Rapid Wien;1;2;A;1;1;D
A1;NaN;SV Ried;RB Salzburg;0;0;D;0;0;D
A1;NaN;Grazer AK;Linzer ASK;1;0;H;0;0;D
A1;NaN;Linzer ASK;FC Tirol Innsbruck;1;2;A;1;1;D
A1;NaN;Sturm Graz;Grazer AK;1;1;D;1;1;D
A1;NaN;SV Ried;FC Admira Wacker;2;2;D;2;1;H
A1;NaN;Rapid Wien;Vorwärts Steyr;4;3;H;2;2;D
A1;NaN;RB Salzburg;Austria Wien;2;2;D;0;0;D
A1;NaN;FC Admira Wacker;Rapid Wien;1;1;D;0;1;A
A1;NaN;Austria Wien;SV Ried;0;0;D;0;0;D
A1;NaN;FC Tirol Innsbruck;Sturm Graz;2;2;D;1;0;H
A1;NaN;Grazer AK;RB Salzburg;0;0;D;0;0;D
A1;NaN;Vorwärts Steyr;Linzer ASK;0;3;A;0;0;D
A1;NaN;Austria Wien;FC Admira Wacker;3;1;H;2;1;H
A1;NaN;Linzer ASK;Rapid Wien;2;0;H;2;0;H
A1;NaN;SV Ried;Grazer AK;0;0;D;0;0;D
