Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
CZ1,,Sigma Olomouc,FK Teplice,1,0,H,NoR,NoR,NoR
CZ1,,Baník Ostrava,Dukla Praha,1,0,H,NoR,NoR,NoR
CZ1,,1. FC Brno,AFK Atlantic Lázně Bohdaneč,3,0,H,NoR,NoR,NoR
CZ1,,FC Hradec Králové,České Budějovice,1,1,D,NoR,NoR,NoR
CZ1,,FK Jablonec,Viktoria Žižkov,1,1,D,NoR,NoR,NoR
CZ1,,Kaučuk Opava,Slovan Liberec,1,1,D,NoR,NoR,NoR
CZ1,,FC Petra Drnovice,Slavia Praha,0,0,D,NoR,NoR,NoR
CZ1,,Sparta Praha,Viktoria Plzeň,2,1,H,NoR,NoR,NoR
CZ1,,České Budějovice,FK Jablonec,0,1,A,NoR,NoR,NoR
CZ1,,Slovan Liberec,1. FC Brno,1,0,H,NoR,NoR,NoR
CZ1,,Viktoria Žižkov,Sparta Praha,0,1,A,NoR,NoR,NoR
CZ1,,AFK Atlantic Lázně Bohdaneč,FC Hradec Králové,0,1,A,NoR,NoR,NoR
CZ1,,Baník Ostrava,FC Petra Drnovice,2,0,H,NoR,NoR,NoR
CZ1,,Dukla Praha,FK Teplice,2,2,D,NoR,NoR,NoR
CZ1,,Slavia Praha,Kaučuk Opava,3,2,H,NoR,NoR,NoR
CZ1,,Viktoria Plzeň,Sigma Olomouc,2,0,H,NoR,NoR,NoR
CZ1,,1. FC Brno,Slavia Praha,0,2,A,NoR,NoR,NoR
CZ1,,FC Hradec Králové,Slovan Liberec,1,0,H,NoR,NoR,NoR
CZ1,,FK Jablonec,AFK Atlantic Lázně Bohdaneč,1,0,H,NoR,NoR,NoR
CZ1,,Kaučuk Opava,Baník Ostrava,3,3,D,NoR,NoR,NoR
CZ1,,FC Petra Drnovice,Dukla Praha,4,1,H,NoR,NoR,NoR
CZ1,,Sigma Olomouc,Viktoria Žižkov,2,0,H,NoR,NoR,NoR
CZ1,,Sparta Praha,České Budějovice,3,1,H,NoR,NoR,NoR
CZ1,,FK Teplice,Viktoria Plzeň,1,0,H,NoR,NoR,NoR
CZ1,,České Budějovice,Sigma Olomouc,0,0,D,NoR,NoR,NoR
CZ1,,Baník Ostrava,1. FC Brno,3,3,D,NoR,NoR,NoR
CZ1,,Dukla Praha,Viktoria Plzeň,2,0,H,NoR,NoR,NoR
CZ1,,FC Petra Drnovice,Kaučuk Opava,1,1,D,NoR,NoR,NoR
CZ1,,Slavia Praha,FC Hradec Králové,7,1,H,NoR,NoR,NoR
CZ1,,Slovan Liberec,FK Jablonec,3,1,H,NoR,NoR,NoR
CZ1,,Viktoria Žižkov,FK Teplice,0,0,D,NoR,NoR,NoR
CZ1,,AFK Atlantic Lázně Bohdaneč,Sparta Praha,0,3,A,NoR,NoR,NoR
CZ1,,1. FC Brno,FC Petra Drnovice,3,1,H,NoR,NoR,NoR
CZ1,,FC Hradec Králové,Baník Ostrava,0,0,D,NoR,NoR,NoR
CZ1,,FK Jablonec,Slavia Praha,0,0,D,NoR,NoR,NoR
CZ1,,Kaučuk Opava,Dukla Praha,1,0,H,NoR,NoR,NoR
CZ1,,Sigma Olomouc,AFK Atlantic Lázně Bohdaneč,3,0,H,NoR,NoR,NoR
CZ1,,Sparta Praha,Slovan Liberec,4,2,H,NoR,NoR,NoR
CZ1,,FK Teplice,České Budějovice,2,3,A,NoR,NoR,NoR
CZ1,,Viktoria Plzeň,Viktoria Žižkov,1,0,H,NoR,NoR,NoR
CZ1,,České Budějovice,Viktoria Plzeň,1,1,D,NoR,NoR,NoR
CZ1,,AFK Atlantic Lázně Bohdaneč,FK Teplice,1,2,A,NoR,NoR,NoR
CZ1,,Baník Ostrava,FK Jablonec,2,2,D,NoR,NoR,NoR
CZ1,,Dukla Praha,Viktoria Žižkov,0,0,D,NoR,NoR,NoR
CZ1,,Kaučuk Opava,1. FC Brno,1,1,D,NoR,NoR,NoR
CZ1,,FC Petra Drnovice,FC Hradec Králové,1,0,H,NoR,NoR,NoR
CZ1,,Slavia Praha,Sparta Praha,0,1,A,NoR,NoR,NoR
CZ1,,Slovan Liberec,Sigma Olomouc,1,0,H,NoR,NoR,NoR
CZ1,,1. FC Brno,Dukla Praha,4,0,H,NoR,NoR,NoR
CZ1,,FC Hradec Králové,Kaučuk Opava,3,0,H,NoR,NoR,NoR
CZ1,,FK Jablonec,FC Petra Drnovice,1,2,A,NoR,NoR,NoR
CZ1,,Sigma Olomouc,Slavia Praha,1,1,D,NoR,NoR,NoR
CZ1,,Sparta Praha,Baník Ostrava,4,1,H,NoR,NoR,NoR
CZ1,,FK Teplice,Slovan Liberec,5,1,H,NoR,NoR,NoR
CZ1,,Viktoria Žižkov,České Budějovice,2,1,H,NoR,NoR,NoR
CZ1,,Viktoria Plzeň,AFK Atlantic Lázně Bohdaneč,1,2,A,NoR,NoR,NoR
