Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
HU1,,MTK Budapest,FC Sopron,2,1,H,NoR,NoR,NoR
HU1,,Békéscsaba 1912 Előre SE,Zalaegerszegi TE FC,3,1,H,NoR,NoR,NoR
HU1,,Videoton FC,Pécsi MFC,1,1,D,NoR,NoR,NoR
HU1,,BFC Siófok,Ferencvárosi TC,1,1,D,NoR,NoR,NoR
HU1,,Szombathelyi Haladás,Győri ETO FC,2,0,H,NoR,NoR,NoR
HU1,,Újpest FC,Debreceni VSC,3,1,H,NoR,NoR,NoR
HU1,,Győri ETO FC,BFC Siófok,0,0,D,NoR,NoR,NoR
HU1,,Zalaegerszegi TE FC,MTK Budapest,1,3,A,NoR,NoR,NoR
HU1,,Újpest FC,FC Sopron,1,3,A,NoR,NoR,NoR
HU1,,Debreceni VSC,Szombathelyi Haladás,3,0,H,NoR,NoR,NoR
HU1,,Ferencvárosi TC,Videoton FC,2,2,D,NoR,NoR,NoR
HU1,,Pécsi MFC,Békéscsaba 1912 Előre SE,3,0,H,NoR,NoR,NoR
HU1,,BFC Siófok,Szombathelyi Haladás,2,0,H,NoR,NoR,NoR
HU1,,Újpest FC,Zalaegerszegi TE FC,2,0,H,NoR,NoR,NoR
HU1,,Békéscsaba 1912 Előre SE,Ferencvárosi TC,0,0,D,NoR,NoR,NoR
HU1,,Videoton FC,Győri ETO FC,2,0,H,NoR,NoR,NoR
HU1,,Debreceni VSC,FC Sopron,0,0,D,NoR,NoR,NoR
HU1,,MTK Budapest,Pécsi MFC,1,2,A,NoR,NoR,NoR
HU1,,Ferencvárosi TC,MTK Budapest,2,1,H,NoR,NoR,NoR
HU1,,Zalaegerszegi TE FC,FC Sopron,1,3,A,NoR,NoR,NoR
HU1,,BFC Siófok,Debreceni VSC,1,0,H,NoR,NoR,NoR
HU1,,Szombathelyi Haladás,Videoton FC,3,0,H,NoR,NoR,NoR
HU1,,Győri ETO FC,Békéscsaba 1912 Előre SE,1,0,H,NoR,NoR,NoR
HU1,,Pécsi MFC,Újpest FC,1,1,D,NoR,NoR,NoR
HU1,,Békéscsaba 1912 Előre SE,Szombathelyi Haladás,2,2,D,NoR,NoR,NoR
HU1,,Videoton FC,BFC Siófok,2,1,H,NoR,NoR,NoR
HU1,,FC Sopron,Pécsi MFC,3,1,H,NoR,NoR,NoR
HU1,,Debreceni VSC,Zalaegerszegi TE FC,4,0,H,NoR,NoR,NoR
HU1,,MTK Budapest,Győri ETO FC,4,1,H,NoR,NoR,NoR
HU1,,Újpest FC,Ferencvárosi TC,1,1,D,NoR,NoR,NoR
HU1,,BFC Siófok,Békéscsaba 1912 Előre SE,2,0,H,NoR,NoR,NoR
HU1,,Szombathelyi Haladás,MTK Budapest,1,1,D,NoR,NoR,NoR
HU1,,Győri ETO FC,Újpest FC,0,0,D,NoR,NoR,NoR
HU1,,Pécsi MFC,Zalaegerszegi TE FC,1,0,H,NoR,NoR,NoR
HU1,,Videoton FC,Debreceni VSC,2,0,H,NoR,NoR,NoR
HU1,,Ferencvárosi TC,FC Sopron,2,0,H,NoR,NoR,NoR
HU1,,Debreceni VSC,Pécsi MFC,1,0,H,NoR,NoR,NoR
HU1,,FC Sopron,Győri ETO FC,1,2,A,NoR,NoR,NoR
HU1,,Zalaegerszegi TE FC,Ferencvárosi TC,1,2,A,NoR,NoR,NoR
HU1,,Újpest FC,Szombathelyi Haladás,0,0,D,NoR,NoR,NoR
HU1,,MTK Budapest,BFC Siófok,1,0,H,NoR,NoR,NoR
HU1,,Békéscsaba 1912 Előre SE,Videoton FC,2,2,D,NoR,NoR,NoR
HU1,,BFC Siófok,Újpest FC,1,0,H,NoR,NoR,NoR
HU1,,Békéscsaba 1912 Előre SE,Debreceni VSC,1,2,A,NoR,NoR,NoR
HU1,,Szombathelyi Haladás,FC Sopron,0,0,D,NoR,NoR,NoR
HU1,,Győri ETO FC,Zalaegerszegi TE FC,4,3,H,NoR,NoR,NoR
HU1,,Ferencvárosi TC,Pécsi MFC,3,0,H,NoR,NoR,NoR
HU1,,Videoton FC,MTK Budapest,1,1,D,NoR,NoR,NoR
HU1,,MTK Budapest,Békéscsaba 1912 Előre SE,2,0,H,NoR,NoR,NoR
HU1,,Zalaegerszegi TE FC,Szombathelyi Haladás,4,0,H,NoR,NoR,NoR
HU1,,FC Sopron,BFC Siófok,2,1,H,NoR,NoR,NoR
HU1,,Újpest FC,Videoton FC,1,2,A,NoR,NoR,NoR
HU1,,Pécsi MFC,Győri ETO FC,1,0,H,NoR,NoR,NoR
HU1,,Debreceni VSC,Ferencvárosi TC,5,0,H,NoR,NoR,NoR
HU1,,Békéscsaba 1912 Előre SE,Újpest FC,0,1,A,NoR,NoR,NoR
HU1,,BFC Siófok,Zalaegerszegi TE FC,0,1,A,NoR,NoR,NoR
HU1,,Szombathelyi Haladás,Pécsi MFC,0,0,D,NoR,NoR,NoR
HU1,,Győri ETO FC,Ferencvárosi TC,0,1,A,NoR,NoR,NoR
HU1,,MTK Budapest,Debreceni VSC,2,0,H,NoR,NoR,NoR
