Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR
HU1;NaN;Nyíregyháza Spartacus;Békéscsaba 1912 Előre SE;1;1;D;NoR;NoR;NoR
HU1;NaN;Videoton FC;Újpest FC;1;2;A;NoR;NoR;NoR
HU1;NaN;Budapest Honvéd;Debreceni VSC;1;2;A;NoR;NoR;NoR
HU1;NaN;Kaposvári RFC;Budapesti Vasas;3;2;H;NoR;NoR;NoR
HU1;NaN;Diósgyöri VTK;Lombard Pápa TFC;1;3;A;NoR;NoR;NoR
HU1;NaN;Zalaegerszegi TE FC;Pécsi MFC;1;0;H;NoR;NoR;NoR
HU1;NaN;MTK Budapest;FC Sopron;3;0;H;NoR;NoR;NoR
HU1;NaN;Győri ETO FC;Ferencvárosi TC;2;4;A;NoR;NoR;NoR
HU1;NaN;Ferencvárosi TC;Diósgyöri VTK;2;1;H;NoR;NoR;NoR
HU1;NaN;Debreceni VSC;Győri ETO FC;1;3;A;NoR;NoR;NoR
HU1;NaN;Budapesti Vasas;Nyíregyháza Spartacus;2;0;H;NoR;NoR;NoR
HU1;NaN;FC Sopron;Kaposvári RFC;0;0;D;NoR;NoR;NoR
HU1;NaN;Békéscsaba 1912 Előre SE;Zalaegerszegi TE FC;1;3;A;NoR;NoR;NoR
HU1;NaN;Lombard Pápa TFC;Videoton FC;2;2;D;NoR;NoR;NoR
HU1;NaN;Pécsi MFC;Budapest Honvéd;3;1;H;NoR;NoR;NoR
HU1;NaN;Újpest FC;MTK Budapest;2;0;H;NoR;NoR;NoR
HU1;NaN;Nyíregyháza Spartacus;FC Sopron;2;2;D;NoR;NoR;NoR
HU1;NaN;MTK Budapest;Lombard Pápa TFC;1;0;H;NoR;NoR;NoR
HU1;NaN;Budapest Honvéd;Zalaegerszegi TE FC;3;3;D;NoR;NoR;NoR
HU1;NaN;Győri ETO FC;Pécsi MFC;2;0;H;NoR;NoR;NoR
HU1;NaN;Videoton FC;Ferencvárosi TC;0;1;A;NoR;NoR;NoR
HU1;NaN;Békéscsaba 1912 Előre SE;Budapesti Vasas;3;0;H;NoR;NoR;NoR
HU1;NaN;Kaposvári RFC;Újpest FC;0;0;D;NoR;NoR;NoR
HU1;NaN;Diósgyöri VTK;Debreceni VSC;0;2;A;NoR;NoR;NoR
HU1;NaN;Lombard Pápa TFC;Kaposvári RFC;4;1;H;NoR;NoR;NoR
HU1;NaN;Debreceni VSC;Videoton FC;3;0;H;NoR;NoR;NoR
HU1;NaN;FC Sopron;Budapesti Vasas;1;1;D;NoR;NoR;NoR
HU1;NaN;Zalaegerszegi TE FC;Győri ETO FC;2;0;H;NoR;NoR;NoR
HU1;NaN;Pécsi MFC;Diósgyöri VTK;2;1;H;NoR;NoR;NoR
HU1;NaN;Ferencvárosi TC;MTK Budapest;2;1;H;NoR;NoR;NoR
HU1;NaN;Újpest FC;Nyíregyháza Spartacus;3;3;D;NoR;NoR;NoR
HU1;NaN;Budapest Honvéd;Békéscsaba 1912 Előre SE;2;0;H;NoR;NoR;NoR
HU1;NaN;Nyíregyháza Spartacus;Lombard Pápa TFC;0;2;A;NoR;NoR;NoR
HU1;NaN;MTK Budapest;Debreceni VSC;2;0;H;NoR;NoR;NoR
HU1;NaN;Győri ETO FC;Budapest Honvéd;1;0;H;NoR;NoR;NoR
HU1;NaN;Videoton FC;Pécsi MFC;1;0;H;NoR;NoR;NoR
HU1;NaN;Békéscsaba 1912 Előre SE;FC Sopron;3;3;D;NoR;NoR;NoR
HU1;NaN;Kaposvári RFC;Ferencvárosi TC;2;1;H;NoR;NoR;NoR
HU1;NaN;Budapesti Vasas;Újpest FC;1;2;A;NoR;NoR;NoR
HU1;NaN;Diósgyöri VTK;Zalaegerszegi TE FC;2;1;H;NoR;NoR;NoR
HU1;NaN;Lombard Pápa TFC;Budapesti Vasas;2;0;H;NoR;NoR;NoR
HU1;NaN;Debreceni VSC;Kaposvári RFC;2;1;H;NoR;NoR;NoR
HU1;NaN;Budapest Honvéd;Diósgyöri VTK;2;1;H;NoR;NoR;NoR
HU1;NaN;Győri ETO FC;Békéscsaba 1912 Előre SE;2;0;H;NoR;NoR;NoR
HU1;NaN;Zalaegerszegi TE FC;Videoton FC;0;0;D;NoR;NoR;NoR
HU1;NaN;Pécsi MFC;MTK Budapest;1;0;H;NoR;NoR;NoR
HU1;NaN;Újpest FC;FC Sopron;1;4;A;NoR;NoR;NoR
HU1;NaN;Ferencvárosi TC;Nyíregyháza Spartacus;5;0;H;NoR;NoR;NoR
HU1;NaN;Nyíregyháza Spartacus;Debreceni VSC;0;2;A;NoR;NoR;NoR
HU1;NaN;FC Sopron;Lombard Pápa TFC;1;0;H;NoR;NoR;NoR
HU1;NaN;Videoton FC;Budapest Honvéd;4;1;H;NoR;NoR;NoR
HU1;NaN;Diósgyöri VTK;Győri ETO FC;2;3;A;NoR;NoR;NoR
HU1;NaN;Békéscsaba 1912 Előre SE;Újpest FC;0;5;A;NoR;NoR;NoR
HU1;NaN;Kaposvári RFC;Pécsi MFC;2;1;H;NoR;NoR;NoR
