Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
B1,28/07/06,Club Brugge,Gent,5,0,H,2,0,H
B1,29/07/06,Charleroi,Lierse,0,0,D,0,0,D
B1,29/07/06,FC Brussels,Bergen,1,0,H,0,0,D
B1,29/07/06,Genk,Waregem,3,1,H,2,0,H
B1,29/07/06,Germinal,Beveren,1,0,H,1,0,H
B1,29/07/06,Mouscron,Cercle Brugge,2,1,H,2,0,H
B1,30/07/06,Lokeren,Standard,2,1,H,2,1,H
B1,30/07/06,St Truiden,Anderlecht,2,4,A,0,0,D
B1,30/07/06,Westerlo,Roeselare,2,1,H,0,0,D
B1,04/08/06,Standard,Charleroi,1,2,A,1,1,D
B1,05/08/06,Anderlecht,Germinal,1,0,H,0,0,D
B1,05/08/06,Bergen,St Truiden,2,0,H,0,0,D
B1,05/08/06,Beveren,Westerlo,0,3,A,0,2,A
B1,05/08/06,Cercle Brugge,Lokeren,0,0,D,0,0,D
B1,05/08/06,Gent,Mouscron,1,3,A,1,1,D
B1,05/08/06,Lierse,Genk,0,3,A,0,2,A
B1,05/08/06,Waregem,FC Brussels,0,1,A,0,0,D
B1,06/08/06,Roeselare,Club Brugge,3,2,H,2,0,H
B1,19/08/06,Charleroi,Cercle Brugge,2,1,H,2,0,H
B1,19/08/06,Club Brugge,Beveren,2,0,H,1,0,H
B1,19/08/06,FC Brussels,St Truiden,2,2,D,1,1,D
B1,19/08/06,Genk,Standard,1,1,D,1,1,D
B1,19/08/06,Germinal,Bergen,2,1,H,0,0,D
B1,19/08/06,Mouscron,Roeselare,2,2,D,2,0,H
B1,19/08/06,Waregem,Lierse,2,1,H,1,1,D
B1,20/08/06,Lokeren,Gent,1,1,D,1,1,D
B1,20/08/06,Westerlo,Anderlecht,3,4,A,1,2,A
B1,26/08/06,Bergen,Westerlo,1,1,D,0,0,D
B1,26/08/06,Beveren,Mouscron,3,1,H,1,0,H
B1,26/08/06,Cercle Brugge,Genk,0,1,A,0,0,D
B1,26/08/06,Lierse,FC Brussels,0,1,A,0,0,D
B1,26/08/06,St Truiden,Germinal,2,0,H,0,0,D
B1,26/08/06,Standard,Waregem,1,1,D,0,0,D
B1,27/08/06,Anderlecht,Club Brugge,1,0,H,0,0,D
B1,27/08/06,Gent,Charleroi,2,1,H,0,1,A
B1,27/08/06,Roeselare,Lokeren,2,2,D,1,1,D
B1,09/09/06,Charleroi,Roeselare,2,1,H,1,0,H
B1,09/09/06,Club Brugge,Bergen,0,0,D,0,0,D
B1,09/09/06,FC Brussels,Germinal,1,2,A,0,0,D
B1,09/09/06,Lierse,Standard,1,3,A,0,2,A
B1,09/09/06,Mouscron,Anderlecht,1,1,D,0,0,D
B1,09/09/06,Waregem,Cercle Brugge,1,2,A,0,1,A
B1,09/09/06,Westerlo,St Truiden,1,0,H,0,0,D
B1,10/09/06,Genk,Gent,3,1,H,1,1,D
B1,10/09/06,Lokeren,Beveren,2,0,H,2,0,H
B1,16/09/06,Anderlecht,Lokeren,2,0,H,1,0,H
B1,16/09/06,Bergen,Mouscron,1,0,H,1,0,H
B1,16/09/06,Beveren,Charleroi,2,2,D,0,1,A
B1,16/09/06,Cercle Brugge,Lierse,2,1,H,1,1,D
B1,16/09/06,Germinal,Westerlo,0,0,D,0,0,D
B1,17/09/06,Gent,Waregem,1,1,D,0,1,A
B1,17/09/06,Roeselare,Genk,3,3,D,0,1,A
B1,17/09/06,St Truiden,Club Brugge,2,3,A,1,1,D
B1,17/09/06,Standard,FC Brussels,2,1,H,1,1,D
B1,22/09/06,Charleroi,Anderlecht,1,1,D,0,0,D
B1,23/09/06,Club Brugge,Germinal,1,0,H,0,0,D
B1,23/09/06,FC Brussels,Westerlo,0,1,A,0,0,D
B1,23/09/06,Genk,Beveren,1,0,H,0,0,D
B1,23/09/06,Lierse,Gent,1,4,A,0,1,A
B1,23/09/06,Lokeren,Bergen,0,2,A,0,0,D
B1,23/09/06,Mouscron,St Truiden,1,0,H,0,0,D
B1,23/09/06,Standard,Cercle Brugge,1,0,H,1,0,H
B1,24/09/06,Waregem,Roeselare,4,2,H,1,1,D
B1,30/09/06,Anderlecht,Genk,1,4,A,0,2,A
B1,30/09/06,Bergen,Charleroi,1,2,A,1,0,H
B1,30/09/06,Cercle Brugge,FC Brussels,1,0,H,1,0,H
B1,30/09/06,Germinal,Mouscron,6,2,H,2,1,H
B1,30/09/06,Roeselare,Lierse,2,0,H,1,0,H
B1,30/09/06,St Truiden,Lokeren,1,0,H,1,0,H
B1,01/10/06,Beveren,Waregem,1,0,H,1,0,H
B1,01/10/06,Gent,Standard,2,1,H,1,0,H
B1,01/10/06,Westerlo,Club Brugge,1,2,A,0,1,A
B1,14/10/06,Cercle Brugge,Gent,0,1,A,0,0,D
B1,14/10/06,Charleroi,St Truiden,2,1,H,1,0,H
B1,14/10/06,Lierse,Beveren,0,1,A,0,1,A
B1,14/10/06,Lokeren,Germinal,0,0,D,0,0,D
B1,14/10/06,Mouscron,Westerlo,4,0,H,1,0,H
B1,14/10/06,Standard,Roeselare,2,1,H,0,1,A
B1,14/10/06,Waregem,Anderlecht,0,4,A,0,2,A
B1,15/10/06,FC Brussels,Club Brugge,1,1,D,1,0,H
B1,15/10/06,Genk,Bergen,5,1,H,3,1,H
B1,27/10/06,Club Brugge,Mouscron,5,1,H,2,0,H
B1,28/10/06,Anderlecht,Lierse,2,0,H,1,0,H
B1,28/10/06,Bergen,Waregem,0,0,D,0,0,D
B1,28/10/06,Beveren,Standard,0,3,A,0,1,A
B1,28/10/06,Gent,FC Brussels,3,3,D,2,1,H
B1,28/10/06,Germinal,Charleroi,1,1,D,0,0,D
B1,28/10/06,Roeselare,Cercle Brugge,1,0,H,0,0,D
B1,28/10/06,Westerlo,Lokeren,4,1,H,2,1,H
B1,29/10/06,St Truiden,Genk,1,2,A,1,2,A
B1,03/11/06,Genk,Germinal,4,0,H,4,0,H
B1,04/11/06,Cercle Brugge,Beveren,2,2,D,0,1,A
B1,04/11/06,FC Brussels,Mouscron,1,1,D,1,1,D
B1,04/11/06,Gent,Roeselare,2,0,H,1,0,H
B1,04/11/06,Lierse,Bergen,0,0,D,0,0,D
B1,05/11/06,Charleroi,Westerlo,1,2,A,0,1,A
B1,05/11/06,Lokeren,Club Brugge,3,2,H,1,1,D
B1,05/11/06,Standard,Anderlecht,0,0,D,0,0,D
B1,05/11/06,Waregem,St Truiden,3,0,H,1,0,H
B1,10/11/06,Westerlo,Genk,0,1,A,0,1,A
B1,11/11/06,Anderlecht,Cercle Brugge,2,0,H,1,0,H
B1,11/11/06,Beveren,Gent,1,0,H,0,0,D
B1,11/11/06,Club Brugge,Charleroi,2,0,H,1,0,H
B1,11/11/06,Germinal,Waregem,1,1,D,1,0,H
B1,11/11/06,Mouscron,Lokeren,1,1,D,0,1,A
B1,11/11/06,Roeselare,FC Brussels,1,1,D,0,0,D
B1,11/11/06,St Truiden,Lierse,4,0,H,2,0,H
B1,12/11/06,Bergen,Standard,2,3,A,0,2,A
B1,18/11/06,Cercle Brugge,Bergen,3,0,H,2,0,H
B1,18/11/06,FC Brussels,Lokeren,0,0,D,0,0,D
B1,18/11/06,Gent,Anderlecht,2,1,H,1,1,D
B1,18/11/06,Lierse,Germinal,2,3,A,1,0,H
B1,18/11/06,Roeselare,Beveren,2,1,H,1,0,H
B1,18/11/06,Standard,St Truiden,1,2,A,0,0,D
B1,18/11/06,Waregem,Westerlo,2,2,D,2,1,H
B1,19/11/06,Charleroi,Mouscron,1,0,H,0,0,D
B1,19/11/06,Genk,Club Brugge,0,0,D,0,0,D
B1,24/11/06,Germinal,Standard,1,3,A,0,1,A
B1,25/11/06,Bergen,Gent,0,1,A,0,1,A
B1,25/11/06,Beveren,FC Brussels,2,2,D,1,1,D
B1,25/11/06,Lokeren,Charleroi,0,0,D,0,0,D
B1,25/11/06,Mouscron,Genk,2,2,D,1,2,A
B1,25/11/06,St Truiden,Cercle Brugge,2,0,H,1,0,H
B1,25/11/06,Westerlo,Lierse,2,0,H,0,0,D
B1,26/11/06,Anderlecht,Roeselare,3,2,H,2,1,H
B1,26/11/06,Club Brugge,Waregem,4,1,H,2,1,H
B1,01/12/06,Beveren,Anderlecht,1,1,D,0,1,A
B1,02/12/06,Cercle Brugge,Germinal,1,2,A,1,0,H
B1,02/12/06,FC Brussels,Charleroi,0,2,A,0,1,A
B1,02/12/06,Genk,Lokeren,1,0,H,0,0,D
B1,02/12/06,Gent,St Truiden,3,1,H,3,0,H
B1,02/12/06,Roeselare,Bergen,2,1,H,1,1,D
B1,02/12/06,Standard,Westerlo,3,0,H,2,0,H
B1,02/12/06,Waregem,Mouscron,0,0,D,0,0,D
B1,03/12/06,Lierse,Club Brugge,1,2,A,1,2,A
B1,08/12/06,Charleroi,Genk,4,1,H,2,0,H
B1,09/12/06,Bergen,Beveren,1,0,H,1,0,H
B1,09/12/06,Germinal,Gent,0,3,A,0,1,A
B1,09/12/06,Lokeren,Waregem,0,2,A,0,1,A
B1,09/12/06,Mouscron,Lierse,2,2,D,0,0,D
B1,09/12/06,St Truiden,Roeselare,1,1,D,0,0,D
B1,09/12/06,Westerlo,Cercle Brugge,0,0,D,0,0,D
B1,10/12/06,Club Brugge,Standard,4,4,D,2,0,H
B1,10/12/06,FC Brussels,Anderlecht,0,1,A,0,0,D
B1,15/12/06,Standard,Mouscron,2,0,H,0,0,D
B1,16/12/06,Anderlecht,Bergen,4,1,H,1,1,D
B1,16/12/06,Beveren,St Truiden,1,2,A,0,2,A
B1,16/12/06,Genk,FC Brussels,3,1,H,1,0,H
B1,16/12/06,Gent,Westerlo,2,0,H,0,0,D
B1,16/12/06,Lierse,Lokeren,1,0,H,0,0,D
B1,16/12/06,Roeselare,Germinal,1,1,D,0,0,D
B1,17/12/06,Cercle Brugge,Club Brugge,1,0,H,0,0,D
B1,17/12/06,Waregem,Charleroi,1,0,H,1,0,H
B1,19/01/07,Waregem,Genk,2,2,D,1,0,H
B1,20/01/07,Anderlecht,St Truiden,2,0,H,1,0,H
B1,20/01/07,Bergen,FC Brussels,1,1,D,0,0,D
B1,20/01/07,Beveren,Germinal,1,1,D,0,0,D
B1,20/01/07,Cercle Brugge,Mouscron,2,1,H,0,1,A
B1,20/01/07,Lierse,Charleroi,2,1,H,1,0,H
B1,20/01/07,Roeselare,Westerlo,2,0,H,1,0,H
B1,21/01/07,Gent,Club Brugge,0,0,D,0,0,D
B1,21/01/07,Standard,Lokeren,3,1,H,1,1,D
B1,26/01/07,Charleroi,Standard,2,5,A,2,2,D
B1,27/01/07,Club Brugge,Roeselare,0,1,A,0,0,D
B1,27/01/07,FC Brussels,Waregem,2,0,H,0,0,D
B1,27/01/07,Genk,Lierse,3,0,H,2,0,H
B1,27/01/07,Lokeren,Cercle Brugge,2,0,H,0,0,D
B1,27/01/07,Mouscron,Gent,0,3,A,0,1,A
B1,27/01/07,St Truiden,Bergen,1,0,H,0,0,D
B1,27/01/07,Westerlo,Beveren,2,0,H,1,0,H
B1,28/01/07,Germinal,Anderlecht,1,3,A,0,1,A
B1,02/02/07,Beveren,Club Brugge,0,2,A,0,0,D
B1,03/02/07,Anderlecht,Westerlo,1,0,H,1,0,H
B1,03/02/07,Bergen,Germinal,2,1,H,1,0,H
B1,03/02/07,Cercle Brugge,Charleroi,0,0,D,0,0,D
B1,03/02/07,Gent,Lokeren,3,1,H,0,1,A
B1,03/02/07,Lierse,Waregem,1,0,H,0,0,D
B1,03/02/07,Roeselare,Mouscron,2,1,H,1,0,H
B1,03/02/07,St Truiden,FC Brussels,2,2,D,1,0,H
B1,04/02/07,Standard,Genk,2,1,H,1,0,H
B1,10/02/07,FC Brussels,Lierse,2,1,H,1,1,D
B1,10/02/07,Genk,Cercle Brugge,3,0,H,3,0,H
B1,10/02/07,Germinal,St Truiden,3,2,H,1,1,D
B1,10/02/07,Lokeren,Roeselare,1,1,D,0,0,D
B1,10/02/07,Mouscron,Beveren,4,2,H,0,2,A
B1,10/02/07,Waregem,Standard,3,1,H,0,0,D
B1,10/02/07,Westerlo,Bergen,2,1,H,2,1,H
B1,11/02/07,Charleroi,Gent,1,0,H,0,0,D
B1,11/02/07,Club Brugge,Anderlecht,2,2,D,1,0,H
B1,16/02/07,Bergen,Club Brugge,1,0,H,0,0,D
B1,17/02/07,Anderlecht,Mouscron,2,1,H,2,1,H
B1,17/02/07,Beveren,Lokeren,3,2,H,1,1,D
B1,17/02/07,Germinal,FC Brussels,3,0,H,1,0,H
B1,17/02/07,Roeselare,Charleroi,1,2,A,0,0,D
B1,17/02/07,St Truiden,Westerlo,0,2,A,0,0,D
B1,17/02/07,Standard,Lierse,3,2,H,1,0,H
B1,18/02/07,Cercle Brugge,Waregem,2,0,H,0,0,D
B1,18/02/07,Gent,Genk,1,3,A,1,1,D
B1,23/02/07,Club Brugge,St Truiden,1,0,H,0,0,D
B1,24/02/07,Charleroi,Beveren,2,1,H,0,1,A
B1,24/02/07,FC Brussels,Standard,0,3,A,0,2,A
B1,24/02/07,Genk,Roeselare,3,0,H,1,0,H
B1,24/02/07,Lierse,Cercle Brugge,0,2,A,0,0,D
B1,24/02/07,Mouscron,Bergen,2,2,D,2,1,H
B1,24/02/07,Westerlo,Germinal,1,1,D,0,0,D
B1,25/02/07,Lokeren,Anderlecht,1,1,D,1,0,H
B1,25/02/07,Waregem,Gent,3,2,H,2,0,H
B1,02/03/07,Roeselare,Waregem,3,1,H,0,0,D
B1,03/03/07,Anderlecht,Charleroi,3,2,H,1,0,H
B1,03/03/07,Bergen,Lokeren,1,0,H,1,0,H
B1,03/03/07,Beveren,Genk,0,5,A,0,3,A
B1,03/03/07,Cercle Brugge,Standard,0,2,A,0,0,D
B1,03/03/07,Gent,Lierse,4,0,H,2,0,H
B1,03/03/07,St Truiden,Mouscron,1,1,D,1,1,D
B1,03/03/07,Westerlo,FC Brussels,1,1,D,1,0,H
B1,04/03/07,Germinal,Club Brugge,4,0,H,1,0,H
B1,09/03/07,Charleroi,Bergen,1,0,H,0,0,D
B1,10/03/07,Club Brugge,Westerlo,2,0,H,1,0,H
B1,10/03/07,FC Brussels,Cercle Brugge,0,0,D,0,0,D
B1,10/03/07,Lierse,Roeselare,3,1,H,1,0,H
B1,10/03/07,Lokeren,St Truiden,1,1,D,1,1,D
B1,10/03/07,Mouscron,Germinal,1,0,H,1,0,H
B1,10/03/07,Standard,Gent,0,1,A,0,0,D
B1,10/03/07,Waregem,Beveren,2,1,H,1,0,H
B1,11/03/07,Genk,Anderlecht,1,1,D,0,1,A
B1,16/03/07,Germinal,Lokeren,1,2,A,0,0,D
B1,17/03/07,Anderlecht,Waregem,0,0,D,0,0,D
B1,17/03/07,Bergen,Genk,5,0,H,2,0,H
B1,17/03/07,Beveren,Lierse,1,1,D,0,0,D
B1,17/03/07,Club Brugge,FC Brussels,4,1,H,1,0,H
B1,17/03/07,St Truiden,Charleroi,1,1,D,0,0,D
B1,17/03/07,Westerlo,Mouscron,1,0,H,1,0,H
B1,18/03/07,Gent,Cercle Brugge,0,2,A,0,1,A
B1,18/03/07,Roeselare,Standard,2,3,A,0,1,A
B1,30/03/07,FC Brussels,Gent,1,1,D,1,0,H
B1,31/03/07,Cercle Brugge,Roeselare,1,1,D,0,0,D
B1,31/03/07,Charleroi,Germinal,3,3,D,3,2,H
B1,31/03/07,Lierse,Anderlecht,1,4,A,0,2,A
B1,31/03/07,Lokeren,Westerlo,1,1,D,1,0,H
B1,31/03/07,Standard,Beveren,0,0,D,0,0,D
B1,31/03/07,Waregem,Bergen,1,2,A,0,2,A
B1,01/04/07,Genk,St Truiden,2,0,H,2,0,H
B1,01/04/07,Mouscron,Club Brugge,2,1,H,1,0,H
B1,06/04/07,Anderlecht,Standard,1,0,H,1,0,H
B1,07/04/07,Bergen,Lierse,1,1,D,1,1,D
B1,07/04/07,Beveren,Cercle Brugge,1,1,D,1,0,H
