Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR
D1;NaN;FC Nordsjælland;Randers FC;5;0;H;4;0;H
D1;NaN;AC Horsens;FC København;0;1;A;0;1;A
D1;NaN;Aalborg BK;Viborg FF;3;1;H;1;1;D
D1;NaN;Esbjerg fB;Silkeborg IF;2;1;H;0;1;A
D1;NaN;Odense BK;FC Midtjylland;1;1;D;0;0;D
D1;NaN;Brøndby IF;Vejle BK;2;1;H;0;1;A
D1;NaN;Silkeborg IF;FC København;1;4;A;0;2;A
D1;NaN;Randers FC;AC Horsens;1;0;H;0;0;D
D1;NaN;Viborg FF;FC Midtjylland;0;1;A;0;0;D
D1;NaN;Esbjerg fB;Aalborg BK;1;2;A;0;0;D
D1;NaN;Brøndby IF;FC Nordsjælland;2;1;H;0;1;A
D1;NaN;Vejle BK;Odense BK;1;3;A;0;2;A
D1;NaN;Odense BK;Esbjerg fB;0;2;A;0;2;A
D1;NaN;FC Nordsjælland;Silkeborg IF;1;0;H;0;0;D
D1;NaN;AC Horsens;Viborg FF;2;2;D;1;0;H
D1;NaN;Aalborg BK;Vejle BK;4;0;H;2;0;H
D1;NaN;FC Midtjylland;Brøndby IF;1;1;D;1;1;D
D1;NaN;FC København;Randers FC;2;1;H;2;0;H
D1;NaN;Viborg FF;FC København;1;3;A;0;2;A
D1;NaN;Brøndby IF;AC Horsens;3;0;H;2;0;H
D1;NaN;Vejle BK;FC Midtjylland;2;5;A;1;2;A
D1;NaN;Silkeborg IF;Aalborg BK;0;2;A;0;1;A
D1;NaN;Esbjerg fB;FC Nordsjælland;3;5;A;3;3;D
D1;NaN;Odense BK;Randers FC;1;1;D;1;1;D
D1;NaN;FC Midtjylland;Aalborg BK;1;0;H;0;0;D
D1;NaN;FC Nordsjælland;Vejle BK;1;0;H;1;0;H
D1;NaN;AC Horsens;Esbjerg fB;1;1;D;0;0;D
D1;NaN;Randers FC;Brøndby IF;1;1;D;0;1;A
D1;NaN;Viborg FF;Silkeborg IF;2;3;A;1;0;H
D1;NaN;FC København;Odense BK;1;1;D;0;1;A
D1;NaN;Vejle BK;FC København;0;4;A;0;1;A
D1;NaN;Silkeborg IF;AC Horsens;0;2;A;0;1;A
D1;NaN;Aalborg BK;Randers FC;2;1;H;1;0;H
D1;NaN;Esbjerg fB;FC Midtjylland;4;2;H;0;1;A
D1;NaN;Odense BK;FC Nordsjælland;2;1;H;1;0;H
D1;NaN;Brøndby IF;Viborg FF;3;0;H;1;0;H
D1;NaN;AC Horsens;Odense BK;0;2;A;0;0;D
D1;NaN;Randers FC;Esbjerg fB;3;1;H;3;1;H
D1;NaN;Viborg FF;Vejle BK;1;0;H;0;0;D
D1;NaN;FC København;Aalborg BK;0;2;A;0;2;A
D1;NaN;FC Midtjylland;FC Nordsjælland;2;2;D;2;1;H
D1;NaN;Brøndby IF;Silkeborg IF;1;1;D;1;1;D
D1;NaN;Esbjerg fB;FC København;2;2;D;2;2;D
D1;NaN;Aalborg BK;Brøndby IF;1;1;D;0;0;D
D1;NaN;FC Nordsjælland;AC Horsens;0;0;D;0;0;D
D1;NaN;Randers FC;Vejle BK;2;1;H;1;0;H
D1;NaN;Silkeborg IF;FC Midtjylland;0;2;A;0;1;A
D1;NaN;Odense BK;Viborg FF;2;0;H;1;0;H
D1;NaN;Vejle BK;Silkeborg IF;2;4;A;0;1;A
D1;NaN;FC København;FC Nordsjælland;1;0;H;0;0;D
D1;NaN;FC Midtjylland;AC Horsens;1;2;A;0;2;A
D1;NaN;Viborg FF;Randers FC;3;2;H;1;0;H
D1;NaN;Aalborg BK;Odense BK;0;1;A;0;1;A
D1;NaN;Brøndby IF;Esbjerg fB;2;0;H;2;0;H
D1;NaN;AC Horsens;Aalborg BK;0;0;D;0;0;D
D1;NaN;FC København;FC Midtjylland;2;1;H;2;1;H
D1;NaN;FC Nordsjælland;Viborg FF;2;0;H;1;0;H
D1;NaN;Randers FC;Silkeborg IF;0;0;D;0;0;D
D1;NaN;Esbjerg fB;Vejle BK;3;3;D;1;1;D
D1;NaN;Odense BK;Brøndby IF;2;2;D;2;2;D
D1;NaN;Aalborg BK;FC Nordsjælland;0;3;A;0;1;A
D1;NaN;Vejle BK;AC Horsens;2;2;D;1;1;D
D1;NaN;FC Midtjylland;Randers FC;2;1;H;0;0;D
D1;NaN;Silkeborg IF;Odense BK;0;1;A;0;0;D
D1;NaN;Viborg FF;Esbjerg fB;0;4;A;0;2;A
D1;NaN;FC København;Brøndby IF;1;0;H;0;0;D
D1;NaN;Randers FC;FC København;0;2;A;0;2;A
D1;NaN;FC Nordsjælland;Silkeborg IF;5;1;H;1;0;H
D1;NaN;Viborg FF;Vejle BK;2;1;H;2;1;H
D1;NaN;Esbjerg fB;Aalborg BK;0;2;A;0;1;A
D1;NaN;Odense BK;AC Horsens;2;0;H;1;0;H
D1;NaN;Brøndby IF;FC Midtjylland;1;3;A;0;2;A
D1;NaN;AC Horsens;Brøndby IF;0;0;D;0;0;D
D1;NaN;Vejle BK;FC Nordsjælland;3;2;H;2;1;H
D1;NaN;FC Midtjylland;Odense BK;3;0;H;3;0;H
D1;NaN;Silkeborg IF;Esbjerg fB;1;2;A;0;1;A
D1;NaN;Aalborg BK;Randers FC;0;4;A;0;2;A
D1;NaN;FC København;Viborg FF;3;0;H;2;0;H
D1;NaN;Brøndby IF;Aalborg BK;1;2;A;1;1;D
D1;NaN;FC Nordsjælland;FC Midtjylland;1;4;A;0;2;A
D1;NaN;AC Horsens;Esbjerg fB;1;1;D;0;0;D
D1;NaN;Randers FC;Vejle BK;0;1;A;0;1;A
D1;NaN;Silkeborg IF;Viborg FF;1;2;A;1;2;A
D1;NaN;Odense BK;FC København;0;0;D;0;0;D
D1;NaN;Esbjerg fB;FC Nordsjælland;1;0;H;1;0;H
D1;NaN;FC Midtjylland;AC Horsens;1;0;H;1;0;H
D1;NaN;Viborg FF;Randers FC;1;1;D;1;0;H
D1;NaN;Aalborg BK;Silkeborg IF;1;0;H;0;0;D
D1;NaN;Odense BK;Brøndby IF;1;0;H;1;0;H
D1;NaN;FC København;Vejle BK;3;0;H;1;0;H
D1;NaN;FC Nordsjælland;Aalborg BK;1;1;D;1;1;D
D1;NaN;Vejle BK;Odense BK;1;2;A;1;1;D
D1;NaN;Randers FC;Esbjerg fB;3;2;H;1;1;D
D1;NaN;Silkeborg IF;FC Midtjylland;0;1;A;0;0;D
D1;NaN;Viborg FF;AC Horsens;1;0;H;0;0;D
D1;NaN;FC København;Brøndby IF;3;1;H;1;0;H
D1;NaN;Brøndby IF;Silkeborg IF;3;1;H;1;1;D
D1;NaN;AC Horsens;Randers FC;2;1;H;2;0;H
D1;NaN;FC Midtjylland;Viborg FF;3;1;H;2;0;H
D1;NaN;Esbjerg fB;Vejle BK;1;0;H;0;0;D
D1;NaN;Odense BK;FC Nordsjælland;0;1;A;0;0;D
D1;NaN;Aalborg BK;FC København;0;1;A;0;1;A
D1;NaN;FC København;FC Midtjylland;2;2;D;1;1;D
D1;NaN;FC Nordsjælland;AC Horsens;4;0;H;2;0;H
D1;NaN;Vejle BK;Aalborg BK;1;1;D;1;0;H
D1;NaN;Silkeborg IF;Odense BK;1;3;A;0;1;A
D1;NaN;Viborg FF;Esbjerg fB;1;1;D;1;0;H
D1;NaN;Randers FC;Brøndby IF;2;0;H;0;0;D
D1;NaN;FC Midtjylland;Vejle BK;2;2;D;0;1;A
D1;NaN;AC Horsens;Silkeborg IF;2;1;H;1;0;H
D1;NaN;Aalborg BK;Viborg FF;0;2;A;0;1;A
D1;NaN;Esbjerg fB;FC København;0;0;D;0;0;D
D1;NaN;Odense BK;Randers FC;1;2;A;1;0;H
D1;NaN;Brøndby IF;FC Nordsjælland;2;0;H;0;0;D
D1;NaN;Vejle BK;Silkeborg IF;0;2;A;0;1;A
D1;NaN;FC København;FC Nordsjælland;1;1;D;1;0;H
D1;NaN;Randers FC;FC Midtjylland;0;0;D;0;0;D
D1;NaN;Aalborg BK;AC Horsens;4;0;H;1;0;H
D1;NaN;Esbjerg fB;Odense BK;1;2;A;1;0;H
D1;NaN;Viborg FF;Brøndby IF;1;1;D;0;1;A
D1;NaN;AC Horsens;FC København;1;3;A;1;1;D
D1;NaN;FC Nordsjælland;Viborg FF;4;1;H;2;1;H
D1;NaN;FC Midtjylland;Esbjerg fB;3;1;H;2;0;H
D1;NaN;Silkeborg IF;Randers FC;0;0;D;0;0;D
D1;NaN;Odense BK;Aalborg BK;1;1;D;1;1;D
D1;NaN;Brøndby IF;Vejle BK;4;0;H;2;0;H
D1;NaN;Vejle BK;AC Horsens;0;0;D;0;0;D
D1;NaN;Randers FC;FC Nordsjælland;1;6;A;0;5;A
D1;NaN;Viborg FF;Odense BK;0;2;A;0;0;D
D1;NaN;Aalborg BK;FC Midtjylland;0;2;A;0;1;A
D1;NaN;FC København;Silkeborg IF;3;1;H;0;1;A
