Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
F2,28/07/06,Ajaccio,Niort,1,1,D,0,1,A
F2,28/07/06,Caen,Libourne,2,1,H,1,0,H
F2,28/07/06,Chateauroux,Tours,3,1,H,1,1,D
F2,28/07/06,Creteil,Guingamp,0,0,D,0,0,D
F2,28/07/06,Grenoble,Montpellier,3,2,H,0,2,A
F2,28/07/06,Istres,Bastia,2,2,D,2,1,H
F2,28/07/06,Le Havre,Amiens,1,3,A,0,1,A
F2,28/07/06,Reims,Brest,2,0,H,1,0,H
F2,28/07/06,Strasbourg,Dijon,0,0,D,0,0,D
F2,29/07/06,Gueugnon,Metz,0,1,A,0,0,D
F2,03/08/06,Guingamp,Ajaccio,1,1,D,0,1,A
F2,04/08/06,Amiens,Strasbourg,1,0,H,1,0,H
F2,04/08/06,Bastia,Reims,1,0,H,1,0,H
F2,04/08/06,Brest,Libourne,2,2,D,0,1,A
F2,04/08/06,Chateauroux,Le Havre,2,2,D,1,0,H
F2,04/08/06,Dijon,Caen,0,2,A,0,2,A
F2,04/08/06,Metz,Istres,3,0,H,1,0,H
F2,04/08/06,Montpellier,Gueugnon,0,3,A,0,2,A
F2,04/08/06,Niort,Grenoble,2,1,H,1,1,D
F2,04/08/06,Tours,Creteil,1,1,D,1,0,H
F2,07/08/06,Libourne,Bastia,2,4,A,1,1,D
F2,08/08/06,Ajaccio,Amiens,3,1,H,1,0,H
F2,08/08/06,Caen,Brest,1,0,H,0,0,D
F2,08/08/06,Creteil,Chateauroux,1,3,A,0,0,D
F2,08/08/06,Grenoble,Guingamp,1,0,H,0,0,D
F2,08/08/06,Gueugnon,Niort,0,1,A,0,0,D
F2,08/08/06,Istres,Dijon,2,2,D,0,1,A
F2,08/08/06,Le Havre,Tours,3,0,H,2,0,H
F2,08/08/06,Reims,Metz,2,0,H,2,0,H
F2,08/08/06,Strasbourg,Montpellier,2,0,H,0,0,D
F2,11/08/06,Bastia,Brest,4,2,H,0,1,A
F2,11/08/06,Chateauroux,Grenoble,2,2,D,0,0,D
F2,11/08/06,Creteil,Gueugnon,0,0,D,0,0,D
F2,11/08/06,Dijon,Reims,1,0,H,0,0,D
F2,11/08/06,Guingamp,Le Havre,1,2,A,0,0,D
F2,11/08/06,Metz,Libourne,1,0,H,0,0,D
F2,11/08/06,Montpellier,Istres,4,0,H,0,0,D
F2,11/08/06,Niort,Strasbourg,2,2,D,2,2,D
F2,11/08/06,Tours,Ajaccio,1,0,H,1,0,H
F2,14/08/06,Amiens,Caen,2,2,D,0,1,A
F2,18/08/06,Ajaccio,Chateauroux,2,3,A,1,3,A
