Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
PO1,NaN,Polonia Bytom,GKS Bełchatów,1,0,H,0,0,D
PO1,NaN,Lechia Gdańsk,Arka Gdynia,2,1,H,2,1,H
PO1,NaN,Wisła Kraków,Ruch Chorzów,2,0,H,2,0,H
PO1,NaN,Jagiellonia Białystok,Odra Wodzisław,2,1,H,0,1,A
PO1,NaN,Śląsk Wrocław,Cracovia Kraków,2,0,H,1,0,H
PO1,NaN,Piast Gliwice,Lech Poznań,1,3,A,0,0,D
PO1,NaN,Korona Kielce,Polonia Warszawa,4,0,H,2,0,H
PO1,NaN,Legia Warszawa,Zagłębie Lubin,4,0,H,1,0,H
PO1,NaN,Cracovia Kraków,Lechia Gdańsk,2,6,A,1,3,A
PO1,NaN,Zagłębie Lubin,Wisła Kraków,1,4,A,0,2,A
PO1,NaN,Odra Wodzisław,Polonia Bytom,0,1,A,0,1,A
PO1,NaN,GKS Bełchatów,Jagiellonia Białystok,1,1,D,0,1,A
PO1,NaN,Ruch Chorzów,Piast Gliwice,2,0,H,1,0,H
PO1,NaN,Polonia Warszawa,Śląsk Wrocław,3,2,H,0,1,A
PO1,NaN,Korona Kielce,Lech Poznań,0,5,A,0,2,A
PO1,NaN,Arka Gdynia,Legia Warszawa,0,1,A,0,0,D
PO1,NaN,Ruch Chorzów,Arka Gdynia,1,0,H,1,0,H
PO1,NaN,Śląsk Wrocław,Polonia Bytom,2,1,H,1,1,D
PO1,NaN,Piast Gliwice,Zagłębie Lubin,4,1,H,2,1,H
PO1,NaN,Jagiellonia Białystok,Korona Kielce,2,0,H,1,0,H
PO1,NaN,Legia Warszawa,Cracovia Kraków,0,0,D,0,0,D
PO1,NaN,Wisła Kraków,GKS Bełchatów,3,0,H,2,0,H
PO1,NaN,Lechia Gdańsk,Odra Wodzisław,0,2,A,0,0,D
PO1,NaN,Lech Poznań,Polonia Warszawa,2,4,A,1,1,D
PO1,NaN,Zagłębie Lubin,Ruch Chorzów,0,1,A,0,1,A
PO1,NaN,Arka Gdynia,Wisła Kraków,0,1,A,0,1,A
PO1,NaN,GKS Bełchatów,Piast Gliwice,0,1,A,0,1,A
PO1,NaN,Polonia Bytom,Korona Kielce,1,0,H,1,0,H
PO1,NaN,Jagiellonia Białystok,Śląsk Wrocław,2,0,H,1,0,H
PO1,NaN,Polonia Warszawa,Lechia Gdańsk,0,1,A,0,1,A
PO1,NaN,Cracovia Kraków,Lech Poznań,1,0,H,0,0,D
PO1,NaN,Odra Wodzisław,Legia Warszawa,1,0,H,0,0,D
PO1,NaN,Piast Gliwice,Odra Wodzisław,2,1,H,1,0,H
PO1,NaN,Legia Warszawa,Polonia Bytom,1,0,H,1,0,H
PO1,NaN,Ruch Chorzów,Polonia Warszawa,2,0,H,1,0,H
PO1,NaN,Wisła Kraków,Jagiellonia Białystok,2,1,H,2,0,H
PO1,NaN,Lechia Gdańsk,Śląsk Wrocław,1,1,D,0,1,A
PO1,NaN,Korona Kielce,Cracovia Kraków,1,1,D,0,1,A
PO1,NaN,Zagłębie Lubin,Arka Gdynia,0,2,A,0,1,A
PO1,NaN,Lech Poznań,GKS Bełchatów,2,2,D,0,1,A
PO1,NaN,Odra Wodzisław,Korona Kielce,0,2,A,0,1,A
PO1,NaN,Polonia Bytom,Piast Gliwice,4,0,H,2,0,H
PO1,NaN,GKS Bełchatów,Ruch Chorzów,2,1,H,0,0,D
PO1,NaN,Cracovia Kraków,Arka Gdynia,1,1,D,1,0,H
PO1,NaN,Śląsk Wrocław,Legia Warszawa,0,0,D,0,0,D
PO1,NaN,Jagiellonia Białystok,Lech Poznań,2,3,A,2,2,D
PO1,NaN,Polonia Warszawa,Zagłębie Lubin,0,1,A,0,0,D
PO1,NaN,Lechia Gdańsk,Wisła Kraków,0,1,A,0,0,D
PO1,NaN,Zagłębie Lubin,GKS Bełchatów,1,1,D,0,0,D
PO1,NaN,Legia Warszawa,Lechia Gdańsk,2,0,H,1,0,H
PO1,NaN,Arka Gdynia,Polonia Warszawa,0,0,D,0,0,D
PO1,NaN,Korona Kielce,Śląsk Wrocław,1,1,D,0,0,D
PO1,NaN,Lech Poznań,Odra Wodzisław,1,0,H,1,0,H
PO1,NaN,Ruch Chorzów,Cracovia Kraków,2,0,H,1,0,H
PO1,NaN,Piast Gliwice,Jagiellonia Białystok,0,0,D,0,0,D
PO1,NaN,Wisła Kraków,Polonia Bytom,1,1,D,0,1,A
PO1,NaN,Lechia Gdańsk,Zagłębie Lubin,1,0,H,0,0,D
PO1,NaN,Legia Warszawa,Lech Poznań,2,0,H,0,0,D
PO1,NaN,Odra Wodzisław,GKS Bełchatów,0,1,A,0,1,A
PO1,NaN,Korona Kielce,Piast Gliwice,3,2,H,0,1,A
PO1,NaN,Wisła Kraków,Polonia Warszawa,2,1,H,2,1,H
PO1,NaN,Jagiellonia Białystok,Cracovia Kraków,0,0,D,0,0,D
PO1,NaN,Śląsk Wrocław,Ruch Chorzów,0,0,D,0,0,D
PO1,NaN,Polonia Bytom,Arka Gdynia,3,1,H,2,0,H
PO1,NaN,Cracovia Kraków,Zagłębie Lubin,1,1,D,1,0,H
PO1,NaN,Śląsk Wrocław,Wisła Kraków,1,3,A,0,1,A
PO1,NaN,Odra Wodzisław,Ruch Chorzów,1,3,A,0,2,A
PO1,NaN,Jagiellonia Białystok,Legia Warszawa,2,0,H,1,0,H
PO1,NaN,GKS Bełchatów,Korona Kielce,1,0,H,1,0,H
PO1,NaN,Polonia Bytom,Lechia Gdańsk,1,1,D,1,0,H
PO1,NaN,Polonia Warszawa,Piast Gliwice,0,2,A,0,0,D
PO1,NaN,Arka Gdynia,Lech Poznań,1,1,D,1,0,H
PO1,NaN,GKS Bełchatów,Śląsk Wrocław,2,0,H,1,0,H
PO1,NaN,Ruch Chorzów,Lechia Gdańsk,1,0,H,1,0,H
PO1,NaN,Cracovia Kraków,Polonia Bytom,1,2,A,1,1,D
PO1,NaN,Piast Gliwice,Legia Warszawa,1,1,D,0,0,D
PO1,NaN,Polonia Warszawa,Odra Wodzisław,2,1,H,1,0,H
PO1,NaN,Korona Kielce,Arka Gdynia,1,2,A,1,1,D
PO1,NaN,Zagłębie Lubin,Jagiellonia Białystok,0,0,D,0,0,D
PO1,NaN,Lech Poznań,Wisła Kraków,1,0,H,0,0,D
PO1,NaN,Arka Gdynia,Jagiellonia Białystok,0,0,D,0,0,D
PO1,NaN,Polonia Bytom,Ruch Chorzów,0,1,A,0,0,D
PO1,NaN,GKS Bełchatów,Polonia Warszawa,3,0,H,2,0,H
PO1,NaN,Legia Warszawa,Korona Kielce,5,2,H,1,1,D
PO1,NaN,Wisła Kraków,Piast Gliwice,2,1,H,1,0,H
PO1,NaN,Śląsk Wrocław,Zagłębie Lubin,2,0,H,0,0,D
PO1,NaN,Odra Wodzisław,Cracovia Kraków,1,0,H,0,0,D
PO1,NaN,Lechia Gdańsk,Lech Poznań,0,0,D,0,0,D
PO1,NaN,Zagłębie Lubin,Polonia Bytom,2,0,H,0,0,D
PO1,NaN,Cracovia Kraków,GKS Bełchatów,0,1,A,0,0,D
PO1,NaN,Korona Kielce,Wisła Kraków,2,3,A,0,2,A
PO1,NaN,Piast Gliwice,Lechia Gdańsk,0,2,A,0,1,A
PO1,NaN,Arka Gdynia,Odra Wodzisław,2,0,H,2,0,H
PO1,NaN,Lech Poznań,Śląsk Wrocław,1,0,H,1,0,H
PO1,NaN,Legia Warszawa,Ruch Chorzów,2,0,H,2,0,H
PO1,NaN,Jagiellonia Białystok,Polonia Warszawa,1,0,H,0,0,D
PO1,NaN,Odra Wodzisław,Zagłębie Lubin,1,2,A,1,1,D
PO1,NaN,Lechia Gdańsk,Korona Kielce,1,1,D,1,0,H
PO1,NaN,Wisła Kraków,Legia Warszawa,0,1,A,0,1,A
PO1,NaN,Śląsk Wrocław,Piast Gliwice,2,1,H,2,0,H
PO1,NaN,GKS Bełchatów,Arka Gdynia,1,0,H,0,0,D
PO1,NaN,Polonia Bytom,Lech Poznań,1,1,D,0,0,D
PO1,NaN,Polonia Warszawa,Cracovia Kraków,0,1,A,0,1,A
PO1,NaN,Ruch Chorzów,Jagiellonia Białystok,5,2,H,3,1,H
PO1,NaN,Korona Kielce,Zagłębie Lubin,3,3,D,2,1,H
PO1,NaN,Polonia Bytom,Jagiellonia Białystok,1,1,D,1,1,D
PO1,NaN,Legia Warszawa,Polonia Warszawa,1,1,D,0,0,D
PO1,NaN,Piast Gliwice,Arka Gdynia,2,2,D,1,1,D
PO1,NaN,Lech Poznań,Ruch Chorzów,3,1,H,2,0,H
PO1,NaN,Lechia Gdańsk,GKS Bełchatów,0,2,A,0,1,A
PO1,NaN,Śląsk Wrocław,Odra Wodzisław,4,0,H,4,0,H
PO1,NaN,Wisła Kraków,Cracovia Kraków,0,1,A,0,0,D
PO1,NaN,Polonia Warszawa,Polonia Bytom,1,0,H,0,0,D
PO1,NaN,Zagłębie Lubin,Lech Poznań,0,1,A,0,1,A
PO1,NaN,Cracovia Kraków,Piast Gliwice,3,2,H,2,1,H
PO1,NaN,GKS Bełchatów,Legia Warszawa,0,1,A,0,0,D
PO1,NaN,Jagiellonia Białystok,Lechia Gdańsk,0,0,D,0,0,D
PO1,NaN,Ruch Chorzów,Korona Kielce,0,0,D,0,0,D
PO1,NaN,Odra Wodzisław,Wisła Kraków,1,3,A,0,3,A
PO1,NaN,Arka Gdynia,Śląsk Wrocław,1,1,D,1,1,D
PO1,NaN,Arka Gdynia,Lechia Gdańsk,1,2,A,0,1,A
PO1,NaN,Zagłębie Lubin,Legia Warszawa,0,0,D,0,0,D
PO1,NaN,Cracovia Kraków,Śląsk Wrocław,1,0,H,1,0,H
PO1,NaN,GKS Bełchatów,Polonia Bytom,2,2,D,1,1,D
PO1,NaN,Odra Wodzisław,Jagiellonia Białystok,2,2,D,1,0,H
PO1,NaN,Lech Poznań,Piast Gliwice,1,1,D,1,1,D
PO1,NaN,Ruch Chorzów,Wisła Kraków,1,3,A,0,0,D
PO1,NaN,Polonia Warszawa,Korona Kielce,1,1,D,1,0,H
PO1,NaN,Piast Gliwice,Ruch Chorzów,1,2,A,1,2,A
PO1,NaN,Wisła Kraków,Zagłębie Lubin,1,0,H,1,0,H
PO1,NaN,Lechia Gdańsk,Cracovia Kraków,1,0,H,0,0,D
PO1,NaN,Lech Poznań,Korona Kielce,2,0,H,0,0,D
PO1,NaN,Polonia Bytom,Odra Wodzisław,1,1,D,0,1,A
PO1,NaN,Śląsk Wrocław,Polonia Warszawa,1,0,H,0,0,D
PO1,NaN,Legia Warszawa,Arka Gdynia,1,0,H,0,0,D
PO1,NaN,Jagiellonia Białystok,GKS Bełchatów,2,1,H,1,0,H
PO1,NaN,Odra Wodzisław,Lechia Gdańsk,0,0,D,0,0,D
PO1,NaN,Cracovia Kraków,Legia Warszawa,1,2,A,1,0,H
PO1,NaN,Korona Kielce,Jagiellonia Białystok,1,0,H,1,0,H
PO1,NaN,GKS Bełchatów,Wisła Kraków,1,0,H,1,0,H
PO1,NaN,Polonia Bytom,Śląsk Wrocław,0,0,D,0,0,D
PO1,NaN,Arka Gdynia,Ruch Chorzów,0,3,A,0,1,A
