Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR
CZ1;NaN;FK Dukla Praha;Sigma Olomouc;0;0;D;0;0;D
CZ1;NaN;Bohemians Praha;Slavia Praha;2;0;H;2;0;H
CZ1;NaN;Baník Ostrava;FK Teplice;3;4;A;3;3;D
CZ1;NaN;Viktoria Plzeň;Slovan Liberec;2;2;D;2;1;H
CZ1;NaN;1. FC Slovácko;1. FK Příbram;2;3;A;0;0;D
CZ1;NaN;České Budějovice;Sparta Praha;2;4;A;0;1;A
CZ1;NaN;FC Hradec Králové;Viktoria Žižkov;1;0;H;1;0;H
CZ1;NaN;FK Jablonec;FK Mladá Boleslav;0;0;D;0;0;D
CZ1;NaN;FK Dukla Praha;České Budějovice;4;2;H;1;1;D
CZ1;NaN;FK Teplice;FC Hradec Králové;0;3;A;0;2;A
CZ1;NaN;1. FK Příbram;Viktoria Žižkov;2;1;H;0;1;A
CZ1;NaN;Slovan Liberec;Slavia Praha;2;1;H;2;0;H
CZ1;NaN;Sigma Olomouc;Baník Ostrava;3;0;H;2;0;H
CZ1;NaN;Bohemians Praha;Viktoria Plzeň;2;1;H;1;1;D
CZ1;NaN;FK Mladá Boleslav;1. FC Slovácko;1;0;H;0;0;D
CZ1;NaN;Sparta Praha;FK Jablonec;2;1;H;2;1;H
CZ1;NaN;Viktoria Plzeň;FK Teplice;2;0;H;0;0;D
CZ1;NaN;Viktoria Žižkov;FK Dukla Praha;1;0;H;1;0;H
CZ1;NaN;Baník Ostrava;FK Mladá Boleslav;1;4;A;0;1;A
CZ1;NaN;České Budějovice;Sigma Olomouc;1;2;A;0;0;D
CZ1;NaN;1. FC Slovácko;Sparta Praha;0;2;A;0;1;A
CZ1;NaN;FC Hradec Králové;Slovan Liberec;0;3;A;0;0;D
CZ1;NaN;Slavia Praha;1. FK Příbram;3;1;H;1;1;D
CZ1;NaN;FK Jablonec;Bohemians Praha;5;0;H;2;0;H
CZ1;NaN;FK Jablonec;Baník Ostrava;4;0;H;2;0;H
CZ1;NaN;1. FK Příbram;Slovan Liberec;2;3;A;1;0;H
CZ1;NaN;FK Dukla Praha;Viktoria Plzeň;2;4;A;0;2;A
CZ1;NaN;Bohemians Praha;České Budějovice;2;1;H;1;0;H
CZ1;NaN;FK Mladá Boleslav;Viktoria Žižkov;2;0;H;2;0;H
CZ1;NaN;Sigma Olomouc;1. FC Slovácko;1;1;D;0;0;D
CZ1;NaN;Sparta Praha;FC Hradec Králové;1;0;H;1;0;H
CZ1;NaN;FK Teplice;Slavia Praha;0;0;D;0;0;D
CZ1;NaN;Slavia Praha;FK Mladá Boleslav;1;1;D;1;0;H
CZ1;NaN;Baník Ostrava;Bohemians Praha;0;1;A;0;1;A
CZ1;NaN;1. FC Slovácko;FK Dukla Praha;1;0;H;0;0;D
CZ1;NaN;Slovan Liberec;FK Teplice;0;2;A;0;0;D
CZ1;NaN;České Budějovice;FK Jablonec;1;5;A;1;2;A
CZ1;NaN;FC Hradec Králové;1. FK Příbram;0;1;A;0;0;D
CZ1;NaN;Viktoria Žižkov;Sigma Olomouc;2;2;D;2;1;H
CZ1;NaN;Viktoria Plzeň;Sparta Praha;0;2;A;0;2;A
CZ1;NaN;FK Dukla Praha;FC Hradec Králové;4;0;H;1;0;H
CZ1;NaN;Sigma Olomouc;Viktoria Plzeň;2;3;A;1;2;A
CZ1;NaN;Bohemians Praha;1. FC Slovácko;1;1;D;0;0;D
CZ1;NaN;FK Mladá Boleslav;Slovan Liberec;1;4;A;0;2;A
CZ1;NaN;FK Jablonec;Slavia Praha;4;0;H;1;0;H
CZ1;NaN;České Budějovice;Baník Ostrava;0;0;D;0;0;D
CZ1;NaN;FK Teplice;1. FK Příbram;2;1;H;0;0;D
CZ1;NaN;Sparta Praha;Viktoria Žižkov;4;1;H;2;0;H
CZ1;NaN;Slavia Praha;FK Dukla Praha;0;0;D;0;0;D
CZ1;NaN;Slovan Liberec;Sigma Olomouc;1;1;D;1;1;D
CZ1;NaN;1. FC Slovácko;České Budějovice;2;0;H;0;0;D
CZ1;NaN;Viktoria Plzeň;FK Jablonec;4;2;H;1;2;A
CZ1;NaN;Viktoria Žižkov;FK Teplice;0;1;A;0;0;D
CZ1;NaN;FC Hradec Králové;Bohemians Praha;2;0;H;1;0;H
CZ1;NaN;1. FK Příbram;FK Mladá Boleslav;2;0;H;2;0;H
CZ1;NaN;Baník Ostrava;Sparta Praha;0;2;A;0;1;A
CZ1;NaN;FK Dukla Praha;1. FK Příbram;2;1;H;1;1;D
CZ1;NaN;České Budějovice;Viktoria Plzeň;0;0;D;0;0;D
CZ1;NaN;Sigma Olomouc;FK Teplice;1;0;H;0;0;D
CZ1;NaN;Baník Ostrava;1. FC Slovácko;0;1;A;0;0;D
CZ1;NaN;FK Jablonec;Viktoria Žižkov;3;1;H;1;1;D
CZ1;NaN;FK Mladá Boleslav;FC Hradec Králové;1;1;D;0;0;D
CZ1;NaN;Bohemians Praha;Slovan Liberec;1;1;D;1;1;D
CZ1;NaN;Sparta Praha;Slavia Praha;3;0;H;2;0;H
CZ1;NaN;1. FK Příbram;Sparta Praha;0;3;A;0;2;A
CZ1;NaN;Slovan Liberec;FK Dukla Praha;1;2;A;1;0;H
CZ1;NaN;Viktoria Žižkov;Bohemians Praha;0;1;A;0;0;D
CZ1;NaN;Slavia Praha;Sigma Olomouc;1;0;H;1;0;H
CZ1;NaN;Viktoria Plzeň;Baník Ostrava;1;1;D;1;1;D
CZ1;NaN;FC Hradec Králové;České Budějovice;0;0;D;0;0;D
CZ1;NaN;FK Teplice;FK Mladá Boleslav;1;3;A;1;1;D
CZ1;NaN;1. FC Slovácko;FK Jablonec;1;0;H;0;0;D
CZ1;NaN;1. FC Slovácko;Viktoria Plzeň;1;3;A;1;2;A
CZ1;NaN;Baník Ostrava;FC Hradec Králové;1;0;H;0;0;D
CZ1;NaN;Sparta Praha;Slovan Liberec;0;3;A;0;2;A
CZ1;NaN;FK Jablonec;1. FK Příbram;5;1;H;3;0;H
CZ1;NaN;České Budějovice;FK Teplice;1;1;D;0;1;A
CZ1;NaN;Bohemians Praha;FK Dukla Praha;0;0;D;0;0;D
CZ1;NaN;Sigma Olomouc;FK Mladá Boleslav;1;1;D;1;1;D
CZ1;NaN;Viktoria Žižkov;Slavia Praha;1;0;H;1;0;H
CZ1;NaN;Slovan Liberec;Baník Ostrava;3;2;H;2;1;H
CZ1;NaN;1. FK Příbram;Sigma Olomouc;4;1;H;1;0;H
CZ1;NaN;FK Dukla Praha;FK Jablonec;1;3;A;1;0;H
CZ1;NaN;FC Hradec Králové;1. FC Slovácko;0;1;A;0;1;A
CZ1;NaN;Slavia Praha;České Budějovice;2;0;H;0;0;D
CZ1;NaN;Viktoria Plzeň;Viktoria Žižkov;4;1;H;0;0;D
CZ1;NaN;FK Mladá Boleslav;Bohemians Praha;2;0;H;1;0;H
CZ1;NaN;FK Teplice;Sparta Praha;0;1;A;0;1;A
CZ1;NaN;Bohemians Praha;Sigma Olomouc;1;1;D;1;1;D
CZ1;NaN;Viktoria Plzeň;FC Hradec Králové;5;0;H;1;0;H
CZ1;NaN;Baník Ostrava;FK Dukla Praha;1;2;A;1;1;D
CZ1;NaN;Sparta Praha;FK Mladá Boleslav;0;3;A;0;1;A
CZ1;NaN;Viktoria Žižkov;Slovan Liberec;1;4;A;0;2;A
CZ1;NaN;České Budějovice;1. FK Příbram;4;1;H;3;0;H
CZ1;NaN;1. FC Slovácko;Slavia Praha;1;3;A;0;3;A
