Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
D2,15/07/11,Cottbus,Dresden,2,1,H,0,1,A
D2,15/07/11,Frankfurt FSV,Union Berlin,1,1,D,0,1,A
D2,15/07/11,Greuther Furth,Ein Frankfurt,2,3,A,2,0,H
D2,16/07/11,Erzgebirge Aue,Aachen,1,0,H,0,0,D
D2,16/07/11,St Pauli,Ingolstadt,2,0,H,0,0,D
D2,17/07/11,Braunschweig,Munich 1860,3,1,H,3,1,H
D2,17/07/11,Hansa Rostock,Paderborn,1,2,A,1,1,D
D2,17/07/11,Karlsruhe,Duisburg,3,2,H,3,2,H
D2,18/07/11,Fortuna Dusseldorf,Bochum,2,0,H,0,0,D
D2,22/07/11,Bochum,Frankfurt FSV,1,0,H,0,0,D
D2,22/07/11,Duisburg,Cottbus,1,2,A,1,2,A
D2,22/07/11,Ingolstadt,Erzgebirge Aue,0,0,D,0,0,D
D2,23/07/11,Munich 1860,Karlsruhe,2,1,H,1,1,D
D2,23/07/11,Union Berlin,Greuther Furth,0,4,A,0,2,A
D2,24/07/11,Aachen,Braunschweig,0,2,A,0,1,A
D2,24/07/11,Dresden,Hansa Rostock,1,1,D,0,0,D
D2,24/07/11,Paderborn,Fortuna Dusseldorf,1,1,D,0,1,A
D2,25/07/11,Ein Frankfurt,St Pauli,1,1,D,0,1,A
D2,05/08/11,Fortuna Dusseldorf,Ingolstadt,4,1,H,1,0,H
D2,05/08/11,St Pauli,Aachen,3,1,H,2,1,H
D2,05/08/11,Union Berlin,Paderborn,3,0,H,1,0,H
D2,06/08/11,Cottbus,Munich 1860,0,5,A,0,4,A
D2,06/08/11,Greuther Furth,Dresden,1,0,H,0,0,D
D2,07/08/11,Braunschweig,Ein Frankfurt,0,3,A,0,1,A
D2,07/08/11,Erzgebirge Aue,Karlsruhe,0,2,A,0,1,A
D2,07/08/11,Frankfurt FSV,Duisburg,0,0,D,0,0,D
D2,08/08/11,Hansa Rostock,Bochum,0,0,D,0,0,D
D2,12/08/11,Bochum,St Pauli,1,2,A,1,1,D
D2,12/08/11,Dresden,Union Berlin,4,0,H,1,0,H
D2,12/08/11,Karlsruhe,Braunschweig,1,3,A,1,2,A
D2,13/08/11,Aachen,Cottbus,0,2,A,0,0,D
D2,13/08/11,Paderborn,Greuther Furth,0,1,A,0,0,D
D2,14/08/11,Duisburg,Hansa Rostock,0,0,D,0,0,D
D2,14/08/11,Ingolstadt,Frankfurt FSV,1,1,D,0,1,A
D2,14/08/11,Munich 1860,Erzgebirge Aue,4,0,H,2,0,H
D2,15/08/11,Ein Frankfurt,Fortuna Dusseldorf,1,1,D,1,0,H
D2,19/08/11,Fortuna Dusseldorf,Munich 1860,3,1,H,1,0,H
D2,19/08/11,Greuther Furth,Ingolstadt,3,0,H,1,0,H
D2,19/08/11,Hansa Rostock,Aachen,0,0,D,0,0,D
D2,20/08/11,Braunschweig,Erzgebirge Aue,1,1,D,1,1,D
D2,20/08/11,Union Berlin,Bochum,2,1,H,1,1,D
D2,21/08/11,Cottbus,Karlsruhe,2,0,H,2,0,H
D2,21/08/11,Dresden,Paderborn,1,2,A,0,1,A
D2,21/08/11,Frankfurt FSV,Ein Frankfurt,0,4,A,0,3,A
D2,22/08/11,St Pauli,Duisburg,2,1,H,1,1,D
D2,26/08/11,Bochum,Greuther Furth,1,4,A,1,1,D
D2,26/08/11,Duisburg,Dresden,3,0,H,1,0,H
D2,26/08/11,Ingolstadt,Hansa Rostock,3,1,H,1,0,H
D2,27/08/11,Aachen,Fortuna Dusseldorf,0,0,D,0,0,D
D2,27/08/11,Karlsruhe,Frankfurt FSV,0,4,A,0,2,A
D2,28/08/11,Braunschweig,St Pauli,1,0,H,0,0,D
D2,28/08/11,Ein Frankfurt,Paderborn,0,0,D,0,0,D
D2,28/08/11,Munich 1860,Union Berlin,3,1,H,1,1,D
D2,29/08/11,Erzgebirge Aue,Cottbus,0,0,D,0,0,D
D2,09/09/11,Greuther Furth,Duisburg,2,1,H,0,0,D
