Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
I2,24/08/12,Modena,Verona,1,1,D,0,1,A
I2,25/08/12,Bari,Cittadella,2,1,H,1,0,H
I2,25/08/12,Crotone,Brescia,1,0,H,0,0,D
I2,25/08/12,Empoli,Reggina,1,1,D,1,0,H
I2,25/08/12,Grosseto,Novara,1,1,D,1,0,H
I2,25/08/12,Juve Stabia,Livorno,1,3,A,1,1,D
I2,25/08/12,Padova,Virtus Lanciano,1,1,D,1,0,H
I2,25/08/12,Pro Vercelli,Ternana,1,0,H,1,0,H
I2,25/08/12,Spezia,Vicenza,2,1,H,1,0,H
I2,25/08/12,Varese,Ascoli,2,0,H,0,0,D
I2,27/08/12,Cesena,Sassuolo,0,3,A,0,1,A
I2,01/09/12,Ascoli,Bari,1,3,A,1,0,H
I2,01/09/12,Brescia,Juve Stabia,2,0,H,0,0,D
I2,01/09/12,Cittadella,Grosseto,2,1,H,2,0,H
I2,01/09/12,Novara,Empoli,2,2,D,1,0,H
I2,01/09/12,Reggina,Pro Vercelli,1,0,H,1,0,H
I2,01/09/12,Sassuolo,Crotone,2,1,H,2,0,H
I2,01/09/12,Ternana,Modena,0,1,A,0,0,D
I2,01/09/12,Verona,Spezia,1,1,D,0,1,A
I2,01/09/12,Vicenza,Cesena,3,1,H,2,1,H
I2,01/09/12,Virtus Lanciano,Varese,1,2,A,0,0,D
I2,03/09/12,Livorno,Padova,3,2,H,2,1,H
I2,08/09/12,Modena,Varese,1,2,A,0,0,D
I2,08/09/12,Verona,Reggina,2,0,H,1,0,H
I2,09/09/12,Bari,Ternana,2,0,H,2,0,H
I2,09/09/12,Cesena,Novara,1,4,A,0,3,A
I2,09/09/12,Crotone,Cittadella,3,1,H,0,1,A
I2,09/09/12,Empoli,Sassuolo,0,3,A,0,3,A
I2,09/09/12,Juve Stabia,Vicenza,1,1,D,1,1,D
I2,09/09/12,Padova,Grosseto,1,1,D,0,1,A
I2,09/09/12,Pro Vercelli,Livorno,1,2,A,0,1,A
I2,09/09/12,Spezia,Brescia,3,1,H,1,1,D
I2,09/09/12,Virtus Lanciano,Ascoli,1,1,D,1,0,H
I2,14/09/12,Brescia,Padova,0,0,D,0,0,D
I2,15/09/12,Ascoli,Spezia,2,0,H,0,0,D
I2,15/09/12,Cittadella,Virtus Lanciano,1,0,H,0,0,D
I2,15/09/12,Grosseto,Crotone,1,0,H,1,0,H
I2,15/09/12,Livorno,Empoli,4,2,H,1,0,H
I2,15/09/12,Novara,Juve Stabia,1,1,D,1,1,D
I2,15/09/12,Reggina,Modena,2,2,D,1,1,D
I2,15/09/12,Sassuolo,Pro Vercelli,2,1,H,1,0,H
I2,15/09/12,Ternana,Cesena,0,0,D,0,0,D
I2,15/09/12,Vicenza,Verona,2,3,A,1,2,A
I2,17/09/12,Varese,Bari,2,2,D,0,0,D
I2,21/09/12,Empoli,Ternana,0,2,A,0,1,A
I2,21/09/12,Verona,Novara,1,1,D,1,0,H
I2,22/09/12,Cesena,Cittadella,1,0,H,0,0,D
I2,22/09/12,Crotone,Bari,0,0,D,0,0,D
I2,22/09/12,Juve Stabia,Varese,1,2,A,1,1,D
I2,22/09/12,Modena,Livorno,1,0,H,0,0,D
I2,22/09/12,Padova,Reggina,3,2,H,2,1,H
I2,22/09/12,Pro Vercelli,Ascoli,3,1,H,3,0,H
I2,22/09/12,Spezia,Sassuolo,0,2,A,0,1,A
I2,22/09/12,Vicenza,Brescia,2,2,D,1,0,H
I2,22/09/12,Virtus Lanciano,Grosseto,1,1,D,0,1,A
I2,25/09/12,Ascoli,Cesena,1,0,H,0,0,D
I2,25/09/12,Bari,Pro Vercelli,2,1,H,1,0,H
I2,25/09/12,Brescia,Modena,2,1,H,0,0,D
I2,25/09/12,Grosseto,Juve Stabia,2,2,D,1,1,D
I2,25/09/12,Livorno,Cittadella,2,2,D,1,0,H
I2,25/09/12,Novara,Spezia,1,0,H,0,0,D
I2,25/09/12,Padova,Empoli,2,0,H,1,0,H
I2,25/09/12,Reggina,Virtus Lanciano,0,1,A,0,1,A
I2,25/09/12,Sassuolo,Vicenza,0,0,D,0,0,D
I2,25/09/12,Ternana,Crotone,1,0,H,0,0,D
I2,25/09/12,Varese,Verona,0,3,A,0,1,A
I2,29/09/12,Crotone,Livorno,1,2,A,1,1,D
I2,29/09/12,Empoli,Brescia,1,1,D,1,1,D
I2,29/09/12,Juve Stabia,Padova,1,0,H,0,0,D
I2,29/09/12,Novara,Ternana,1,2,A,0,1,A
I2,29/09/12,Sassuolo,Ascoli,1,0,H,1,0,H
I2,29/09/12,Spezia,Reggina,1,0,H,0,0,D
I2,29/09/12,Verona,Bari,1,0,H,0,0,D
I2,29/09/12,Vicenza,Grosseto,2,1,H,0,1,A
I2,29/09/12,Virtus Lanciano,Modena,1,1,D,1,0,H
I2,01/10/12,Cesena,Varese,2,0,H,1,0,H
I2,01/10/12,Cittadella,Pro Vercelli,3,0,H,1,0,H
I2,05/10/12,Padova,Verona,2,1,H,1,1,D
I2,06/10/12,Ascoli,Crotone,2,0,H,1,0,H
I2,06/10/12,Bari,Vicenza,1,0,H,0,0,D
I2,06/10/12,Brescia,Virtus Lanciano,2,0,H,0,0,D
I2,06/10/12,Grosseto,Sassuolo,1,2,A,0,1,A
I2,06/10/12,Modena,Cesena,4,0,H,2,0,H
I2,06/10/12,Pro Vercelli,Juve Stabia,1,4,A,0,3,A
I2,06/10/12,Reggina,Novara,1,0,H,0,0,D
I2,06/10/12,Ternana,Cittadella,3,1,H,2,1,H
I2,06/10/12,Varese,Empoli,2,2,D,1,1,D
I2,08/10/12,Livorno,Spezia,1,5,A,0,2,A
