Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR
UA1;NaN;Volyn Lutsk;Karpaty Lviv;1;1;D;0;0;D
UA1;NaN;Zorya Lugansk;Metalurg Zaporizhya;2;0;H;0;0;D
UA1;NaN;Dinamo Kiev;Metalurh Donetsk;1;0;H;0;0;D
UA1;NaN;Chernomorets Odessa;Hoverla Uzhgorod;3;2;H;3;0;H
UA1;NaN;Metalist Kharkov;FK Illichivets;2;0;H;1;0;H
UA1;NaN;Vorskla Poltava;FK Krivbas;0;1;A;0;0;D
UA1;NaN;Shakhtar Donetsk;Arsenal Kiev;6;0;H;4;0;H
UA1;NaN;Dnipro Dnipropetrovsk;Tavriya Simferopol;3;1;H;1;0;H
UA1;NaN;FK Krivbas;Chernomorets Odessa;1;0;H;1;0;H
UA1;NaN;Hoverla Uzhgorod;Shakhtar Donetsk;1;3;A;0;0;D
UA1;NaN;Karpaty Lviv;FK Illichivets;1;5;A;1;3;A
UA1;NaN;Tavriya Simferopol;Metalist Kharkov;0;1;A;0;0;D
UA1;NaN;Metalurg Zaporizhya;Dnipro Dnipropetrovsk;0;4;A;0;1;A
UA1;NaN;Volyn Lutsk;Vorskla Poltava;1;0;H;1;0;H
UA1;NaN;Arsenal Kiev;Dinamo Kiev;0;1;A;0;1;A
UA1;NaN;Metalurh Donetsk;Zorya Lugansk;1;2;A;1;1;D
UA1;NaN;Dinamo Kiev;Hoverla Uzhgorod;3;1;H;1;1;D
UA1;NaN;FK Illichivets;Tavriya Simferopol;0;1;A;0;1;A
UA1;NaN;Vorskla Poltava;Karpaty Lviv;3;1;H;2;0;H
UA1;NaN;Metalist Kharkov;Metalurg Zaporizhya;1;1;D;0;1;A
UA1;NaN;Chernomorets Odessa;Volyn Lutsk;0;2;A;0;1;A
UA1;NaN;Shakhtar Donetsk;FK Krivbas;1;0;H;0;0;D
UA1;NaN;Dnipro Dnipropetrovsk;Metalurh Donetsk;2;0;H;2;0;H
UA1;NaN;Zorya Lugansk;Arsenal Kiev;1;3;A;1;3;A
UA1;NaN;FK Krivbas;Dinamo Kiev;0;1;A;0;0;D
UA1;NaN;Hoverla Uzhgorod;Zorya Lugansk;0;1;A;0;0;D
UA1;NaN;Karpaty Lviv;Tavriya Simferopol;2;0;H;1;0;H
UA1;NaN;Metalurg Zaporizhya;FK Illichivets;0;3;A;0;1;A
UA1;NaN;Vorskla Poltava;Chernomorets Odessa;0;1;A;0;1;A
UA1;NaN;Arsenal Kiev;Dnipro Dnipropetrovsk;1;1;D;0;0;D
UA1;NaN;Metalurh Donetsk;Metalist Kharkov;2;2;D;0;2;A
UA1;NaN;Volyn Lutsk;Shakhtar Donetsk;0;4;A;0;3;A
UA1;NaN;Tavriya Simferopol;Metalurg Zaporizhya;1;0;H;0;0;D
UA1;NaN;Dnipro Dnipropetrovsk;Hoverla Uzhgorod;4;1;H;1;0;H
UA1;NaN;Zorya Lugansk;FK Krivbas;0;1;A;0;1;A
UA1;NaN;Chernomorets Odessa;Karpaty Lviv;1;1;D;1;1;D
UA1;NaN;Shakhtar Donetsk;Vorskla Poltava;4;1;H;2;1;H
UA1;NaN;Dinamo Kiev;Volyn Lutsk;4;1;H;2;1;H
UA1;NaN;Metalist Kharkov;Arsenal Kiev;0;1;A;0;1;A
UA1;NaN;FK Illichivets;Metalurh Donetsk;0;1;A;0;0;D
UA1;NaN;Arsenal Kiev;FK Illichivets;2;1;H;1;1;D
UA1;NaN;Hoverla Uzhgorod;Metalist Kharkov;0;3;A;0;2;A
UA1;NaN;FK Krivbas;Dnipro Dnipropetrovsk;0;0;D;0;0;D
UA1;NaN;Vorskla Poltava;Dinamo Kiev;1;0;H;1;0;H
UA1;NaN;Metalurh Donetsk;Tavriya Simferopol;1;1;D;1;0;H
UA1;NaN;Karpaty Lviv;Metalurg Zaporizhya;2;1;H;1;0;H
UA1;NaN;Volyn Lutsk;Zorya Lugansk;2;2;D;1;0;H
UA1;NaN;Chernomorets Odessa;Shakhtar Donetsk;1;5;A;0;1;A
UA1;NaN;Zorya Lugansk;Vorskla Poltava;1;1;D;1;0;H
UA1;NaN;FK Illichivets;Hoverla Uzhgorod;2;0;H;0;0;D
UA1;NaN;Dinamo Kiev;Chernomorets Odessa;2;0;H;1;0;H
UA1;NaN;Metalurg Zaporizhya;Metalurh Donetsk;1;2;A;0;1;A
UA1;NaN;Dnipro Dnipropetrovsk;Volyn Lutsk;2;1;H;1;1;D
UA1;NaN;Shakhtar Donetsk;Karpaty Lviv;3;0;H;3;0;H
UA1;NaN;Metalist Kharkov;FK Krivbas;3;1;H;1;0;H
UA1;NaN;Tavriya Simferopol;Arsenal Kiev;1;1;D;1;0;H
UA1;NaN;Hoverla Uzhgorod;Tavriya Simferopol;2;1;H;2;0;H
UA1;NaN;FK Krivbas;FK Illichivets;1;2;A;0;0;D
UA1;NaN;Karpaty Lviv;Metalurh Donetsk;0;1;A;0;0;D
UA1;NaN;Chernomorets Odessa;Zorya Lugansk;2;1;H;1;1;D
UA1;NaN;Vorskla Poltava;Dnipro Dnipropetrovsk;2;2;D;0;1;A
UA1;NaN;Volyn Lutsk;Metalist Kharkov;2;1;H;2;1;H
UA1;NaN;Arsenal Kiev;Metalurg Zaporizhya;3;0;H;1;0;H
UA1;NaN;Shakhtar Donetsk;Dinamo Kiev;3;1;H;1;1;D
UA1;NaN;Dinamo Kiev;Karpaty Lviv;3;1;H;1;0;H
UA1;NaN;FK Illichivets;Volyn Lutsk;0;0;D;0;0;D
UA1;NaN;Dnipro Dnipropetrovsk;Chernomorets Odessa;1;0;H;1;0;H
UA1;NaN;Zorya Lugansk;Shakhtar Donetsk;0;3;A;0;1;A
UA1;NaN;Metalist Kharkov;Vorskla Poltava;4;0;H;0;0;D
UA1;NaN;Metalurg Zaporizhya;Hoverla Uzhgorod;1;1;D;0;1;A
UA1;NaN;Metalurh Donetsk;Arsenal Kiev;5;0;H;1;0;H
UA1;NaN;Tavriya Simferopol;FK Krivbas;2;0;H;2;0;H
UA1;NaN;Dinamo Kiev;Zorya Lugansk;1;0;H;0;0;D
UA1;NaN;Shakhtar Donetsk;Dnipro Dnipropetrovsk;2;1;H;1;1;D
UA1;NaN;Volyn Lutsk;Tavriya Simferopol;0;1;A;0;1;A
UA1;NaN;Chernomorets Odessa;Metalist Kharkov;1;1;D;1;0;H
UA1;NaN;Hoverla Uzhgorod;Metalurh Donetsk;2;1;H;0;0;D
UA1;NaN;FK Krivbas;Metalurg Zaporizhya;5;0;H;1;0;H
UA1;NaN;Vorskla Poltava;FK Illichivets;1;0;H;1;0;H
UA1;NaN;Karpaty Lviv;Arsenal Kiev;1;1;D;0;1;A
UA1;NaN;Metalurh Donetsk;FK Krivbas;6;2;H;3;0;H
UA1;NaN;Zorya Lugansk;Karpaty Lviv;2;1;H;0;0;D
UA1;NaN;FK Illichivets;Chernomorets Odessa;2;1;H;1;0;H
UA1;NaN;Arsenal Kiev;Hoverla Uzhgorod;2;0;H;1;0;H
UA1;NaN;Metalurg Zaporizhya;Volyn Lutsk;0;3;A;0;2;A
UA1;NaN;Tavriya Simferopol;Vorskla Poltava;0;0;D;0;0;D
UA1;NaN;Dnipro Dnipropetrovsk;Dinamo Kiev;2;1;H;1;0;H
UA1;NaN;Metalist Kharkov;Shakhtar Donetsk;0;2;A;0;2;A
UA1;NaN;Shakhtar Donetsk;FK Illichivets;2;1;H;0;1;A
UA1;NaN;Zorya Lugansk;Dnipro Dnipropetrovsk;3;2;H;1;1;D
UA1;NaN;Volyn Lutsk;Metalurh Donetsk;1;1;D;0;0;D
UA1;NaN;Dinamo Kiev;Metalist Kharkov;1;3;A;0;1;A
UA1;NaN;Vorskla Poltava;Metalurg Zaporizhya;5;0;H;1;0;H
UA1;NaN;FK Krivbas;Arsenal Kiev;1;1;D;0;0;D
UA1;NaN;Chernomorets Odessa;Tavriya Simferopol;1;0;H;0;0;D
UA1;NaN;Karpaty Lviv;Hoverla Uzhgorod;1;1;D;0;1;A
UA1;NaN;Arsenal Kiev;Volyn Lutsk;1;1;D;0;0;D
UA1;NaN;Metalurg Zaporizhya;Chernomorets Odessa;0;1;A;0;1;A
UA1;NaN;Hoverla Uzhgorod;FK Krivbas;1;1;D;0;1;A
UA1;NaN;Tavriya Simferopol;Shakhtar Donetsk;0;1;A;0;0;D
UA1;NaN;Metalurh Donetsk;Vorskla Poltava;0;0;D;0;0;D
UA1;NaN;Dnipro Dnipropetrovsk;Karpaty Lviv;2;0;H;2;0;H
UA1;NaN;FK Illichivets;Dinamo Kiev;0;0;D;0;0;D
UA1;NaN;Metalist Kharkov;Zorya Lugansk;2;0;H;0;0;D
UA1;NaN;Shakhtar Donetsk;Metalurg Zaporizhya;2;0;H;1;0;H
UA1;NaN;Dinamo Kiev;Tavriya Simferopol;2;0;H;1;0;H
UA1;NaN;Dnipro Dnipropetrovsk;Metalist Kharkov;2;0;H;0;0;D
UA1;NaN;Zorya Lugansk;FK Illichivets;2;2;D;1;2;A
UA1;NaN;Vorskla Poltava;Arsenal Kiev;1;0;H;0;0;D
UA1;NaN;Volyn Lutsk;Hoverla Uzhgorod;2;1;H;1;0;H
UA1;NaN;Chernomorets Odessa;Metalurh Donetsk;3;0;H;2;0;H
UA1;NaN;Karpaty Lviv;FK Krivbas;6;0;H;4;0;H
UA1;NaN;Hoverla Uzhgorod;Vorskla Poltava;1;1;D;1;1;D
UA1;NaN;Tavriya Simferopol;Zorya Lugansk;1;0;H;1;0;H
UA1;NaN;Metalurg Zaporizhya;Dinamo Kiev;0;5;A;0;1;A
UA1;NaN;FK Krivbas;Volyn Lutsk;1;0;H;0;0;D
UA1;NaN;FK Illichivets;Dnipro Dnipropetrovsk;0;0;D;0;0;D
UA1;NaN;Metalurh Donetsk;Shakhtar Donetsk;0;4;A;0;3;A
UA1;NaN;Arsenal Kiev;Chernomorets Odessa;0;1;A;0;1;A
UA1;NaN;Metalist Kharkov;Karpaty Lviv;2;1;H;1;0;H
UA1;NaN;Hoverla Uzhgorod;Chernomorets Odessa;1;1;D;0;0;D
UA1;NaN;Metalurg Zaporizhya;Zorya Lugansk;0;0;D;0;0;D
UA1;NaN;Metalurh Donetsk;Dinamo Kiev;1;0;H;0;0;D
UA1;NaN;Arsenal Kiev;Shakhtar Donetsk;2;0;H;1;0;H
UA1;NaN;Tavriya Simferopol;Dnipro Dnipropetrovsk;1;2;A;0;0;D
UA1;NaN;FK Krivbas;Vorskla Poltava;3;2;H;1;0;H
UA1;NaN;FK Illichivets;Metalist Kharkov;0;2;A;0;1;A
UA1;NaN;Karpaty Lviv;Volyn Lutsk;2;0;H;1;0;H
UA1;NaN;Chernomorets Odessa;FK Krivbas;2;0;H;0;0;D
UA1;NaN;Vorskla Poltava;Volyn Lutsk;0;1;A;0;0;D
UA1;NaN;Shakhtar Donetsk;Hoverla Uzhgorod;5;1;H;3;1;H
UA1;NaN;Zorya Lugansk;Metalurh Donetsk;1;2;A;1;0;H
UA1;NaN;FK Illichivets;Karpaty Lviv;2;0;H;1;0;H
UA1;NaN;Dinamo Kiev;Arsenal Kiev;4;0;H;2;0;H
UA1;NaN;Metalist Kharkov;Tavriya Simferopol;5;0;H;1;0;H
UA1;NaN;Dnipro Dnipropetrovsk;Metalurg Zaporizhya;3;0;H;2;0;H
UA1;NaN;Hoverla Uzhgorod;Dinamo Kiev;2;4;A;1;3;A
UA1;NaN;FK Krivbas;Shakhtar Donetsk;0;2;A;0;1;A
UA1;NaN;Metalurg Zaporizhya;Metalist Kharkov;1;3;A;1;1;D
UA1;NaN;Metalurh Donetsk;Dnipro Dnipropetrovsk;0;0;D;0;0;D
UA1;NaN;Karpaty Lviv;Vorskla Poltava;2;0;H;1;0;H
UA1;NaN;Tavriya Simferopol;FK Illichivets;1;0;H;1;0;H
UA1;NaN;Volyn Lutsk;Chernomorets Odessa;0;2;A;0;1;A
UA1;NaN;Arsenal Kiev;Zorya Lugansk;0;1;A;0;0;D
UA1;NaN;Shakhtar Donetsk;Volyn Lutsk;4;1;H;2;0;H
UA1;NaN;FK Illichivets;Metalurg Zaporizhya;1;0;H;1;0;H
UA1;NaN;Dnipro Dnipropetrovsk;Arsenal Kiev;3;0;H;1;0;H
UA1;NaN;Metalist Kharkov;Metalurh Donetsk;3;2;H;1;0;H
UA1;NaN;Zorya Lugansk;Hoverla Uzhgorod;2;1;H;1;1;D
UA1;NaN;Tavriya Simferopol;Karpaty Lviv;0;2;A;0;2;A
UA1;NaN;Chernomorets Odessa;Vorskla Poltava;1;0;H;1;0;H
UA1;NaN;Dinamo Kiev;FK Krivbas;1;1;D;0;0;D
UA1;NaN;Metalurh Donetsk;FK Illichivets;0;0;D;0;0;D
UA1;NaN;Metalurg Zaporizhya;Tavriya Simferopol;0;1;A;0;0;D
UA1;NaN;FK Krivbas;Zorya Lugansk;3;0;H;1;0;H
UA1;NaN;Karpaty Lviv;Chernomorets Odessa;1;2;A;0;0;D
UA1;NaN;Hoverla Uzhgorod;Dnipro Dnipropetrovsk;0;1;A;0;0;D
