Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
P1,14/08/15,Tondela,Sp Lisbon,1,2,A,0,1,A
P1,15/08/15,Belenenses,Rio Ave,3,3,D,1,1,D
P1,15/08/15,Porto,Guimaraes,3,0,H,1,0,H
P1,16/08/15,Benfica,Estoril,4,0,H,0,0,D
P1,16/08/15,Moreirense,Arouca,0,2,A,0,0,D
P1,16/08/15,Setubal,Boavista,2,2,D,2,0,H
P1,16/08/15,Sp Braga,Nacional,2,1,H,1,1,D
P1,16/08/15,Uniao Madeira,Maritimo,2,1,H,1,0,H
P1,17/08/15,Pacos Ferreira,Academica,1,0,H,1,0,H
P1,21/08/15,Rio Ave,Sp Braga,1,0,H,1,0,H
P1,22/08/15,Maritimo,Porto,1,1,D,1,1,D
P1,22/08/15,Sp Lisbon,Pacos Ferreira,1,1,D,1,0,H
P1,23/08/15,Arouca,Benfica,1,0,H,1,0,H
P1,23/08/15,Boavista,Tondela,1,0,H,0,0,D
P1,23/08/15,Estoril,Moreirense,2,0,H,0,0,D
P1,23/08/15,Guimaraes,Belenenses,1,1,D,1,0,H
P1,23/08/15,Nacional,Uniao Madeira,1,0,H,1,0,H
P1,24/08/15,Academica,Setubal,0,4,A,0,1,A
P1,29/08/15,Benfica,Moreirense,3,2,H,0,1,A
P1,29/08/15,Porto,Estoril,2,0,H,1,0,H
P1,29/08/15,Setubal,Rio Ave,2,2,D,0,0,D
P1,30/08/15,Academica,Sp Lisbon,1,3,A,1,2,A
P1,30/08/15,Pacos Ferreira,Arouca,1,1,D,1,1,D
P1,30/08/15,Sp Braga,Boavista,4,0,H,1,0,H
P1,30/08/15,Tondela,Nacional,1,0,H,0,0,D
P1,31/08/15,Belenenses,Maritimo,1,1,D,0,1,A
P1,31/08/15,Uniao Madeira,Guimaraes,0,0,D,0,0,D
P1,11/09/15,Benfica,Belenenses,6,0,H,3,0,H
P1,12/09/15,Arouca,Porto,1,3,A,0,1,A
P1,12/09/15,Estoril,Sp Braga,1,0,H,0,0,D
P1,13/09/15,Guimaraes,Tondela,1,0,H,1,0,H
P1,13/09/15,Maritimo,Setubal,5,2,H,0,1,A
P1,13/09/15,Moreirense,Uniao Madeira,0,0,D,0,0,D
P1,13/09/15,Nacional,Academica,2,0,H,1,0,H
P1,13/09/15,Rio Ave,Sp Lisbon,1,2,A,0,2,A
P1,14/09/15,Boavista,Pacos Ferreira,0,1,A,0,0,D
P1,18/09/15,Setubal,Guimaraes,2,2,D,1,1,D
P1,19/09/15,Pacos Ferreira,Rio Ave,0,3,A,0,2,A
P1,19/09/15,Tondela,Estoril,0,1,A,0,0,D
P1,20/09/15,Academica,Boavista,0,2,A,0,1,A
P1,20/09/15,Porto,Benfica,1,0,H,0,0,D
P1,20/09/15,Uniao Madeira,Arouca,0,0,D,0,0,D
P1,21/09/15,Belenenses,Moreirense,2,0,H,2,0,H
P1,21/09/15,Sp Braga,Maritimo,5,1,H,2,1,H
P1,21/09/15,Sp Lisbon,Nacional,1,0,H,0,0,D
P1,25/09/15,Moreirense,Porto,2,2,D,0,1,A
P1,26/09/15,Benfica,Pacos Ferreira,3,0,H,1,0,H
P1,26/09/15,Boavista,Sp Lisbon,0,0,D,0,0,D
P1,27/09/15,Arouca,Belenenses,2,2,D,0,1,A
P1,27/09/15,Estoril,Uniao Madeira,2,1,H,1,0,H
P1,27/09/15,Guimaraes,Sp Braga,0,1,A,0,0,D
P1,27/09/15,Maritimo,Tondela,1,0,H,0,0,D
P1,27/09/15,Nacional,Setubal,1,1,D,0,1,A
P1,28/09/15,Rio Ave,Academica,1,0,H,1,0,H
P1,02/10/15,Setubal,Estoril,1,0,H,0,0,D
P1,03/10/15,Academica,Maritimo,1,0,H,0,0,D
P1,03/10/15,Pacos Ferreira,Nacional,3,1,H,1,1,D
P1,03/10/15,Rio Ave,Boavista,1,0,H,0,0,D
P1,03/10/15,Tondela,Moreirense,1,1,D,0,1,A
P1,04/10/15,Porto,Belenenses,4,0,H,0,0,D
P1,04/10/15,Sp Braga,Arouca,0,0,D,0,0,D
P1,04/10/15,Sp Lisbon,Guimaraes,5,1,H,2,0,H
P1,23/10/15,Nacional,Boavista,0,0,D,0,0,D
P1,24/10/15,Estoril,Rio Ave,2,2,D,0,1,A
P1,24/10/15,Guimaraes,Academica,1,1,D,1,0,H
P1,24/10/15,Maritimo,Pacos Ferreira,0,2,A,0,1,A
P1,25/10/15,Arouca,Tondela,1,1,D,0,0,D
P1,25/10/15,Benfica,Sp Lisbon,0,3,A,0,3,A
P1,25/10/15,Moreirense,Setubal,0,2,A,0,1,A
