Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
N1,NaN,NEC Nijmegen,PEC Zwolle,1,1,D,0,1,A
N1,NaN,ADO Den Haag,Go Ahead Eagles,3,0,H,1,0,H
N1,NaN,FC Utrecht,PSV Eindhoven,1,2,A,1,0,H
N1,NaN,FC Twente,SBV Excelsior,1,2,A,0,1,A
N1,NaN,Willem II,Vitesse,1,4,A,0,4,A
N1,NaN,FC Groningen,Feyenoord,0,5,A,0,3,A
N1,NaN,AZ Alkmaar,sc Heerenveen,2,2,D,1,1,D
N1,NaN,Sparta Rotterdam,AFC Ajax,1,3,A,1,1,D
N1,NaN,Roda JC Kerkrade,Heracles Almelo,1,1,D,0,1,A
N1,NaN,sc Heerenveen,FC Utrecht,2,2,D,1,2,A
N1,NaN,SBV Excelsior,FC Groningen,2,0,H,1,0,H
N1,NaN,AFC Ajax,Roda JC Kerkrade,2,2,D,2,1,H
N1,NaN,Vitesse,ADO Den Haag,1,2,A,1,1,D
N1,NaN,PEC Zwolle,Sparta Rotterdam,0,3,A,0,1,A
N1,NaN,Heracles Almelo,Willem II,3,1,H,1,0,H
N1,NaN,Go Ahead Eagles,NEC Nijmegen,2,2,D,0,1,A
N1,NaN,Feyenoord,FC Twente,2,0,H,1,0,H
N1,NaN,PSV Eindhoven,AZ Alkmaar,1,0,H,0,0,D
N1,NaN,SBV Excelsior,ADO Den Haag,1,2,A,1,1,D
N1,NaN,Roda JC Kerkrade,Vitesse,0,1,A,0,1,A
N1,NaN,AFC Ajax,Willem II,1,2,A,1,2,A
N1,NaN,PEC Zwolle,PSV Eindhoven,0,4,A,0,2,A
N1,NaN,NEC Nijmegen,sc Heerenveen,2,1,H,1,1,D
N1,NaN,FC Groningen,FC Twente,3,4,A,0,3,A
N1,NaN,FC Utrecht,AZ Alkmaar,1,2,A,0,1,A
N1,NaN,Sparta Rotterdam,Go Ahead Eagles,1,0,H,0,0,D
N1,NaN,Heracles Almelo,Feyenoord,0,1,A,0,1,A
N1,NaN,Vitesse,FC Utrecht,1,1,D,1,0,H
N1,NaN,Willem II,Roda JC Kerkrade,0,0,D,0,0,D
N1,NaN,sc Heerenveen,PEC Zwolle,1,0,H,0,0,D
N1,NaN,Feyenoord,SBV Excelsior,4,1,H,1,1,D
N1,NaN,FC Twente,Sparta Rotterdam,3,1,H,2,0,H
N1,NaN,PSV Eindhoven,FC Groningen,0,0,D,0,0,D
N1,NaN,ADO Den Haag,Heracles Almelo,1,1,D,1,1,D
N1,NaN,Go Ahead Eagles,AFC Ajax,0,3,A,0,2,A
N1,NaN,AZ Alkmaar,NEC Nijmegen,2,0,H,1,0,H
N1,NaN,AZ Alkmaar,Willem II,2,0,H,1,0,H
N1,NaN,PEC Zwolle,FC Utrecht,1,1,D,1,0,H
N1,NaN,NEC Nijmegen,PSV Eindhoven,0,4,A,0,4,A
N1,NaN,sc Heerenveen,FC Twente,3,1,H,1,0,H
N1,NaN,SBV Excelsior,Heracles Almelo,3,1,H,3,0,H
N1,NaN,Feyenoord,ADO Den Haag,3,1,H,2,0,H
N1,NaN,FC Groningen,Sparta Rotterdam,1,1,D,1,1,D
N1,NaN,Go Ahead Eagles,Roda JC Kerkrade,2,0,H,1,0,H
N1,NaN,AFC Ajax,Vitesse,1,0,H,0,0,D
N1,NaN,FC Utrecht,FC Groningen,1,5,A,0,2,A
