Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SC2,NaN,Dundee United,Queen Of The South,1,1,D,0,1,A
SC2,NaN,Ayr United,Raith Rovers,0,2,A,0,1,A
SC2,NaN,St. Mirren FC,Greenock Morton FC,1,1,D,0,1,A
SC2,NaN,Dunfermline Athletic,Dumbarton FC,4,3,H,2,1,H
SC2,NaN,Falkirk FC,Hibernian FC,1,2,A,1,1,D
SC2,NaN,Raith Rovers,St. Mirren FC,3,1,H,1,0,H
SC2,NaN,Queen Of The South,Ayr United,4,1,H,2,0,H
SC2,NaN,Hibernian FC,Dunfermline Athletic,2,1,H,1,0,H
SC2,NaN,Dumbarton FC,Dundee United,1,0,H,0,0,D
SC2,NaN,Greenock Morton FC,Falkirk FC,1,1,D,1,0,H
SC2,NaN,Queen Of The South,Falkirk FC,2,0,H,1,0,H
SC2,NaN,Dundee United,Ayr United,3,0,H,2,0,H
SC2,NaN,Greenock Morton FC,Dumbarton FC,1,1,D,0,1,A
SC2,NaN,St. Mirren FC,Hibernian FC,0,2,A,0,2,A
SC2,NaN,Raith Rovers,Dunfermline Athletic,2,0,H,0,0,D
SC2,NaN,Hibernian FC,Greenock Morton FC,4,0,H,2,0,H
SC2,NaN,Falkirk FC,Dumbarton FC,1,0,H,0,0,D
SC2,NaN,Ayr United,St. Mirren FC,1,1,D,1,0,H
SC2,NaN,Dunfermline Athletic,Queen Of The South,0,1,A,0,1,A
SC2,NaN,Dundee United,Raith Rovers,2,2,D,2,1,H
SC2,NaN,Ayr United,Greenock Morton FC,2,1,H,0,0,D
SC2,NaN,Raith Rovers,Falkirk FC,0,2,A,0,1,A
SC2,NaN,Dunfermline Athletic,Dundee United,1,3,A,0,1,A
SC2,NaN,Dumbarton FC,Hibernian FC,0,1,A,0,1,A
SC2,NaN,St. Mirren FC,Queen Of The South,1,3,A,1,2,A
SC2,NaN,Dumbarton FC,St. Mirren FC,1,1,D,1,1,D
SC2,NaN,Greenock Morton FC,Dunfermline Athletic,2,1,H,1,1,D
SC2,NaN,Queen Of The South,Raith Rovers,3,1,H,0,0,D
SC2,NaN,Hibernian FC,Ayr United,1,2,A,0,0,D
SC2,NaN,Falkirk FC,Dundee United,3,1,H,1,1,D
SC2,NaN,Dundee United,Greenock Morton FC,2,1,H,0,0,D
SC2,NaN,Falkirk FC,Ayr United,2,0,H,0,0,D
SC2,NaN,Queen Of The South,Hibernian FC,0,0,D,0,0,D
SC2,NaN,Raith Rovers,Dumbarton FC,3,2,H,3,0,H
SC2,NaN,Dunfermline Athletic,St. Mirren FC,4,3,H,1,2,A
SC2,NaN,Ayr United,Dunfermline Athletic,0,0,D,0,0,D
SC2,NaN,Dumbarton FC,Queen Of The South,0,0,D,0,0,D
SC2,NaN,Greenock Morton FC,Raith Rovers,1,0,H,1,0,H
SC2,NaN,St. Mirren FC,Falkirk FC,1,1,D,0,1,A
SC2,NaN,Hibernian FC,Dundee United,1,1,D,1,0,H
SC2,NaN,St. Mirren FC,Dundee United,0,2,A,0,1,A
SC2,NaN,Dumbarton FC,Ayr United,0,3,A,0,1,A
SC2,NaN,Falkirk FC,Dunfermline Athletic,2,1,H,1,0,H
SC2,NaN,Queen Of The South,Greenock Morton FC,0,5,A,0,3,A
SC2,NaN,Raith Rovers,Hibernian FC,0,0,D,0,0,D
SC2,NaN,Ayr United,Queen Of The South,1,0,H,0,0,D
SC2,NaN,Dundee United,Dumbarton FC,2,1,H,0,0,D
SC2,NaN,Dunfermline Athletic,Hibernian FC,1,3,A,1,0,H
SC2,NaN,Falkirk FC,Raith Rovers,2,4,A,1,2,A
SC2,NaN,Greenock Morton FC,St. Mirren FC,3,1,H,2,0,H
SC2,NaN,Greenock Morton FC,Ayr United,2,1,H,0,1,A
SC2,NaN,Hibernian FC,St. Mirren FC,2,0,H,2,0,H
SC2,NaN,Dumbarton FC,Dunfermline Athletic,2,2,D,1,0,H
SC2,NaN,Dundee United,Falkirk FC,1,0,H,0,0,D
SC2,NaN,Raith Rovers,Queen Of The South,1,0,H,0,0,D
SC2,NaN,Queen Of The South,Dundee United,1,4,A,1,2,A
SC2,NaN,Falkirk FC,Greenock Morton FC,1,1,D,0,0,D
SC2,NaN,St. Mirren FC,Dumbarton FC,0,1,A,0,0,D
SC2,NaN,Ayr United,Hibernian FC,0,3,A,0,1,A
SC2,NaN,Dunfermline Athletic,Raith Rovers,0,0,D,0,0,D
SC2,NaN,Dundee United,Dunfermline Athletic,1,0,H,0,0,D
SC2,NaN,Hibernian FC,Falkirk FC,1,1,D,0,0,D
SC2,NaN,Dumbarton FC,Greenock Morton FC,0,2,A,0,0,D
SC2,NaN,Raith Rovers,Ayr United,1,1,D,1,0,H
SC2,NaN,Queen Of The South,St. Mirren FC,2,3,A,2,1,H
SC2,NaN,Ayr United,Falkirk FC,0,1,A,0,1,A
SC2,NaN,Dumbarton FC,Raith Rovers,0,0,D,0,0,D
SC2,NaN,Hibernian FC,Queen Of The South,4,0,H,2,0,H
SC2,NaN,Greenock Morton FC,Dundee United,0,0,D,0,0,D
SC2,NaN,St. Mirren FC,Dunfermline Athletic,0,1,A,0,1,A
SC2,NaN,Dundee United,Hibernian FC,1,0,H,0,0,D
SC2,NaN,Falkirk FC,St. Mirren FC,3,1,H,0,1,A
SC2,NaN,Dunfermline Athletic,Ayr United,1,1,D,1,0,H
SC2,NaN,Queen Of The South,Dumbarton FC,1,2,A,0,2,A
SC2,NaN,Raith Rovers,Greenock Morton FC,0,1,A,0,0,D
SC2,NaN,St. Mirren FC,Raith Rovers,1,0,H,0,0,D
SC2,NaN,Ayr United,Dundee United,0,1,A,0,1,A
SC2,NaN,Dunfermline Athletic,Greenock Morton FC,2,1,H,2,1,H
SC2,NaN,Falkirk FC,Queen Of The South,2,2,D,1,1,D
SC2,NaN,Hibernian FC,Dumbarton FC,2,0,H,1,0,H
SC2,NaN,Queen Of The South,Dunfermline Athletic,2,2,D,1,0,H
SC2,NaN,Dumbarton FC,Falkirk FC,2,1,H,1,0,H
SC2,NaN,St. Mirren FC,Ayr United,1,1,D,0,0,D
SC2,NaN,Raith Rovers,Dundee United,0,0,D,0,0,D
SC2,NaN,Greenock Morton FC,Hibernian FC,1,1,D,0,0,D
SC2,NaN,Ayr United,Dumbarton FC,4,4,D,2,1,H
SC2,NaN,Dundee United,St. Mirren FC,2,1,H,2,1,H
SC2,NaN,Hibernian FC,Raith Rovers,1,1,D,0,0,D
SC2,NaN,Greenock Morton FC,Queen Of The South,1,0,H,1,0,H
SC2,NaN,Dunfermline Athletic,Falkirk FC,1,1,D,0,1,A
SC2,NaN,Falkirk FC,Hibernian FC,1,2,A,1,1,D
SC2,NaN,Dumbarton FC,Dundee United,1,0,H,1,0,H
SC2,NaN,Queen Of The South,Ayr United,0,0,D,0,0,D
SC2,NaN,St. Mirren FC,Greenock Morton FC,1,1,D,1,0,H
SC2,NaN,Raith Rovers,Dunfermline Athletic,0,2,A,0,1,A
SC2,NaN,Hibernian FC,Dundee United,3,0,H,2,0,H
SC2,NaN,Greenock Morton FC,Dumbarton FC,2,1,H,1,0,H
SC2,NaN,St. Mirren FC,Queen Of The South,0,3,A,0,1,A
SC2,NaN,Ayr United,Dunfermline Athletic,0,2,A,0,2,A
SC2,NaN,Raith Rovers,Falkirk FC,1,4,A,1,3,A
SC2,NaN,Dumbarton FC,Hibernian FC,0,1,A,0,1,A
SC2,NaN,Dundee United,Queen Of The South,3,3,D,1,1,D
SC2,NaN,Dunfermline Athletic,St. Mirren FC,1,1,D,1,0,H
SC2,NaN,Falkirk FC,Ayr United,1,1,D,1,1,D
SC2,NaN,Greenock Morton FC,Raith Rovers,2,0,H,1,0,H
SC2,NaN,St. Mirren FC,Falkirk FC,1,2,A,0,1,A
SC2,NaN,Dunfermline Athletic,Dundee United,1,1,D,1,1,D
SC2,NaN,Queen Of The South,Hibernian FC,0,1,A,0,0,D
SC2,NaN,Raith Rovers,Dumbarton FC,1,3,A,1,0,H
SC2,NaN,Ayr United,Greenock Morton FC,1,4,A,1,3,A
SC2,NaN,Dumbarton FC,St. Mirren FC,2,2,D,0,1,A
SC2,NaN,Falkirk FC,Dunfermline Athletic,2,0,H,1,0,H
SC2,NaN,Hibernian FC,Ayr United,1,1,D,0,1,A
SC2,NaN,Queen Of The South,Greenock Morton FC,3,0,H,0,0,D
SC2,NaN,Dundee United,Raith Rovers,3,0,H,1,0,H
SC2,NaN,Greenock Morton FC,Falkirk FC,2,2,D,1,1,D
SC2,NaN,Dumbarton FC,Ayr United,2,2,D,0,0,D
SC2,NaN,Raith Rovers,Hibernian FC,1,1,D,0,0,D
SC2,NaN,Dunfermline Athletic,Queen Of The South,1,1,D,1,1,D
SC2,NaN,Falkirk FC,Dumbarton FC,2,2,D,1,1,D
SC2,NaN,Ayr United,St. Mirren FC,0,2,A,0,0,D
SC2,NaN,Dundee United,Greenock Morton FC,1,1,D,0,1,A
SC2,NaN,Queen Of The South,Raith Rovers,2,1,H,2,0,H
SC2,NaN,Hibernian FC,Dunfermline Athletic,2,2,D,2,1,H
SC2,NaN,Dumbarton FC,Queen Of The South,1,2,A,0,1,A
SC2,NaN,Falkirk FC,Dundee United,3,0,H,1,0,H
SC2,NaN,Ayr United,Raith Rovers,1,0,H,0,0,D
SC2,NaN,St. Mirren FC,Hibernian FC,2,0,H,1,0,H
SC2,NaN,Dunfermline Athletic,Dumbarton FC,5,1,H,2,0,H
SC2,NaN,Queen Of The South,Falkirk FC,0,2,A,0,1,A
SC2,NaN,Raith Rovers,St. Mirren FC,2,0,H,0,0,D
SC2,NaN,Dundee United,Hibernian FC,0,1,A,0,1,A
SC2,NaN,St. Mirren FC,Dunfermline Athletic,0,0,D,0,0,D
SC2,NaN,Ayr United,Falkirk FC,1,4,A,0,1,A
SC2,NaN,Dumbarton FC,Raith Rovers,4,0,H,2,0,H
SC2,NaN,Greenock Morton FC,Queen Of The South,1,0,H,0,0,D
SC2,NaN,Dunfermline Athletic,Ayr United,0,1,A,0,0,D
SC2,NaN,Hibernian FC,Dumbarton FC,2,2,D,0,1,A
SC2,NaN,Queen Of The South,St. Mirren FC,0,2,A,0,1,A
SC2,NaN,Raith Rovers,Dundee United,2,1,H,1,0,H
SC2,NaN,Falkirk FC,Greenock Morton FC,0,1,A,0,0,D
